                                                       |             |              |           Play           |        Declaring         |                Defending              |
STEPHENS Robert - FICK Hennie                          |  336   0.05 |  0.03   0.03 |  0.13 (181)  -0.09 (154) |  0.21 ( 80)   0.07 (101) | -0.14 ( 69)  -0.12 ( 85)   0.04 (154) |
SUN Shaolin - KANG Meng                                |  224   0.05 | -0.23   0.29 |  0.01 ( 99)   0.50 (125) |  0.32 ( 44)  -0.24 ( 55) |  0.12 ( 64)   0.23 ( 61)   0.33 (125) |
ASKGAARD Michael - KONOW Kasper                        |  224  -0.04 |  0.10  -0.14 |  0.14 (111)  -0.41 (113) | -0.04 ( 48)   0.28 ( 63) | -0.08 ( 57)  -0.07 ( 56)  -0.34 (113) |
ZHANG Yukun - LUO Cheng                                |  224  -0.05 | -0.20   0.15 | -0.21 ( 97)   0.44 (123) |  0.06 ( 58)  -0.61 ( 39) |  0.30 ( 61)  -0.04 ( 62)   0.31 (123) |
HUANG Shan - SABOURIN David                            |  256  -0.05 |  0.09  -0.14 | -0.04 (133)  -0.25 (122) |  0.46 ( 70)  -0.60 ( 63) | -0.12 ( 65)  -0.48 ( 57)   0.04 (122) |
BARBOSA Roberto - BRENNER Diego                        |  256  -0.06 |  0.08  -0.14 | -0.14 (135)  -0.14 (121) | -0.55 ( 62)   0.21 ( 73) |  0.04 ( 60)   0.17 ( 61)  -0.25 (121) |
CORNELL Michael - BACH Ashley                          |  240  -0.06 |  0.02  -0.08 |  0.24 (118)  -0.40 (121) | -0.25 ( 69)   0.92 ( 49) |  0.13 ( 66)  -0.13 ( 55)  -0.41 (121) |
BOUVERESSE Jean-Pierre - MATHIEU Philippe              |  224  -0.09 |  0.04  -0.14 |  0.18 (110)  -0.44 (113) |  0.38 ( 65)  -0.12 ( 45) |  0.09 ( 52)   0.06 ( 61)  -0.52 (113) |
UPMARK Johan - NYSTROM Fredrik                         |  224  -0.10 | -0.14   0.03 |  0.20 (119)  -0.16 (105) |  0.01 ( 63)   0.41 ( 56) |  0.06 ( 53)  -0.21 ( 52)  -0.08 (105) |
ANGELERI Ricardo - LAMBARDI Pablo                      |  224  -0.12 | -0.10  -0.02 |  0.00 (110)  -0.04 (114) | -0.05 ( 64)   0.08 ( 46) | -0.03 ( 56)   0.24 ( 58)  -0.15 (114) |
TANAKA Ryoga - YOKOI Hiroki                            |  176  -0.13 | -0.31   0.17 | -0.26 ( 89)   0.62 ( 86) | -0.49 ( 35)  -0.11 ( 54) |  0.47 ( 40)   0.38 ( 46)   0.20 ( 86) |
WOLPERT Gavin - FIREMAN Paul                           |  112  -0.17 | -0.07  -0.10 | -0.33 ( 55)   0.12 ( 56) | -0.60 ( 27)  -0.06 ( 28) |  0.03 ( 32)  -0.52 ( 24)   0.32 ( 56) |
GRIFFITHS Aneurin - MILNE Liam                         |  208  -0.19 | -0.37   0.18 |  0.37 (100)   0.01 (106) | -0.43 ( 44)   1.00 ( 56) |  0.27 ( 59)   0.09 ( 47)  -0.18 (106) |
MAJUMDER Subir - MANNA Gopinath                        |  112  -0.20 |  0.14  -0.34 | -0.24 ( 58)  -0.44 ( 54) |  0.01 ( 30)  -0.51 ( 28) | -0.08 ( 20)   0.10 ( 34)  -0.47 ( 54) |
BANERJEE Amar Nath - ROY Rana                          |  208  -0.23 |  0.00  -0.23 | -0.18 (110)  -0.28 ( 97) | -0.07 ( 45)  -0.26 ( 65) | -0.34 ( 41)   0.22 ( 56)  -0.27 ( 97) |
TERAMOTO Tadashi - KAKU Hiroshi                        |  208  -0.24 | -0.29   0.05 |  0.28 (104)  -0.19 (103) | -0.42 ( 54)   1.03 ( 50) |  0.18 ( 46)  -0.13 ( 57)  -0.20 (103) |
COUTTS Glenn - JACOB Nick                              |  207  -0.26 |  0.10  -0.36 |  0.10 (105)  -0.83 (101) |  0.50 ( 48)  -0.25 ( 57) | -0.67 ( 46)   0.04 ( 55)  -0.55 (101) |
TAN Gideon - FONG Kien Hoong                           |  224  -0.32 |  0.02  -0.34 | -0.39 (110)  -0.28 (113) | -0.19 ( 61)  -0.65 ( 49) |  0.22 ( 64)  -0.46 ( 49)  -0.20 (113) |
NABIL Karim - SADEK Tarek                              |  224  -0.36 | -0.59   0.23 | -0.06 (108)   0.51 (114) | -0.02 ( 63)  -0.11 ( 45) | -0.33 ( 68)   0.51 ( 46)   0.50 (114) |
CAMBEROS Hector - MUZZIO Ernesto                       |  224  -0.37 | -0.20  -0.17 |  0.28 (115)  -0.66 (108) |  0.30 ( 41)   0.27 ( 74) | -0.09 ( 82)  -0.07 ( 26)  -0.57 (108) |
