Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Rafal Jagniewski - Wojciech Gawel,176,1.06,0.70,0.36,0.36,95,  0.36,80,0.31,39,0.39,56,
Martin Wüst - Vitaliy Khanukov,192,0.65,0.50,0.15,0.13,97,  0.17,95,-0.09,46,0.32,51,
Christian Schlicker - Dr. Claus Günther,176,0.61,0.46,0.15,0.37,91,  -0.09,85,0.63,43,0.14,48,
Peter Jokisch - Udo Kasimir,192,0.49,0.44,0.04,0.34,113,  -0.38,79,0.19,63,0.53,50,
Robert Maybach - Wolf Stahl,192,0.47,0.23,0.24,0.35,106,  0.11,84,0.61,47,0.14,59,
Jörg Fritsche - Klaus Reps,160,0.42,0.28,0.14,0.08,81,  0.20,79,0.05,36,0.11,45,
Andrzej Konczak - Peter Kazub,128,0.39,0.34,0.06,0.49,62,  -0.35,66,1.17,31,-0.19,31,
Paul Grünke - Roland Rohowsky,208,0.37,0.17,0.19,0.25,94,  0.15,114,0.30,45,0.21,49,
Loek Fresen - Waltraud Vogt,192,0.26,-0.20,0.46,0.16,103,  0.81,89,0.12,59,0.20,44,
Jacek Lesniczak - Janko Katerbau,128,0.21,0.10,0.11,-0.11,59,  0.29,69,0.33,32,-0.63,27,
Julius Linde - Christian Schwerdt,112,0.18,0.16,0.02,0.20,53,  -0.15,57,0.57,26,-0.15,27,
Hans Frerichs - Ulrich Wenning,192,0.10,-0.12,0.21,0.57,83,  -0.06,108,0.61,46,0.52,37,
Dr. Rolf Kühn - Dr. Frank Pioch,159,0.09,0.37,-0.28,0.36,78,  -0.92,79,0.28,41,0.45,37,
Michael Haffer - Sven Krupp,208,0.08,-0.02,0.10,0.24,97,  -0.03,110,0.13,47,0.34,50,
Ulrich Kratz - Bernhard Sträter,192,0.06,0.12,-0.06,-0.08,88,  -0.03,104,0.13,41,-0.27,47,
Martin Werner - Dr. Michael Kammermeier,160,0.05,-0.12,0.17,0.30,93,  -0.02,67,0.02,32,0.44,61,
Dr. Peter Freche - Dr. Karl-Heinz Kaiser,208,-0.01,0.12,-0.13,-0.24,103,  -0.02,103,-0.06,51,-0.42,52,
Matthias Schüller - Paul Orth,192,-0.03,0.06,-0.10,-0.17,98,  -0.01,94,-0.34,53,0.02,45,
Andreas Babsch - Nikolas Bausback,128,-0.05,0.03,-0.09,0.07,73,  -0.29,55,0.18,40,-0.07,33,
Helmut Häusler - Michael Gromöller,112,-0.10,-0.14,0.03,0.02,52,  0.05,59,-0.38,23,0.33,29,
Andreas Visetti - Stefan Behn,128,-0.11,0.11,-0.22,-0.03,61,  -0.41,65,-0.26,22,0.10,39,
Gregor Sieber - Ulrike Schreckenberger,175,-0.14,-0.13,-0.01,0.08,75,  -0.08,100,0.20,30,0.01,45,
Joachim Parsch - Klaus Zeitler,256,-0.27,-0.04,-0.23,-0.32,124,  -0.15,130,-1.18,60,0.49,64,
Fabian von Löbbecke - Dirk Sanne,128,-0.35,-0.32,-0.03,0.23,69,  -0.34,58,0.52,35,-0.06,34,
Rainer Handel - Christoph Kemmer,208,-0.42,-0.30,-0.12,-0.23,95,  -0.03,113,0.07,42,-0.47,53,
Martin Hofmann - Bernd Engelhardt,160,-0.46,-0.44,-0.02,0.11,78,  -0.14,81,-0.02,37,0.23,41,
Martin Schrödel - Dr. Michael Tomski,160,-0.55,-0.40,-0.15,-0.05,71,  -0.22,89,-0.63,35,0.51,36,
Frank Röttger - Karl-Heinz Schmidt,176,-0.59,-0.48,-0.11,-0.02,78,  -0.19,97,0.26,46,-0.42,32,
Nikolas Roemer - Oleg Galimov,192,-0.59,-0.04,-0.54,-0.28,107,  -0.88,84,-0.47,51,-0.11,56,
Andreas Visetti - Andrzej Konczak,96,-0.63,-0.32,-0.32,-0.67,49,  0.06,46,-0.85,26,-0.48,23,
Fred Wrobel - Stefan Häßler,128,-1.08,-0.69,-0.39,-0.55,68,  -0.21,60,-0.37,39,-0.79,29,

Players,Count,IMPs,Bid,Play,Decl,#,Def,#,Decl1,#,Decl2,#,
Roy Welland - Sabine Auken,64,1.43,1.08,0.35,0.56,28,  0.19,36,1.36,17,-0.66,11,
Andreas Babsch - Arno Lindermann,64,1.05,0.23,0.82,0.65,27,  1.00,35,0.51,18,0.94,9,
Helmut Häusler - Dr. Andreas Kirmse,80,0.12,0.27,-0.15,0.17,48,  -0.64,32,0.56,27,-0.33,21,
Janko Katerbau - Dirk Sanne,64,-0.09,0.02,-0.11,-0.15,34,  -0.07,30,-0.19,19,-0.10,15,
Michael Gromöller - Dr. Andreas Kirmse,48,-0.25,-0.16,-0.09,-0.33,22,  0.12,26,-0.32,13,-0.34,9,
Holger Hoffmann - Christian Dörmer,80,-0.55,-0.57,0.02,0.09,38,  -0.05,40,0.28,18,-0.08,20,
Andreas Babsch - Wolf Stahl,16,-0.92,-0.85,-0.07,0.17,8,  -0.31,8,-0.63,4,0.96,4,
Jacek Lesniczak - Cezary Krzeminski,64,-1.52,-0.93,-0.59,-0.62,33,  -0.57,31,-0.64,15,-0.59,18,
Peter Kazub - Stefan Behn,64,-1.78,-1.93,0.16,0.51,34,  -0.25,29,0.29,13,0.64,21,

