1|15|52|28|78|30|4S|S|10|H9
1|15|54|66|87|72|4S|S|12|D6
1|15|56|29|121|32|4S|S|11|D6
1|15|6|105|60|89|5S|S|12|C3
1|15|68|11|101|65|4S|S|11|C3
1|15|82|116|10|46|4S|S|11|S8
1|15|9|90|73|119|4S|S|11|H9
1|15|91|8|76|7|5CX|W|9|S4
1|15|97|35|20|47|4S|S|12|D6
1|16|108|126|83|88|3N|E|11|H9
1|16|109|85|117|106|3N|E|12|H9
1|16|124|33|94|125|3N|E|11|H9
1|16|16|110|15|95|3N|E|11|H9
1|16|31|59|134|34|3N|E|11|D5
1|16|4|100|23|12|3N|W|10|SQ
1|16|41|74|3|75|3N|E|11|H9
1|16|42|2|84|18|3N|E|11|H9
1|16|43|129|58|62|6D|W|12|SJ
1|16|44|77|63|38|6D|E|11|HQ
1|16|45|92|37|131|3N|E|11|H9
1|16|48|114|133|64|6D|W|10|SQ
1|16|5|14|25|93|6D|E|12|D3
1|16|52|28|78|30|3N|E|11|C5
1|16|54|66|87|72|3N|E|11|H9
1|16|56|29|121|32|3N|E|11|H9
1|16|6|105|60|89|3N|E|11|H9
1|16|68|11|101|65|3N|E|11|H9
1|16|82|116|10|46|3N|E|11|H9
1|16|9|90|73|119|3N|E|11|H9
1|16|91|8|76|7|3N|E|11|H9
1|16|97|35|20|47|3N|E|11|H9
1|2|108|126|83|88|4H|S|10|C3
1|2|109|85|117|106|6SX|S|9|DA
1|2|124|33|94|125|4S|N|8|DQ
1|2|16|110|15|95|4H|S|10|CT
1|2|31|59|134|34|4H|S|10|C9
1|2|4|100|23|12|4H|S|10|DA
1|2|41|74|3|75|3H|S|10|DA
1|2|42|2|84|18|4H|S|10|CT
1|2|43|129|58|62|4H|N|9|DQ
1|2|44|77|63|38|4H|S|10|DA
1|2|45|92|37|131|4S|N|9|DQ
1|2|48|114|133|64|3DX|E|8|CK
1|2|5|14|25|93|3NX|W|6|H9
1|2|52|28|78|30|3H|S|9|CT
1|2|54|66|87|72|3N|N|7|DQ
1|2|56|29|121|32|3DX|E|8|CA
1|2|6|105|60|89|3N|N|8|DQ
1|2|68|11|101|65|4H|S|10|DA
1|2|82|116|10|46|4H|S|10|DA
1|2|9|90|73|119|4HX|S|10|DA
1|2|91|8|76|7|4H|S|10|C9
1|2|97|35|20|47|4H|S|10|DA
1|3|108|126|83|88|2H|S|8|SA
1|3|109|85|117|106|2D|E|8|CT
1|3|124|33|94|125|2H|S|8|SA
1|3|16|110|15|95|4D|E|8|HK
1|3|31|59|134|34|3D|E|8|CT
1|3|4|100|23|12|2D|E|8|CT
1|3|41|74|3|75|3H|S|8|SK
1|3|42|2|84|18|3D|E|8|CT
1|3|43|129|58|62|2S|W|8|CK
1|3|44|77|63|38|3H|S|8|SA
1|3|45|92|37|131|2S|W|8|CK
1|3|48|114|133|64|4S|W|8|CA
1|3|5|14|25|93|2S|W|9|CA
1|3|52|28|78|30|2S|W|8|CA
1|3|54|66|87|72|2S|W|8|CA
1|3|56|29|121|32|2D|E|8|CT
1|3|6|105|60|89|2S|W|8|CA
1|3|68|11|101|65|4D|E|7|CT
1|3|82|116|10|46|3S|W|8|CA
1|3|9|90|73|119|2S|E|8|CA
1|3|91|8|76|7|1S|W|8|CK
1|3|97|35|20|47|2S|W|8|CA
1|4|108|126|83|88|3H|E|9|DK
1|4|109|85|117|106|2C|N|8|DT
1|4|124|33|94|125|3C|N|7|DT
1|4|16|110|15|95|1N|N|7|H4
1|4|31|59|134|34|3H|E|8|DK
1|4|4|100|23|12|1N|N|8|H4
1|4|41|74|3|75|3H|E|9|DK
1|4|42|2|84|18|1N|N|7|S3
1|4|43|129|58|62|2H|E|8|DA
1|4|44|77|63|38|3H|E|9|DK
1|4|45|92|37|131|3H|E|8|DK
1|4|48|114|133|64|2H|E|9|DK
1|4|5|14|25|93|1H|E|9|C4
1|4|52|28|78|30|2H|E|9|DK
1|4|54|66|87|72|1N|N|9|H3
1|4|56|29|121|32|3C|N|9|DT
1|4|6|105|60|89|1N|N|8|H4
1|4|68|11|101|65|3H|E|11|DK
1|4|82|116|10|46|3H|W|9|CK
1|4|9|90|73|119|1N|N|8|H3
1|4|91|8|76|7|1N|N|7|H4
1|4|97|35|20|47|2H|E|10|DK
1|5|108|126|83|88|5H|E|8|C8
1|5|109|85|117|106|4H|E|9|D6
1|5|124|33|94|125|4H|E|9|D3
1|5|16|110|15|95|4H|E|9|D6
1|5|31|59|134|34|4H|E|7|D6
1|5|4|100|23|12|5H|E|9|D3
1|5|41|74|3|75|4H|E|10|D3
1|5|42|2|84|18|5H|E|9|D3
1|5|43|129|58|62|5H|E|9|D6
1|5|44|77|63|38|4H|E|9|D3
1|5|45|92|37|131|4H|E|10|D4
1|5|48|114|133|64|4H|E|9|D3
1|5|5|14|25|93|4H|E|8|HJ
1|5|52|28|78|30|4H|E|9|D3
1|5|54|66|87|72|4H|E|9|D4
1|5|56|29|121|32|4H|E|8|D6
1|5|6|105|60|89|4H|E|9|D3
1|5|68|11|101|65|6S|E|10|D5
1|5|82|116|10|46|6S|E|7|HJ
1|5|9|90|73|119|4H|E|9|D3
1|5|91|8|76|7|4H|E|9|HJ
1|5|97|35|20|47|4H|E|9|D3
1|6|108|126|83|88|3N|W|9|SJ
1|6|109|85|117|106|3H|W|10|CT
1|6|124|33|94|125|2D|E|9|CK
1|6|16|110|15|95|2H|W|10|SJ
1|6|31|59|134|34|2H|W|10|SJ
1|6|4|100|23|12|2H|W|10|SJ
1|6|41|74|3|75|3H|E|10|CK
1|6|42|2|84|18|2D|E|9|CK
1|6|43|129|58|62|4H|E|10|CK
1|6|44|77|63|38|3H|E|10|SJ
1|6|45|92|37|131|2H|E|10|CK
1|6|48|114|133|64|2H|W|10|SJ
1|6|5|14|25|93|1N|W|9|C9
1|6|52|28|78|30|2N|W|9|SJ
1|6|54|66|87|72|2H|E|10|SJ
1|6|56|29|121|32|2H|W|10|CT
1|6|6|105|60|89|3H|W|10|SJ
1|6|68|11|101|65|2H|E|9|CK
1|6|82|116|10|46|2H|W|10|SJ
1|6|9|90|73|119|1N|W|9|SJ
1|6|91|8|76|7|3C|S|6|D7
1|6|97|35|20|47|2D|E|8|CK
1|7|108|126|83|88|3C|S|6|HA
1|7|109|85|117|106|3C|S|6|HA
1|7|124|33|94|125|3C|S|6|HK
1|7|16|110|15|95|3C|S|6|HA
1|7|31|59|134|34|3C|S|6|DJ
1|7|4|100|23|12|3C|S|6|HA
1|7|41|74|3|75|3C|S|6|HK
