Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
DUNCAN Sandy - MCPAUL Robert;208;-0,17;-0,03;-0,14;-0,06;106;  -0,30;101;-0,15;41;-0,00;65;0,15;56;0,16;45;-0,45;101;
NIKITINE Ruth - SCHURTER Peter;192;-0,25;-0,04;-0,22;-0,21;90;  -0,21;101;-0,19;47;-0,24;43;0,36;51;0,04;50;-0,41;101;
BENNETT Roy - SMITH Harry;176;-0,28;-0,05;-0,23;-0,18;85;  -0,31;91;-0,17;40;-0,20;45;0,00;31;0,16;60;-0,41;91;
WENNING Ulrich - FRERICHS Hans;160;-0,30;-0,13;-0,17;-0,06;75;  -0,25;85;-0,19;37;0,08;38;-0,16;42;0,00;43;-0,17;85;
JULLIS Toivo - PLEKSEPP Tonis;288;-0,32;-0,10;-0,21;-0,03;141;  -0,43;144;0,12;76;-0,20;65;-0,06;62;-0,16;82;-0,32;144;
ANDERSSON Thomas - HASHIMOTO George;192;-0,34;-0,10;-0,24;-0,35;91;  -0,19;99;-0,37;44;-0,34;47;0,01;57;0,34;42;-0,34;99;
TEMIZEL Rauf - KORDOV Mehmet Ali;192;-0,38;-0,22;-0,17;0,17;96;  -0,49;95;0,02;46;0,30;50;0,02;49;-0,31;46;-0,35;95;
STAS Jacques - JOHNSON David;159;-0,40;-0,06;-0,34;0,04;72;  -0,75;86;0,07;49;-0,03;23;-0,36;47;0,31;39;-0,69;86;
WALSH Terry - GOODMAN Peter;224;-0,41;-0,18;-0,23;0,01;107;  -0,51;116;0,01;58;0,00;49;-0,41;65;0,26;51;-0,39;116;
KALMA Ivar - RUMMEL Aarne;288;-0,42;-0,26;-0,16;-0,22;132;  -0,10;154;-0,57;60;0,07;72;-0,05;74;0,09;80;-0,12;154;
ERGIL Esat - AVCIOGLU Huseyin Kerem;176;-0,43;-0,27;-0,17;0,10;92;  -0,46;84;-0,39;44;0,54;48;-0,55;45;0,15;39;-0,24;84;
ZIVKOVIC Gojko - DERIVAZ Jean-Pierre;192;-0,45;-0,21;-0,24;0,06;86;  -0,52;105;-0,06;52;0,23;34;0,14;46;-0,02;59;-0,58;105;
MILNE Ranald - O'BRIEN Brendan J;128;-0,47;-0,42;-0,05;0,39;65;  -0,53;61;0,63;27;0,22;38;0,30;27;-0,06;34;-0,63;61;
FIGUEIREDO Acacio - PINTO Joao Paulo Rocha;192;-0,54;-0,37;-0,17;0,13;101;  -0,51;89;-0,25;51;0,51;50;0,12;39;0,07;50;-0,60;89;
INGASON Haukur - JONSSON Skafti;160;-0,59;-0,33;-0,27;-0,24;78;  -0,34;82;-0,08;44;-0,44;34;0,24;34;-0,54;48;-0,12;82;
GLIGA Radu - MATEI Cornel Dumitru;160;-0,60;-0,50;-0,09;0,23;82;  -0,41;78;0,35;46;0,08;36;-0,19;41;0,32;37;-0,46;78;
CRUZEIRO Jorge - DOS SANTOS Jorge Monteiro;176;-0,62;-0,44;-0,18;-0,02;101;  -0,41;74;-0,01;62;-0,04;39;-0,03;34;-0,08;40;-0,36;74;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
INGASON Haukur - JORGENSEN Adalsteinn;80;0,15;-0,28;0,43;0,24;34;  0,66;46;-0,26;15;0,63;19;0,46;26;0,52;20;0,17;46;
EYSTEINSSON Bjorn - JORGENSEN Adalsteinn;48;0,07;0,28;-0,21;-0,53;26;  0,10;22;-0,50;15;-0,58;11;-0,17;9;0,27;13;0,02;22;
JONSSON Skafti - JORGENSEN Adalsteinn;48;0,05;0,22;-0,16;-0,02;25;  -0,31;23;-1,04;13;1,09;12;0,25;8;0,04;15;-0,42;23;
STRETZ Francois - BITRAN Albert;96;-0,03;0,23;-0,26;-0,49;48;  -0,06;48;-0,88;21;-0,19;27;0,17;22;-0,02;26;-0,13;48;
VAN DER VOORDEN Peter - KOLEN Jan;16;-0,17;-0,47;0,30;-0,64;8;  1,16;8;-1,35;3;-0,21;5;0,32;6;0,24;2;0,86;8;
DIXON Christopher - HALLBERG Gunnar;32;-0,19;-0,21;0,02;0,57;23;  -0,47;9;-0,82;9;1,47;14;0,35;6;0,01;3;-0,71;9;
AVCIOGLU Huseyin Kerem - SIRIKLIOGLU Mehmet;32;-0,34;-0,01;-0,33;-1,69;15;  0,86;17;-3,06;8;-0,14;7;0,03;9;-0,58;8;1,12;17;
HERMANNSSON Gudmundur S, - JORGENSEN Adalsteinn;32;-1,43;-0,61;-0,82;-1,32;15;  -0,64;17;-0,50;10;-2,96;5;0,29;6;0,18;11;-0,86;17;
CASTANO Luis - CRUZEIRO Jorge;16;0,33;0,73;-0,40;0,82;7;  -1,47;9;2,04;3;-0,09;4;0,23;6;-1,01;3;-1,29;9;

