Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
URSEANU Dan - SAVIN Daniel Octavian;240;-0,26;-0,18;-0,08;-0,46;108;  0,23;131;-0,21;56;-0,73;52;0,10;54;0,08;77;0,14;131;
JULLIS Toivo - PLEKSEPP Tonis;288;-0,30;-0,14;-0,16;-0,10;141;  -0,23;144;-0,03;76;-0,18;65;0,02;62;-0,12;82;-0,17;144;
ANDERSSON Thomas - HASHIMOTO George;192;-0,31;0,01;-0,32;-0,49;91;  -0,17;99;-0,28;44;-0,69;47;0,10;57;0,18;42;-0,31;99;
BENNETT Roy - SMITH Harry;176;-0,32;-0,06;-0,26;-0,32;85;  -0,20;91;-0,31;40;-0,32;45;0,01;31;0,16;60;-0,30;91;
NIKITINE Ruth - SCHURTER Peter;192;-0,39;-0,15;-0,25;-0,44;90;  -0,07;101;-0,49;47;-0,39;43;0,26;51;0,01;50;-0,21;101;
STAS Jacques - JOHNSON David;159;-0,40;-0,05;-0,35;-0,07;72;  -0,59;86;0,04;49;-0,30;23;-0,38;47;0,24;39;-0,49;86;
ERGIL Esat - AVCIOGLU Huseyin Kerem;176;-0,45;-0,28;-0,16;-0,04;92;  -0,30;84;-0,59;44;0,47;48;-0,42;45;0,13;39;-0,14;84;
WALSH Terry - GOODMAN Peter;224;-0,46;-0,18;-0,27;-0,10;107;  -0,44;116;-0,17;58;-0,02;49;-0,29;65;0,16;51;-0,34;116;
TEMIZEL Rauf - KORDOV Mehmet Ali;192;-0,46;-0,33;-0,14;0,09;96;  -0,37;95;0,20;46;-0,01;50;-0,06;49;-0,22;46;-0,23;95;
KALMA Ivar - RUMMEL Aarne;288;-0,48;-0,28;-0,21;-0,48;132;  0,02;154;-0,61;60;-0,37;72;-0,06;74;-0,02;80;0,07;154;
ZIVKOVIC Gojko - DERIVAZ Jean-Pierre;192;-0,49;-0,23;-0,27;-0,10;86;  -0,41;105;-0,23;52;0,10;34;0,08;46;0,02;59;-0,45;105;
MILNE Ranald - O'BRIEN Brendan J;128;-0,52;-0,52;0,00;0,36;65;  -0,38;61;0,64;27;0,16;38;0,20;27;-0,05;34;-0,44;61;
WENNING Ulrich - FRERICHS Hans;160;-0,53;-0,23;-0,30;-0,24;75;  -0,36;85;-0,45;37;-0,05;38;-0,15;42;-0,14;43;-0,21;85;
INGASON Haukur - JONSSON Skafti;160;-0,62;-0,35;-0,27;-0,28;78;  -0,26;82;-0,23;44;-0,34;34;0,15;34;-0,51;48;-0,02;82;
GLIGA Radu - MATEI Cornel Dumitru;160;-0,66;-0,48;-0,17;0,12;82;  -0,48;78;0,17;46;0,06;36;-0,25;41;0,27;37;-0,48;78;
FIGUEIREDO Acacio - PINTO Joao Paulo Rocha;192;-0,66;-0,45;-0,21;-0,00;101;  -0,46;89;-0,56;51;0,57;50;0,13;39;-0,00;50;-0,51;89;
CRUZEIRO Jorge - DOS SANTOS Jorge Monteiro;176;-0,67;-0,52;-0,16;-0,10;101;  -0,23;74;0,07;62;-0,38;39;0,02;34;-0,04;40;-0,22;74;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
VAN DER VOORDEN Peter - KOLEN Jan;16;0,36;-0,19;0,55;0,05;8;  1,05;8;-0,38;3;0,31;5;0,33;6;0,33;2;0,72;8;
EYSTEINSSON Bjorn - JORGENSEN Adalsteinn;48;0,24;0,33;-0,09;-0,39;26;  0,26;22;-0,39;15;-0,39;11;-0,28;9;0,36;13;0,17;22;
STRETZ Francois - BITRAN Albert;96;0,16;0,38;-0,23;-0,47;48;  0,02;48;-0,54;21;-0,42;27;0,37;22;-0,13;26;-0,08;48;
INGASON Haukur - JORGENSEN Adalsteinn;80;0,15;-0,24;0,39;-0,05;34;  0,72;46;-0,52;15;0,31;19;0,43;26;0,41;20;0,30;46;
DIXON Christopher - HALLBERG Gunnar;32;-0,13;-0,22;0,09;0,27;23;  -0,36;9;-0,57;9;0,81;14;0,07;6;-0,10;3;-0,37;9;
AVCIOGLU Huseyin Kerem - SIRIKLIOGLU Mehmet;32;-0,54;-0,00;-0,53;-2,09;15;  0,84;17;-3,21;8;-0,80;7;-0,18;9;-0,42;8;1,13;17;
JONSSON Skafti - JORGENSEN Adalsteinn;48;-0,54;-0,22;-0,32;-0,07;25;  -0,60;23;-1,02;13;0,96;12;0,00;8;-0,05;15;-0,57;23;
HERMANNSSON Gudmundur S, - JORGENSEN Adalsteinn;32;-1,56;-0,71;-0,84;-1,26;15;  -0,47;17;-0,01;10;-3,76;5;-0,03;6;0,15;11;-0,56;17;
CASTANO Luis - CRUZEIRO Jorge;16;0,19;0,96;-0,77;0,28;7;  -1,59;9;1,45;3;-0,60;4;0,18;6;-1,88;3;-1,08;9;

