                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BROCK Sally - SMITH Nicola                             |  192   1.64 |  1.05   0.60 |  0.11 ( 99)   1.12 ( 92) |  0.13 ( 55)   0.10 ( 44) |  0.50 ( 47)   0.10 ( 45)   0.82 ( 92) |
MOSS Sylvia - RADIN Judi                               |  143   1.22 |  0.48   0.73 |  0.68 ( 78)   0.79 ( 65) |  0.72 ( 32)   0.66 ( 46) |  0.19 ( 31)   0.55 ( 34)   0.41 ( 65) |
DHONDY Heather - SENIOR Nevena                         |  176   1.15 |  0.46   0.69 |  0.62 ( 90)   0.76 ( 86) |  0.72 ( 41)   0.54 ( 49) |  0.32 ( 40)   0.12 ( 46)   0.55 ( 86) |
SEAMON-MOLSON Janice - SOKOLOW Tobi                    |  208   0.96 |  0.46   0.50 |  0.55 (118)   0.44 ( 90) |  0.92 ( 51)   0.27 ( 67) | -0.25 ( 48)  -0.19 ( 42)   0.67 ( 90) |
FERLAZZO Caterina - MANARA Gabriella                   |  224   0.58 |  0.20   0.38 |  0.54 (107)   0.24 (117) |  0.49 ( 55)   0.58 ( 52) |  0.08 ( 62)   0.37 ( 55)   0.02 (117) |
DRAPER Catherine - ROSEN Anne                          |  176   0.48 |  0.30   0.18 |  0.34 ( 80)   0.04 ( 96) |  0.15 ( 42)   0.55 ( 38) | -0.08 ( 53)   0.06 ( 43)   0.06 ( 96) |
TORIELLI Vanessa - POMARES Y De Morant Claudia         |  144   0.48 | -0.02   0.50 |  0.58 ( 69)   0.43 ( 74) |  0.74 ( 29)   0.46 ( 40) |  0.02 ( 31)   0.09 ( 43)   0.37 ( 74) |
BANNO Kazuko - SHIMAMURA Kyoko                         |  240   0.47 |  0.25   0.22 |  0.19 (114)   0.24 (126) |  0.67 ( 63)  -0.39 ( 51) |  0.19 ( 55)   0.19 ( 71)   0.05 (126) |
FUGLESTAD Ann Karin - HARDING Marianne                 |  224   0.46 |  0.32   0.14 | -0.04 (114)   0.32 (110) | -0.70 ( 49)   0.46 ( 65) |  0.10 ( 39)   0.25 ( 71)   0.13 (110) |
BREWIAK Grazyna - SARNIAK Anna                         |  224   0.44 |  0.20   0.24 | -0.21 (103)   0.62 (121) | -0.06 ( 50)  -0.35 ( 53) |  0.25 ( 53)  -0.03 ( 68)   0.53 (121) |
AMARAL Marina - PONCIONI Graca                         |  160   0.37 |  0.49  -0.12 | -0.55 ( 76)   0.26 ( 84) | -0.06 ( 39)  -1.06 ( 37) |  0.07 ( 43)   0.02 ( 41)   0.22 ( 84) |
MANDELOT Agota - NOGUEIRA Heloisa                      |  176   0.36 |  0.30   0.06 |  0.33 ( 95)  -0.25 ( 80) |  0.31 ( 47)   0.34 ( 48) |  0.19 ( 47)  -0.16 ( 33)  -0.30 ( 80) |
BREED Mildred - LETIZIA Marinesa                       |  192   0.31 | -0.01   0.31 |  0.02 ( 90)   0.56 (102) | -0.11 ( 44)   0.15 ( 46) |  0.26 ( 55)   0.01 ( 47)   0.42 (102) |
KATER Ewa - KOZYRA Ewa                                 |  144   0.27 |  0.18   0.09 |  0.04 ( 71)   0.14 ( 73) |  0.35 ( 38)  -0.31 ( 33) | -0.02 ( 40)   0.08 ( 33)   0.12 ( 73) |
DE MELLO Sylvia Figueira - PAIN Leda                   |  208   0.24 |  0.19   0.05 |  0.03 (101)   0.06 (107) |  0.49 ( 19)  -0.08 ( 82) | -0.08 ( 84)   0.41 ( 23)   0.04 (107) |
BADRANKOVA Sviatlana - SHOKHAN Elena                   |  224   0.23 |  0.26  -0.03 | -0.10 (111)   0.05 (112) |  0.10 ( 52)  -0.28 ( 59) |  0.21 ( 50)   0.15 ( 62)  -0.13 (112) |
