                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
GOLD David - TOWNSEND Tom                              |  192   1.04 |  0.49   0.56 |  0.66 (111)   0.41 ( 81) |  0.53 ( 50)   0.77 ( 61) | -0.22 ( 39)   0.69 ( 42)   0.16 ( 81) |
PIEKAREK Josef - SMIRNOV Alexander                     |  192   1.03 |  0.77   0.26 |  0.41 ( 89)   0.13 (103) |  0.70 ( 50)   0.04 ( 39) |  0.07 ( 66)  -0.00 ( 37)   0.09 (103) |
FREEMAN Richard (Dick) - NICKELL Nick                  |  160   0.99 |  0.63   0.37 |  0.40 ( 90)   0.32 ( 70) |  0.59 ( 49)   0.18 ( 41) |  0.28 ( 38)   0.12 ( 32)   0.11 ( 70) |
WLADOW Entscho - ELINESCU Michael                      |  192   0.96 |  0.35   0.61 |  0.37 (104)   0.89 ( 88) |  0.28 ( 53)   0.48 ( 51) |  0.71 ( 39)   0.01 ( 49)   0.57 ( 88) |
GROMOELLER Michael - KIRMSE Andreas                    |  160   0.86 |  0.17   0.69 |  0.98 ( 77)   0.43 ( 82) |  1.52 ( 33)   0.57 ( 44) | -0.28 ( 49)  -0.35 ( 33)   0.74 ( 82) |
MECKSTROTH Jeff - RODWELL Eric                         |  240   0.86 |  0.41   0.44 |  0.67 (122)   0.21 (118) |  0.99 ( 71)   0.22 ( 51) |  0.05 ( 65)  -0.08 ( 53)   0.22 (118) |
GOKSU Hakan - BEDIR Selahaddin                         |  176   0.80 |  0.57   0.23 |  0.55 ( 91)  -0.11 ( 84) |  0.81 ( 49)   0.25 ( 42) | -0.19 ( 46)  -0.10 ( 38)   0.03 ( 84) |
KANDEMIR Ismail - KOLATA Suleyman                      |  240   0.64 |  0.45   0.19 |  0.08 (124)   0.31 (116) | -0.36 ( 50)   0.38 ( 74) |  0.26 ( 65)   0.05 ( 51)   0.14 (116) |
HACKETT Jason - HACKETT Justin                         |  192   0.62 |  0.68  -0.06 | -0.27 ( 97)   0.16 ( 95) |  0.10 ( 45)  -0.60 ( 52) | -0.28 ( 45)   0.05 ( 50)   0.26 ( 95) |
GEORGE Julius Anthonius - ASBI Taufik Gautama          |  208   0.56 | -0.07   0.63 |  0.48 (104)   0.79 (104) |  0.51 ( 43)   0.45 ( 61) |  0.48 ( 44)   0.20 ( 60)   0.47 (104) |
JITNGAMKUSOL Terasak - PLENGSAP Kridsadayut            |  192   0.56 |  0.43   0.13 | -0.08 ( 92)   0.33 ( 99) |  0.37 ( 41)  -0.44 ( 51) |  0.14 ( 39)   0.24 ( 60)   0.13 ( 99) |
MEDUSHEUSKI Henadzi - SOTNIKAU Andrej                  |  224   0.41 |  0.33   0.08 | -0.24 (100)   0.34 (124) | -0.51 ( 48)   0.02 ( 52) |  0.30 ( 60)   0.28 ( 64)   0.05 (124) |
KARWUR Franky Steven - PANELEWEN Santje                |  160   0.40 |  0.20   0.20 |  0.02 ( 70)   0.34 ( 90) |  0.01 ( 37)   0.04 ( 33) | -0.40 ( 37)   0.19 ( 53)   0.39 ( 90) |
GONTHA Leslie - BOJOH Jemmy                            |  176   0.36 |  0.37  -0.01 |  0.04 ( 82)  -0.06 ( 93) | -0.04 ( 41)   0.12 ( 41) | -0.27 ( 51)   0.12 ( 42)   0.03 ( 93) |
MALINOWSKI Artur - SANDQVIST Nicklas                   |  160   0.25 |  0.08   0.17 |  0.19 ( 77)   0.15 ( 83) |  0.22 ( 40)   0.15 ( 37) | -0.29 ( 35)   0.31 ( 48)   0.09 ( 83) |
ANG-KAEW Pramoul - LIMSINSOPON Kirawat                 |  176   0.25 |  0.30  -0.05 | -0.56 ( 97)   0.57 ( 79) | -0.64 ( 49)  -0.48 ( 48) |  0.33 ( 44)   0.05 ( 35)   0.37 ( 79) |
OLANSKI Wojtek - VAINIKONIS Vytautas                   |  176   0.22 | -0.01   0.22 |  0.02 ( 97)   0.48 ( 78) |  0.06 ( 66)  -0.07 ( 31) |  0.33 ( 48)  -0.13 ( 30)   0.34 ( 78) |
KARAMANLIS Philippos - PROTONOTARIOS Manolis           |  192   0.20 |  0.10   0.11 |  0.14 (105)   0.07 ( 87) | -0.12 ( 60)   0.49 ( 45) | -0.61 ( 33)  -0.10 ( 54)   0.36 ( 87) |
GHANEM Marwan - BARAKAT Sireen                         |  272   0.17 |  0.44  -0.27 | -0.15 (131)  -0.37 (141) |  0.18 ( 70)  -0.52 ( 61) |  0.03 ( 73)  -0.24 ( 68)  -0.27 (141) |
TUASON Carmen - VIROLA Romulo                          |  176   0.14 |  0.11   0.04 |  0.08 ( 93)  -0.01 ( 83) |  0.16 ( 32)   0.03 ( 61) |  0.48 ( 36)  -0.61 ( 47)   0.13 ( 83) |
ZOTOS Loukas - SAPOUNAKIS Aris                         |  192   0.12 |  0.45  -0.33 | -0.36 ( 99)  -0.30 ( 92) | -0.26 ( 48)  -0.46 ( 51) |  0.00 ( 52)  -0.07 ( 40)  -0.27 ( 92) |
BRIGHTLING Richard J - THOMSON Ian                     |  160   0.12 |  0.31  -0.19 | -0.01 ( 74)  -0.35 ( 86) | -0.32 ( 35)   0.27 ( 39) | -0.53 ( 49)   0.60 ( 37)  -0.30 ( 86) |
BOZEMPERGK Kostas - KAMINARIS Filaretos                |  160   0.09 | -0.28   0.38 |  0.48 ( 79)   0.28 ( 81) |  0.25 ( 36)   0.67 ( 43) | -0.45 ( 40)   0.34 ( 41)   0.33 ( 81) |
GRADOVSKY Oleg - VALFSON Mikhail                       |  208   0.04 |  0.05  -0.01 |  0.01 (109)  -0.03 ( 99) | -0.18 ( 59)   0.23 ( 50) |  0.42 ( 46)   0.01 ( 53)  -0.23 ( 99) |
KITCHAKARN Patnarin - LEELASA-NGUAN Pornthep           |  176   0.03 | -0.11   0.13 |  0.25 ( 89)   0.02 ( 87) |  0.42 ( 44)   0.08 ( 45) | -0.11 ( 48)   0.19 ( 39)  -0.01 ( 87) |
BASALYGA Vadim - RAMANOVICH Siarhei                    |  112   0.03 | -0.46   0.49 |  0.91 ( 53)   0.11 ( 58) |  0.70 ( 21)   1.05 ( 32) |  0.45 ( 32)  -0.41 ( 26)   0.05 ( 58) |
GILL Peter - RICHMAN Bobby                             |  208   0.02 | -0.04   0.06 |  0.24 (113)  -0.16 ( 95) |  0.60 ( 43)   0.02 ( 70) | -0.08 ( 43)  -0.22 ( 52)   0.00 ( 95) |
ABOU CHANAB Bachar - SASSELLI Marco                    |  192   0.01 | -0.13   0.14 |  0.38 ( 83)  -0.04 (109) |  0.84 ( 41)  -0.07 ( 42) | -0.01 ( 61)   0.02 ( 48)  -0.04 (109) |
