Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BUTT Nauman - NAQI Zia Hyder;173;-0,51;-0,25;-0,27;-0,04;74;  -0,44;99;-0,38;31;0,20;43;0,08;37;-0,32;62;-0,27;99;
FAIGENBAUM Albert - PILON Dominique;128;-0,58;-0,36;-0,22;-0,01;69;  -0,46;59;-0,40;34;0,38;35;-0,26;26;-0,37;33;-0,14;59;
PERSAD Bobby - SEEPERSAD Mohan;176;-0,64;-0,26;-0,38;-0,30;93;  -0,46;83;-0,74;34;-0,05;59;-0,20;33;-0,43;50;-0,12;83;
CHEONG Hong Mou - LAI U Peng;127;-0,70;-0,61;-0,09;-0,19;61;  -0,00;66;-0,27;31;-0,11;30;-0,25;28;0,05;38;0,08;66;
AJANIA Nurdin - BHATT Krishnakant;176;-1,25;-0,88;-0,37;-0,33;92;  -0,41;84;-0,47;39;-0,23;53;-0,20;55;0,07;29;-0,31;84;
FITZPATRICK Alvin - HOWARD Joseph;144;-1,34;-1,27;-0,07;-0,06;86;  -0,09;58;0,33;49;-0,57;37;0,13;29;0,04;29;-0,18;58;
MOKRAN Pavel - SUCHA Eva;176;-1,51;-0,71;-0,80;-0,24;83;  -1,29;93;0,01;54;-0,70;29;-0,28;33;0,12;60;-1,27;93;
SHAH Kamal K - SHARMA Rakesh;160;-1,58;-1,17;-0,41;-0,42;82;  -0,40;78;-0,93;49;0,33;33;0,15;41;-0,15;37;-0,41;78;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SEMENTA Antonio - VERSACE Alfredo;16;1,75;0,43;1,32;1,78;13;  -0,68;3;0,85;7;2,87;6;0,33;1;0,22;2;-0,94;3;
CHEONG Hong Mou - ROSARIO Antonio Pedro do;16;1,44;1,33;0,11;0,21;11;  -0,13;5;-0,02;6;0,49;5;0,00;1;0,04;4;-0,16;5;
CHEONG Hong Mou - LEI Vincent;32;0,69;0,38;0,31;-0,53;17;  1,26;15;-0,20;9;-0,90;8;-0,16;8;0,36;7;1,18;15;
CASTELLO BRANCO Marcelo - FIGUEIREDO Mauricio;32;0,59;-0,40;1,00;0,89;15;  1,09;17;1,78;8;-0,11;7;0,07;8;0,03;9;1,04;17;
HAMZARAJ Rasim - XHULI Armand;16;0,38;1,65;-1,27;-0,10;9;  -2,78;7;-0,11;8;0,00;1;-2,73;7;-;0;-0,05;7;
HAMZARAJ Rasim - XHULI Vjollca;48;-0,48;0,00;-0,48;-0,16;19;  -0,69;29;1,55;12;-3,11;7;-0,69;15;0,38;14;-0,52;29;
XHORI Artan - XHULI Armand;79;-0,54;-0,35;-0,20;-0,46;34;  0,00;45;-0,23;18;-0,72;16;0,28;18;-0,38;27;0,12;45;
KAPO Kostandin - XHORI Artan;80;-0,59;-0,67;0,08;0,30;43;  -0,17;37;0,11;27;0,63;16;0,03;22;-0,09;15;-0,15;37;
BRENNER Diego - FIGUEIREDO Mauricio;47;-0,79;0,07;-0,85;-0,63;16;  -1,03;29;-0,79;9;-0,43;7;-0,28;11;-0,48;18;-0,63;29;
HAMZARAJ Rasim - SHEQI Gezim;64;-1,44;-0,77;-0,67;-0,74;29;  -0,61;35;-0,74;24;-0,75;5;0,13;22;-0,15;13;-0,63;35;
CHAGAS Gabriel - ASSUMPCAO Pedro Paulo;16;-1,44;-1,10;-0,34;-0,05;8;  -0,63;8;0,83;6;-2,71;2;0,08;2;-0,06;6;-0,60;8;
KAPO Kostandin - XHULI Vjollca;96;-1,82;-0,52;-1,30;-0,96;40;  -1,55;56;-0,21;26;-2,35;14;-0,73;22;0,22;34;-1,39;56;
KAPO Kostandin - SHEQI Gezim;48;-1,92;-0,69;-1,23;-1,91;25;  -0,49;23;-2,96;13;-0,77;12;0,34;10;-0,07;13;-0,59;23;
SHEQI Gezim - XHULI Armand;80;-3,40;-2,18;-1,22;-1,43;48;  -0,92;32;-1,86;22;-1,06;26;-0,86;14;-0,46;18;-0,28;32;

