                                                       |             |              |           Play           |        Declaring         |                Defending              |
COPE Tim - HOLMAN Glen                                 |  176  -0.05 |  0.09  -0.13 | -0.19 ( 89)  -0.08 ( 87) | -0.36 ( 49)   0.02 ( 40) |  0.23 ( 31)   0.02 ( 56)  -0.17 ( 87) |
CARROLL John - GARVEY Tommy                            |  224  -0.12 |  0.14  -0.26 | -0.29 (123)  -0.22 (101) | -0.09 ( 63)  -0.50 ( 60) | -0.33 ( 41)   0.26 ( 60)  -0.25 (101) |
NODA Hiroyuki - OHTAKA Eiji                            |  160  -0.16 |  0.21  -0.37 | -0.04 ( 76)  -0.66 ( 84) | -0.11 ( 43)   0.04 ( 33) | -0.39 ( 43)   0.11 ( 41)  -0.51 ( 84) |
BOROS Gejza - MUNKA Vladimir                           |  160  -0.17 | -0.35   0.18 |  0.76 ( 78)  -0.37 ( 82) |  0.69 ( 32)   0.82 ( 46) | -0.10 ( 29)  -0.22 ( 53)  -0.20 ( 82) |
MOHAMED Shamshad - MOHAMMED Kalamazad                  |  192  -0.19 | -0.03  -0.16 | -0.18 ( 97)  -0.14 ( 93) | -0.43 ( 46)   0.04 ( 51) | -0.03 ( 46)  -0.66 ( 47)   0.20 ( 93) |
SHAH Ashwin - SHAH Prafula                             |  176  -0.24 | -0.26   0.02 | -0.06 ( 82)   0.10 ( 94) | -0.08 ( 51)  -0.02 ( 31) |  0.24 ( 46)   0.08 ( 48)  -0.06 ( 94) |
FERGANI Kamel - L'ECUYER Nicolas                       |  160  -0.35 | -0.41   0.05 |  0.24 ( 78)  -0.13 ( 82) | -0.13 ( 35)   0.55 ( 43) |  0.41 ( 43)  -0.44 ( 39)  -0.13 ( 82) |
LEI Vincent - ROSARIO Antonio Pedro do                 |  143  -0.35 | -0.62   0.27 |  0.58 ( 60)   0.04 ( 82) |  0.50 ( 30)   0.66 ( 30) | -0.05 ( 30)   0.33 ( 52)  -0.15 ( 82) |
LIAQAT Farrukh - RAHIM Yasser                          |  192  -0.38 |  0.04  -0.42 | -0.34 (106)  -0.52 ( 85) | -0.71 ( 43)  -0.09 ( 63) |  0.17 ( 43)  -0.08 ( 42)  -0.57 ( 85) |
KOBAYASHI Yasushi - YOSHIDA Masaru                     |  175  -0.38 | -0.08  -0.31 | -0.54 ( 85)  -0.08 ( 90) |  0.17 ( 38)  -1.12 ( 47) | -0.06 ( 39)  -0.45 ( 51)   0.20 ( 90) |
BUTT Nauman - NAQI Zia Hyder                           |  173  -0.45 | -0.21  -0.23 |  0.01 ( 74)  -0.41 ( 99) | -0.33 ( 31)   0.26 ( 43) |  0.06 ( 37)  -0.29 ( 62)  -0.25 ( 99) |
FAIGENBAUM Albert - PILON Dominique                    |  128  -0.46 | -0.31  -0.15 |  0.09 ( 69)  -0.43 ( 59) | -0.25 ( 34)   0.43 ( 35) | -0.27 ( 26)  -0.32 ( 33)  -0.14 ( 59) |
PERSAD Bobby - SEEPERSAD Mohan                         |  176  -0.52 | -0.18  -0.34 | -0.30 ( 93)  -0.38 ( 83) | -0.72 ( 34)  -0.06 ( 59) | -0.17 ( 33)  -0.37 ( 50)  -0.09 ( 83) |
CHEONG Hong Mou - LAI U Peng                           |  127  -0.61 | -0.50  -0.11 | -0.17 ( 61)  -0.07 ( 66) | -0.29 ( 31)  -0.04 ( 30) | -0.19 ( 28)   0.00 ( 38)   0.02 ( 66) |
AJANIA Nurdin - BHATT Krishnakant                      |  176  -1.22 | -0.84  -0.38 | -0.38 ( 92)  -0.37 ( 84) | -0.46 ( 39)  -0.33 ( 53) | -0.19 ( 55)   0.09 ( 29)  -0.28 ( 84) |
FITZPATRICK Alvin - HOWARD Joseph                      |  144  -1.32 | -1.22  -0.10 | -0.06 ( 86)  -0.16 ( 58) |  0.25 ( 49)  -0.47 ( 37) |  0.07 ( 29)   0.01 ( 29)  -0.20 ( 58) |
SHAH Kamal K - SHARMA Rakesh                           |  160  -1.36 | -0.99  -0.38 | -0.37 ( 82)  -0.38 ( 78) | -0.83 ( 49)   0.31 ( 33) |  0.12 ( 41)  -0.13 ( 37)  -0.38 ( 78) |
MOKRAN Pavel - SUCHA Eva                               |  176  -1.36 | -0.61  -0.75 | -0.24 ( 83)  -1.21 ( 93) | -0.00 ( 54)  -0.70 ( 29) | -0.25 ( 33)   0.08 ( 60)  -1.17 ( 93) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
SEMENTA Antonio - VERSACE Alfredo                      |   16   1.74 |  0.56   1.18 |  1.63 ( 13)  -0.78 (  3) |  0.65 (  7)   2.78 (  6) |  0.26 (  1)   0.17 (  2)  -0.98 (  3) |
CHEONG Hong Mou - ROSARIO Antonio Pedro do             |   16   0.99 |  0.93   0.05 |  0.15 ( 11)  -0.16 (  5) | -0.06 (  6)   0.41 (  5) |  0.00 (  1)  -0.02 (  4)  -0.14 (  5) |
CHEONG Hong Mou - LEI Vincent                          |   32   0.65 |  0.40   0.25 | -0.53 ( 17)   1.15 ( 15) | -0.29 (  9)  -0.81 (  8) | -0.09 (  8)   0.28 (  7)   1.06 ( 15) |
CASTELLO BRANCO Marcelo - FIGUEIREDO Mauricio          |   32   0.55 | -0.30   0.85 |  0.75 ( 15)   0.94 ( 17) |  1.76 (  8)  -0.40 (  7) |  0.01 (  8)  -0.00 (  9)   0.94 ( 17) |
HAMZARAJ Rasim - XHULI Armand                          |   16  -0.07 |  1.16  -1.23 | -0.14 (  9)  -2.64 (  7) | -0.15 (  8)   0.00 (  1) | -2.62 (  7)      - (  0)  -0.02 (  7) |
