Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
COTTI Alain - LEOUTHAM Jules;192;-0,25;-0,06;-0,19;-0,17;91;  -0,21;101;-0,08;47;-0,26;44;-0,11;57;-0,06;44;-0,12;101;
GERMANIS Aigars - SMILGAJS Andris;160;-0,32;-0,51;0,19;0,30;84;  0,08;74;0,24;57;0,43;27;-0,31;44;0,24;30;0,17;74;
CHOI Jung Jin - LEE Kyeom Soon;160;-0,49;0,09;-0,58;-0,45;79;  -0,71;81;-0,35;49;-0,61;30;-0,02;39;-0,35;42;-0,52;81;
GENEROSI Gian Mario - PECCI Ferrante;176;-0,50;-0,43;-0,07;0,03;92;  -0,19;83;-0,02;58;0,11;34;-0,22;50;0,09;33;-0,09;83;
LAU Pik-Kin Tony - SZE Shun Sum Alan;160;-0,52;-0,10;-0,42;-0,15;78;  -0,68;82;-0,32;42;0,04;36;-0,05;44;-0,19;38;-0,56;82;
WHITE Hubert - WONG Calvin;176;-0,56;0,16;-0,72;-0,70;90;  -0,73;86;-0,78;48;-0,62;42;0,26;44;-0,31;42;-0,71;86;
HENRIQUES Jose Carlos - SA Joao;176;-0,56;-0,30;-0,27;-0,66;84;  0,09;90;-1,10;36;-0,33;48;0,01;45;0,42;45;-0,12;90;
FUCIK Jan - PURKARTHOFER Gunther;144;-0,56;-0,44;-0,12;-0,49;59;  0,14;84;-0,45;35;-0,56;24;-0,25;47;-0,01;37;0,28;84;
MATHESON John - SIME Iain;176;-0,60;-0,33;-0,26;-0,20;86;  -0,32;89;-0,70;41;0,25;45;-0,33;40;-0,08;49;-0,14;89;
CHOI Jung Jin - JANG Jung Bae;112;-0,72;-0,38;-0,35;0,12;58;  -0,85;54;-0,31;29;0,56;29;-0,16;29;-0,29;25;-0,63;54;
MONTELONGO Dora - PAGANI Enrico;192;-0,82;-0,11;-0,71;-0,38;97;  -1,05;95;-0,48;63;-0,21;34;-0,12;61;-0,51;34;-0,78;95;
BRISON Jean-Pierre - MEDAN Didier;192;-1,00;-0,48;-0,52;-0,17;100;  -0,92;90;-0,54;48;0,17;52;-0,31;45;-0,04;45;-0,74;90;
DIBBS Joseph Michael - LEE Karl;192;-1,00;-0,47;-0,53;-0,06;86;  -0,91;106;-0,21;40;0,06;46;-0,48;63;-0,07;43;-0,59;106;
GOLFARELLI DELLA MASSA Vittorio - MONTANELLI Enzo;160;-1,01;-0,39;-0,63;-0,39;94;  -0,97;66;-0,42;39;-0,36;55;0,13;36;-0,00;30;-1,04;66;
CESPEDES Ma, Guadalupe - HERRERA Gonzalo;192;-1,08;-0,81;-0,27;-0,58;86;  -0,02;106;-1,16;30;-0,27;56;-0,17;53;-0,32;53;0,22;106;
BLAIS Christian - MAZET Charly Didier Jean Jacques;160;-1,11;-0,41;-0,71;-0,35;66;  -0,95;94;-0,38;55;-0,24;11;0,52;5;-0,15;89;-0,84;94;
LEE Bok Hee - SEO Neong Wook;192;-1,56;-1,23;-0,33;-0,49;113;  -0,11;79;0,11;57;-1,10;56;0,26;45;-0,68;34;0,04;79;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
GERMANIS Aigars - JANSONS Ugis;16;2,25;0,38;1,87;1,72;13;  2,50;3;0,41;4;2,30;9;-0,07;2;1,53;1;2,04;3;
FUCIK Jan - BABSCH Andreas;32;1,72;1,52;0,20;0,60;17;  -0,26;15;0,78;12;0,17;5;0,21;7;-0,30;8;-0,20;15;
ZUMEL Gerardo Enrique - ALFONSIN Julio Alberto;16;1,00;0,64;0,36;0,03;9;  0,79;7;0,26;7;-0,77;2;1,87;3;-0,03;4;0,00;7;
CHOKSHI Sunit - GUPTA Subhash;32;0,88;-0,22;1,09;0,26;15;  1,82;17;0,51;8;-0,03;7;1,01;8;0,21;9;1,24;17;
ZUMEL Gerardo Enrique - ALUJAS Gustavo Jorge;64;-0,77;0,04;-0,81;-0,62;30;  -0,97;34;-0,66;13;-0,59;17;-0,17;20;-0,46;14;-0,68;34;
JANG Jung Bae - SEO Neong Wook;80;-1,83;-1,19;-0,64;-0,30;37;  -0,92;43;0,28;20;-0,99;17;0,13;22;-0,13;21;-0,93;43;

