                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FREEMAN Richard (Dick) - NICKELL Nick                  |  160   1.20 |  0.82   0.38 |  0.41 ( 90)   0.36 ( 70) |  0.67 ( 49)   0.09 ( 41) |  0.32 ( 38)   0.21 ( 32)   0.09 ( 70) |
GOLD David - TOWNSEND Tom                              |  192   1.19 |  0.57   0.62 |  0.73 (111)   0.48 ( 81) |  0.62 ( 50)   0.81 ( 61) | -0.23 ( 39)   0.79 ( 42)   0.18 ( 81) |
PIEKAREK Josef - SMIRNOV Alexander                     |  192   1.03 |  0.78   0.25 |  0.47 ( 89)   0.06 (103) |  0.80 ( 50)   0.04 ( 39) |  0.04 ( 66)  -0.10 ( 37)   0.07 (103) |
WLADOW Entscho - ELINESCU Michael                      |  192   1.02 |  0.37   0.65 |  0.45 (104)   0.89 ( 88) |  0.38 ( 53)   0.52 ( 51) |  0.69 ( 39)  -0.04 ( 49)   0.61 ( 88) |
GROMOELLER Michael - KIRMSE Andreas                    |  160   1.01 |  0.26   0.76 |  1.08 ( 77)   0.46 ( 82) |  1.66 ( 33)   0.64 ( 44) | -0.31 ( 49)  -0.40 ( 33)   0.81 ( 82) |
GOKSU Hakan - BEDIR Selahaddin                         |  176   0.88 |  0.61   0.27 |  0.63 ( 91)  -0.11 ( 84) |  0.89 ( 49)   0.32 ( 42) | -0.23 ( 46)  -0.11 ( 38)   0.06 ( 84) |
MECKSTROTH Jeff - RODWELL Eric                         |  240   0.85 |  0.36   0.49 |  0.76 (122)   0.21 (118) |  1.15 ( 71)   0.21 ( 51) |  0.04 ( 65)  -0.10 ( 53)   0.23 (118) |
KANDEMIR Ismail - KOLATA Suleyman                      |  240   0.81 |  0.57   0.24 |  0.11 (124)   0.38 (116) | -0.41 ( 50)   0.47 ( 74) |  0.29 ( 65)   0.09 ( 51)   0.17 (116) |
JITNGAMKUSOL Terasak - PLENGSAP Kridsadayut            |  192   0.69 |  0.53   0.16 | -0.06 ( 92)   0.36 ( 99) |  0.43 ( 41)  -0.45 ( 51) |  0.15 ( 39)   0.26 ( 60)   0.14 ( 99) |
HACKETT Jason - HACKETT Justin                         |  192   0.61 |  0.72  -0.11 | -0.34 ( 97)   0.13 ( 95) |  0.05 ( 45)  -0.68 ( 52) | -0.34 ( 45)   0.06 ( 50)   0.26 ( 95) |
GEORGE Julius Anthonius - ASBI Taufik Gautama          |  208   0.57 | -0.12   0.69 |  0.53 (104)   0.85 (104) |  0.59 ( 43)   0.48 ( 61) |  0.49 ( 44)   0.24 ( 60)   0.51 (104) |
MEDUSHEUSKI Henadzi - SOTNIKAU Andrej                  |  224   0.56 |  0.49   0.07 | -0.25 (100)   0.34 (124) | -0.55 ( 48)   0.02 ( 52) |  0.33 ( 60)   0.31 ( 64)   0.02 (124) |
GONTHA Leslie - BOJOH Jemmy                            |  176   0.48 |  0.49  -0.01 |  0.08 ( 82)  -0.09 ( 93) |  0.05 ( 41)   0.12 ( 41) | -0.33 ( 51)   0.14 ( 42)   0.03 ( 93) |
KARWUR Franky Steven - PANELEWEN Santje                |  160   0.44 |  0.19   0.24 |  0.03 ( 70)   0.41 ( 90) |  0.00 ( 37)   0.07 ( 33) | -0.46 ( 37)   0.25 ( 53)   0.45 ( 90) |
MALINOWSKI Artur - SANDQVIST Nicklas                   |  160   0.32 |  0.10   0.23 |  0.21 ( 77)   0.24 ( 83) |  0.20 ( 40)   0.22 ( 37) | -0.29 ( 35)   0.39 ( 48)   0.13 ( 83) |
BRIGHTLING Richard J - THOMSON Ian                     |  160   0.29 |  0.51  -0.22 | -0.00 ( 74)  -0.40 ( 86) | -0.32 ( 35)   0.28 ( 39) | -0.54 ( 49)   0.70 ( 37)  -0.39 ( 86) |
KARAMANLIS Philippos - PROTONOTARIOS Manolis           |  192   0.28 |  0.16   0.12 |  0.13 (105)   0.11 ( 87) | -0.16 ( 60)   0.52 ( 45) | -0.66 ( 33)  -0.12 ( 54)   0.43 ( 87) |
ANG-KAEW Pramoul - LIMSINSOPON Kirawat                 |  176   0.27 |  0.35  -0.08 | -0.62 ( 97)   0.59 ( 79) | -0.68 ( 49)  -0.56 ( 48) |  0.36 ( 44)   0.03 ( 35)   0.37 ( 79) |
OLANSKI Wojtek - VAINIKONIS Vytautas                   |  176   0.26 | -0.01   0.27 |  0.06 ( 97)   0.53 ( 78) |  0.10 ( 66)  -0.04 ( 31) |  0.38 ( 48)  -0.17 ( 30)   0.36 ( 78) |
GHANEM Marwan - BARAKAT Sireen                         |  272   0.23 |  0.52  -0.28 | -0.17 (131)  -0.39 (141) |  0.17 ( 70)  -0.56 ( 61) |  0.04 ( 73)  -0.27 ( 68)  -0.28 (141) |
TUASON Carmen - VIROLA Romulo                          |  176   0.13 |  0.08   0.05 |  0.10 ( 93)  -0.00 ( 83) |  0.23 ( 32)   0.03 ( 61) |  0.56 ( 36)  -0.61 ( 47)   0.10 ( 83) |
ZOTOS Loukas - SAPOUNAKIS Aris                         |  192   0.10 |  0.49  -0.39 | -0.45 ( 99)  -0.34 ( 92) | -0.30 ( 48)  -0.59 ( 51) |  0.02 ( 52)  -0.10 ( 40)  -0.31 ( 92) |
BOZEMPERGK Kostas - KAMINARIS Filaretos                |  160   0.09 | -0.36   0.45 |  0.61 ( 79)   0.30 ( 81) |  0.34 ( 36)   0.83 ( 43) | -0.51 ( 40)   0.42 ( 41)   0.34 ( 81) |
ABOU CHANAB Bachar - SASSELLI Marco                    |  192   0.09 | -0.05   0.15 |  0.41 ( 83)  -0.06 (109) |  0.91 ( 41)  -0.07 ( 42) | -0.00 ( 61)   0.05 ( 48)  -0.08 (109) |
KITCHAKARN Patnarin - LEELASA-NGUAN Pornthep           |  176   0.01 | -0.13   0.15 |  0.26 ( 89)   0.03 ( 87) |  0.48 ( 44)   0.04 ( 45) | -0.14 ( 48)   0.25 ( 39)   0.00 ( 87) |
GRADOVSKY Oleg - VALFSON Mikhail                       |  208   0.00 |  0.01  -0.01 |  0.02 (109)  -0.03 ( 99) | -0.14 ( 59)   0.20 ( 50) |  0.43 ( 46)  -0.00 ( 53)  -0.23 ( 99) |
EIDI Michel - HARFOUCHE Gabriel                        |  224   0.00 |  0.12  -0.12 | -0.22 (119)  -0.00 (103) | -0.27 (107)   0.19 ( 12) | -0.04 ( 10)  -0.22 ( 93)   0.20 (103) |
GILL Peter - RICHMAN Bobby                             |  208  -0.05 | -0.09   0.04 |  0.24 (113)  -0.20 ( 95) |  0.65 ( 43)  -0.01 ( 70) | -0.12 ( 43)  -0.28 ( 52)   0.00 ( 95) |
JOVANOVIC Dejan - KOLDZIC Zoran                        |  272  -0.06 | -0.09   0.03 |  0.17 (131)  -0.10 (140) | -0.05 ( 79)   0.49 ( 52) |  0.45 ( 70)  -0.14 ( 70)  -0.26 (140) |
BASALYGA Vadim - RAMANOVICH Siarhei                    |  112  -0.06 | -0.59   0.53 |  0.95 ( 53)   0.15 ( 58) |  0.65 ( 21)   1.15 ( 32) |  0.52 ( 32)  -0.50 ( 26)   0.09 ( 58) |
SAULIS Alvydas - VAINIKONIS Erikas                     |  176  -0.07 | -0.32   0.25 |  0.04 ( 84)   0.44 ( 92) |  1.21 ( 35)  -0.79 ( 49) |  0.44 ( 45)   0.32 ( 47)   0.06 ( 92) |
KOKSOY Enver - OZGUL Levent                            |  128  -0.15 | -0.03  -0.11 | -0.15 ( 65)  -0.08 ( 63) | -0.62 ( 27)   0.18 ( 38) |  0.08 ( 23)  -0.12 ( 40)  -0.03 ( 63) |
