Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Kathryn Herz - Eckhard Böhlke;192;0,76;0,68;0,09;-0,04;99;  0,23;93;-0,02;52;-0,07;47;;2a
Ulrich Kratz - Bernhard Sträter;207;0,72;0,29;0,43;0,38;109;  0,50;97;0,23;48;0,49;61;;2b
Ortwin Wagner - Wolfram von Alvensleben;287;0,71;0,35;0,36;0,54;145;  0,18;142;0,22;83;0,96;62;;2a
Uwe Breusch - Andreas Gondorf;191;0,60;0,48;0,13;0,71;95;  -0,46;95;0,88;49;0,53;46;;2b
Nils Bokholt - Roland Watzdorf;144;0,57;0,17;0,39;0,43;73;  0,36;71;0,33;30;0,49;43;;2a
Marc Schomann - Michael Tomski;286;0,52;0,14;0,39;0,59;137;  0,20;149;0,77;76;0,36;61;;2b
Udo Kreimeyer - Wolfgang Sonntag;96;0,52;0,31;0,21;0,40;50;  0,00;46;0,91;21;0,04;29;;2a
Bernd Bussek - Janko Katerbau;191;0,52;0,25;0,27;0,31;88;  0,24;102;0,18;46;0,46;42;;1
Dr. Entscho Wladow - Dr. Michael Elinescu;127;0,46;0,07;0,39;0,58;72;  0,14;55;0,16;34;0,96;38;;1
Elke Weber - Fried Weber;208;0,40;0,56;-0,16;0,13;116;  -0,53;92;-0,09;60;0,37;56;;2b
Matthias Schüller - Paul Orth;191;0,40;0,05;0,35;0,16;100;  0,56;91;-0,09;45;0,37;55;;2a
Petra von Malchus - Dr. Walter Höger;176;0,36;0,34;0,02;0,22;79;  -0,14;97;-0,04;37;0,45;42;;2b
Ralf Speckmann - Hartmut Brückner;224;0,36;0,04;0,31;0,49;115;  0,12;109;0,63;62;0,34;53;;2a
Jörg Fritsche - Roland Rohowsky;287;0,34;0,18;0,17;0,22;144;  0,11;143;0,32;81;0,10;63;;1
Martin Wüst - Dr. Richard Bley;208;0,34;0,39;-0,06;0,11;115;  -0,26;91;0,27;55;-0,04;60;;1
Peter Kazub - Horst-Dieter Uhlmann;224;0,31;0,35;-0,04;-0,09;112;  0,02;111;-0,30;51;0,08;61;;2a
Martin Schrödel - Martin Werner;288;0,26;0,03;0,23;0,76;137;  -0,26;151;0,80;75;0,72;62;;1
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;223;0,23;0,24;-0,01;-0,01;124;  -0,00;99;-0,01;59;-0,02;65;;1
