Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Bernd Bussek - Janko Katerbau;191;0,51;0,33;0,18;0,40;88;  -0,01;102;0,24;46;0,57;42;
Martin Rehder - Dr. Entscho Wladow;96;0,47;0,39;0,08;0,33;34;  -0,06;62;0,60;19;-0,02;15;
Jörg Fritsche - Roland Rohowsky;287;0,44;0,29;0,15;0,20;144;  0,10;143;0,28;81;0,09;63;
Martin Wüst - Dr. Richard Bley;208;0,41;0,47;-0,05;-0,05;115;  -0,06;91;0,01;55;-0,10;60;
Dr. Entscho Wladow - Dr. Michael Elinescu;127;0,26;-0,16;0,42;0,59;72;  0,19;55;0,35;34;0,81;38;
Claus Daehr - George Cohner;192;0,20;0,12;0,08;0,10;103;  0,05;89;0,36;52;-0,16;51;
Martin Schrödel - Martin Werner;288;0,15;-0,05;0,20;0,82;137;  -0,36;151;0,83;75;0,81;62;
Klaus Reps - Bernard Ludewig;191;0,13;0,24;-0,11;0,12;95;  -0,34;95;0,07;37;0,15;58;
Martin Loefgren - Nikolas Bausback;96;0,12;0,40;-0,28;-0,06;38;  -0,42;58;0,03;22;-0,19;16;
Julius Linde - Christian Schwerdt;192;0,12;0,19;-0,07;-0,10;86;  -0,05;105;-0,02;43;-0,18;43;
Miklós Dumbovich - Dr. László Gotthard;208;0,08;0,09;-0,01;0,14;98;  -0,14;109;0,26;47;0,04;51;
Christian Farwig - Dr. Marcus Joest;192;0,04;-0,02;0,06;0,16;95;  -0,04;97;-0,51;43;0,71;52;
Christian Schlicker - Dr. Claus Günther;224;0,04;0,01;0,03;0,29;104;  -0,20;119;0,76;59;-0,33;45;
Dr. Frank Pioch - Dr. Rolf Kühn;192;0,04;-0,11;0,14;0,05;94;  0,24;98;-0,18;47;0,27;47;
Peter Jokisch - Udo Kasimir;288;0,03;0,29;-0,26;-0,28;144;  -0,23;144;-0,45;75;-0,10;69;
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;223;0,02;0,20;-0,18;-0,06;124;  -0,34;99;0,01;59;-0,12;65;
Ralf Schmellekamp - Dimitri Markaris;176;0,02;0,01;0,01;-0,30;90;  0,34;85;0,06;47;-0,70;43;
Roland Kühnle - Horst Borho;175;0,01;-0,00;0,02;-0,14;78;  0,14;97;-0,25;32;-0,06;46;
Herbert Klumpp - Jochen Bitschené;224;-0,09;-0,10;0,02;0,30;116;  -0,29;107;0,46;60;0,14;56;
Tomasz Gotard - Jacek Lesniczak;192;-0,20;-0,39;0,18;-0,07;90;  0,41;102;-0,17;37;0,00;53;
Josef Piekarek - Alexander Smirnov;176;-0,21;-0,17;-0,04;0,39;87;  -0,45;89;0,86;37;0,04;50;
Rainer Handel - Christoph Kemmer;287;-0,21;-0,21;-0,00;0,01;156;  -0,01;130;-0,02;72;0,03;84;
Ulrich Wenning - Hans Frerichs;192;-0,21;-0,26;0,04;0,37;99;  -0,30;92;-0,40;44;0,98;55;
Dirk Sanne - Fabian von Löbbecke;192;-0,27;-0,21;-0,06;-0,00;97;  -0,12;94;0,02;56;-0,03;41;
Laszló Honti - Dr. Josef Harsányi;208;-0,33;-0,53;0,21;0,44;109;  -0,05;99;0,41;52;0,47;57;
Nedju Buchlev - Sebastian Reim;96;-0,34;-0,16;-0,19;-0,31;53;  -0,03;43;-0,22;29;-0,43;24;
Ulrich Jahr - Jerzy Kozyczkowski;176;-0,37;0,05;-0,42;-0,10;90;  -0,75;86;-0,65;43;0,40;47;
Beate Nehmert - Reiner Marsal;112;-0,47;-0,32;-0,15;-0,05;56;  -0,25;56;-0,42;25;0,25;31;
Angela Gramberg - Norbert Schilhart;95;-0,97;-1,06;0,09;0,27;39;  -0,04;56;0,17;21;0,40;18;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Michael Gromöller - Helmut Häusler;48;0,43;0,28;0,15;0,20;31;  0,07;17;0,06;15;0,33;16;
Dr. Andreas Kirmse - Helmut Häusler;48;0,03;0,19;-0,16;-0,05;29;  -0,34;19;-0,31;13;0,17;16;
Dr. Claus Günther - Dr. Karl-Heinz Kaiser;32;-0,01;0,14;-0,15;-0,62;15;  0,27;17;-1,60;6;0,03;9;
Michael Gromöller - Dr. Andreas Kirmse;80;-0,37;-0,05;-0,32;0,22;38;  -0,82;41;0,28;22;0,13;16;
Rosaline Barendregt - Thomas Gotard;48;-0,45;-0,21;-0,25;-0,30;25;  -0,20;22;-0,81;17;0,78;8;

