Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
Jongki Tumbel - Bill Mondigir;120;-0,41;-0,12;-0,29;-0,24;67;  -0,36;52;-0,75;27;0,10;40;0,00;27;0,00;25;-0,36;52;
Martine de Tessieres - Aymeric de Tessieres;180;-0,43;-0,12;-0,31;0,53;75;  -0,91;105;1,02;36;0,08;39;0,00;50;0,00;55;-0,91;105;
Aleksandar Kaludercic - Sinisa Vuleta;180;-0,43;-0,39;-0,05;0,10;83;  -0,18;96;-0,17;43;0,40;40;0,00;49;0,00;47;-0,18;96;
Martin Anastacio - Dan Lulu;200;-0,46;-0,18;-0,27;-0,04;107;  -0,55;93;-0,01;52;-0,07;55;0,00;44;0,00;49;-0,55;93;
Genevieve Vigna - Yves Mondon;200;-0,47;-0,03;-0,43;-0,65;96;  -0,23;104;-0,40;44;-0,86;52;0,00;48;0,00;56;-0,23;104;
Marco Sasselli - Bachar Abou Chanab;200;-0,51;-0,48;-0,04;0,26;93;  -0,30;107;0,71;54;-0,37;39;0,00;49;0,00;58;-0,30;107;
Mohamed Heshmat - Tarek Nadim;120;-0,52;-0,36;-0,16;-0,50;50;  0,08;70;0,04;24;-1,00;26;0,00;32;0,00;38;0,08;70;
Sven Sester - Tüüve Jugandi;220;-0,52;-0,46;-0,06;0,38;108;  -0,49;111;0,68;57;0,03;51;0,00;56;0,00;55;-0,49;111;
Jean Gérard Théodore - Jean-Claude Wong Kai In;220;-0,54;-0,15;-0,39;-0,69;105;  -0,11;114;-0,60;50;-0,77;55;0,00;54;0,00;60;-0,11;114;
Pavel Pekny - Bohumir Zajicek;240;-0,55;-0,25;-0,30;-0,51;99;  -0,15;141;-0,22;57;-0,90;42;0,00;74;0,00;67;-0,15;141;
Ghassan Ghanem - Samir Zeine;120;-0,57;0,28;-0,85;-1,09;61;  -0,63;57;-1,83;27;-0,50;34;0,00;28;0,00;29;-0,63;57;
Sally Sykes - David Sykes;260;-0,58;-0,41;-0,17;-0,18;132;  -0,16;128;-1,20;51;0,46;81;0,00;56;0,00;72;-0,16;128;
Khondoker Mobinul Islam - Md, Hasinur Rahman Talukder;340;-0,58;-0,15;-0,43;-0,52;182;  -0,34;158;0,10;82;-1,02;100;0,00;70;0,00;88;-0,34;158;
Loreto Cuevas - Marcelo Caracci;340;-0,59;-0,40;-0,20;-0,02;160;  -0,36;179;-0,80;72;0,62;88;0,00;86;0,00;93;-0,36;179;
Stephen Robinson - Wong Choo Wai;220;-0,60;-0,63;0,03;0,13;106;  -0,05;114;0,18;49;0,08;57;0,00;48;0,00;66;-0,05;114;
Lewis Richardson - Ray Jotcham;220;-0,62;-0,41;-0,21;-0,43;109;  -0,00;108;-0,28;59;-0,62;50;0,00;59;0,00;49;-0,00;108;
Eduardo Piza - Pilar Vitoria;100;-0,64;-0,25;-0,39;0,17;42;  -0,81;57;0,56;21;-0,23;21;0,00;18;0,00;39;-0,81;57;
Takis Politis - Dimitris Kalavanas;220;-0,65;-0,43;-0,22;-0,25;122;  -0,17;97;-0,33;63;-0,17;59;0,00;53;0,00;44;-0,17;97;
Md, Anisul Haque - Nitya Gopal Saha;340;-0,65;-0,45;-0,21;-0,04;148;  -0,34;188;-0,20;83;0,17;65;0,00;92;0,00;96;-0,34;188;
Albert Quiogue - Ceferino Carreon;220;-0,67;-0,23;-0,44;-0,13;100;  -0,71;119;0,00;53;-0,29;47;0,00;57;0,00;62;-0,71;119;
Zoran Koldzic - Dejan Jovanovic;220;-0,68;-0,22;-0,46;-0,06;117;  -0,92;103;-0,72;62;0,68;55;0,00;56;0,00;47;-0,92;103;
Gustavo De Lemos - Hector Manrique;240;-0,69;-0,32;-0,36;-0,31;126;  -0,43;114;-0,63;70;0,10;56;0,00;60;0,00;54;-0,43;114;
Gonzalo Herrera - Sonya Resk;340;-0,71;-0,42;-0,29;-0,22;181;  -0,37;158;-0,15;120;-0,35;61;0,00;71;0,00;87;-0,37;158;
John MacGregor - Pilar Vitoria;100;-0,71;-0,33;-0,38;-0,12;57;  -0,72;43;0,86;35;-1,69;22;0,00;21;0,00;22;-0,72;43;
Guy-Alain Germon - Laurent Desportes;220;-0,71;-0,23;-0,48;-0,57;121;  -0,38;99;-0,56;61;-0,57;60;0,00;48;0,00;51;-0,38;99;
Lassâad Jedidi - Mohamed Ali Lakhdhar;200;-0,73;-0,50;-0,23;-0,06;112;  -0,45;87;-0,23;55;0,10;57;0,00;41;0,00;46;-0,45;87;
Jacobo Podvilewicz - Kenneth Frey;340;-0,74;-0,43;-0,32;-0,30;173;  -0,33;166;-0,71;77;0,02;96;0,00;69;0,00;97;-0,33;166;
HP Modi - RKD Shah;200;-0,77;-0,40;-0,37;-0,12;109;  -0,68;91;-0,11;49;-0,12;60;0,00;43;0,00;48;-0,68;91;
Alejandro Sanchez - Beatriz Marangunic;340;-0,78;-0,54;-0,23;-0,40;181;  -0,05;158;-0,33;99;-0,48;82;0,00;82;0,00;76;-0,05;158;
KV Bhaft - Nurudin Ajania;220;-0,80;-0,34;-0,47;-0,35;111;  -0,59;108;-0,17;52;-0,52;59;0,00;55;0,00;53;-0,59;108;
Dennis Kow - Derrick Heng;240;-0,83;-0,39;-0,43;-0,71;102;  -0,23;138;-0,45;48;-0,94;54;0,00;75;0,00;63;-0,23;138;
John Glynn - Bill Pare;160;-0,84;-0,30;-0,54;-0,50;91;  -0,59;69;-1,55;40;0,32;51;0,00;28;0,00;41;-0,59;69;
Frosso Tilliri - Rena Lordos;200;-0,86;-0,27;-0,59;-0,80;94;  -0,41;104;-1,90;43;0,14;51;0,00;50;0,00;54;-0,41;104;
John MacGregor - Steve Allen;160;-0,87;-0,34;-0,53;-0,41;88;  -0,69;72;0,02;50;-0,97;38;0,00;33;0,00;39;-0,69;72;
Ellen Graewert - David Thompson;180;-0,88;-0,32;-0,57;-0,27;85;  -0,83;95;-0,43;46;-0,08;39;0,00;46;0,00;49;-0,83;95;
Michaël Chan - Bashir Elahee Doomun;220;-0,89;-0,21;-0,68;-0,96;110;  -0,42;108;-0,21;62;-1,92;48;0,00;59;0,00;49;-0,42;108;
Patrick Hamel - Sylvian Brethes;220;-0,92;-0,35;-0,58;-0,02;109;  -1,12;111;0,00;57;-0,05;52;0,00;56;0,00;55;-1,12;111;
Simone Divies - Christian Vincent;220;-0,95;-0,21;-0,74;-0,83;135;  -0,61;84;-0,74;66;-0,91;69;0,00;47;0,00;37;-0,61;84;
Foo Yoke Lan - Jane Choo;220;-0,97;-0,55;-0,42;-0,42;123;  -0,42;96;-0,43;50;-0,41;73;0,00;52;0,00;44;-0,42;96;
George Daniel - Modisaotsile Dikgang;336;-1,01;-0,92;-0,09;0,15;178;  -0,37;157;-0,08;90;0,38;88;0,00;77;0,00;80;-0,37;157;
Gary Lam Po Tang - Nandansing Hurpaul;240;-1,02;-0,54;-0,47;-0,79;119;  -0,16;121;-0,96;66;-0,58;53;0,00;58;0,00;63;-0,16;121;
Shun-Ho Chuang - Chien-Hsun Chen;120;-1,08;-0,62;-0,46;-0,64;73;  -0,17;47;-0,81;36;-0,47;37;0,00;24;0,00;23;-0,17;47;
Mohamed Said Berrada - Abdellatif Belkouch;100;-1,09;-0,76;-0,33;0,23;50;  -0,92;49;-0,70;24;1,08;26;0,00;25;0,00;24;-0,92;49;
Prafulla Shah - Ashwin Shah;260;-1,20;-0,51;-0,68;-0,63;122;  -0,73;138;-0,78;54;-0,50;68;0,00;60;0,00;78;-0,73;138;
Eduardo Piza - John Goold;180;-1,23;-0,56;-0,67;-0,59;85;  -0,75;93;-0,69;38;-0,51;47;0,00;35;0,00;58;-0,75;93;
Valerie Morley - Colin Morley;220;-1,26;-0,64;-0,61;-0,63;108;  -0,60;112;-1,12;49;-0,22;59;0,00;50;0,00;62;-0,60;112;
Jean-Olivier Begouin - Robert Barinci;220;-1,28;-0,47;-0,81;-0,77;103;  -0,84;117;-1,26;47;-0,37;56;0,00;59;0,00;58;-0,84;117;
Fabienne Bourgeois - Jany Grenié;140;-1,39;-0,83;-0,56;-0,84;80;  -0,18;60;-0,84;38;-0,85;42;0,00;33;0,00;27;-0,18;60;
Alain Hoyon - Philippe Teysseidre;200;-1,41;-0,60;-0,81;-1,38;98;  -0,27;101;-1,24;49;-1,52;49;0,00;51;0,00;50;-0,27;101;
Franco Gusso - Carlos Diaz;180;-1,56;-0,93;-0,63;-0,72;85;  -0,56;94;-0,26;37;-1,08;48;0,00;50;0,00;44;-0,56;94;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
John Goold - John MacGregor;20;1,35;0,76;0,59;-1,30;4;  1,07;16;-5,63;1;0,15;3;0,00;10;0,00;6;1,07;16;
Jari Bäckström - Mika Salomaa;20;1,30;0,71;0,59;1,14;9;  0,15;10;-0,32;4;2,31;5;0,00;4;0,00;6;0,15;10;
Laurent Desportes - Christophe de Tessieres;20;1,05;1,07;-0,02;-0,05;11;  0,01;9;1,06;6;-1,37;5;0,00;5;0,00;4;0,01;9;
Mohamed Heshmat - Tarek Sadek;20;1,05;0,11;0,94;1,21;13;  0,45;7;1,94;8;0,05;5;0,00;3;0,00;4;0,45;7;
Osmo Kiema - Dogan Uzum;100;0,83;0,20;0,63;0,99;41;  0,38;59;0,48;22;1,57;19;0,00;30;0,00;29;0,38;59;
Pritish Kushari - Rana Roy;20;0,80;-0,67;1,47;1,59;9;  1,36;11;0,06;4;2,81;5;0,00;3;0,00;8;1,36;11;
Eduardo Piza - John MacGregor;20;0,60;1,07;-0,47;1,32;7;  -1,43;13;-0,53;4;3,78;3;0,00;10;0,00;3;-1,43;13;
Li Xin Yang - Shaolin Sun;100;0,36;-0,16;0,52;0,31;41;  0,67;58;0,35;22;0,26;19;0,00;29;0,00;29;0,67;58;
Mariusz Puczynski - Apolinary Kowalski;20;0,35;0,17;0,18;0,46;6;  0,06;14;1,08;2;0,15;4;0,00;11;0,00;3;0,06;14;
Guy-Alain Germon - Christophe de Tessieres;60;0,33;-0,47;0,81;0,62;42;  1,25;18;-0,13;21;1,36;21;0,00;10;0,00;8;1,25;18;
Chien-Hsun Chen - Chih Kuo Shen;20;0,25;-0,12;0,37;0,27;8;  0,43;12;-3,33;1;0,79;7;0,00;9;0,00;3;0,43;12;
Hassibul Hassan - Rana Roy;40;0,22;0,49;-0,26;0,12;16;  -0,52;24;0,10;8;0,14;8;0,00;13;0,00;11;-0,52;24;
Abdelkamel Rerhaye - Abdellatif Belkouch;20;0,15;0,22;-0,07;0,02;9;  -0,14;11;0,09;8;-0,52;1;0,00;2;0,00;9;-0,14;11;
Sjoert Brink - Bas Drijver;40;0,08;-0,25;0,33;0,90;19;  -0,19;21;1,56;7;0,51;12;0,00;10;0,00;11;-0,19;21;
Hédi Baccour - Monya Jellouli;60;0,07;0,05;0,02;0,46;30;  -0,43;30;-0,10;18;1,32;12;0,00;20;0,00;10;-0,43;30;
Aymeric de Tessieres - Christophe de Tessieres;60;0,05;0,11;-0,06;-0,09;23;  -0,05;37;-0,83;10;0,48;13;0,00;19;0,00;18;-0,05;37;
Martine de Tessieres - Christophe de Tessieres;20;0,00;0,90;-0,90;-0,42;11;  -1,48;9;0,09;4;-0,72;7;0,00;3;0,00;6;-1,48;9;
Lassâad Jedidi - Monya Jellouli;60;0,00;0,01;-0,01;-0,22;29;  0,20;30;0,15;17;-0,75;12;0,00;13;0,00;17;0,20;30;
Mohamed Said Berrada - Abdellah Laghrari;20;-0,05;0,36;-0,41;0,92;7;  -1,12;13;3,73;3;-1,19;4;0,00;7;0,00;6;-1,12;13;
Samir Dolarevic - Sinisa Vuleta;20;-0,10;-0,05;-0,05;-0,26;8;  0,09;12;-1,49;2;0,15;6;0,00;7;0,00;5;0,09;12;
Mohamed Said Berrada - Abdelkamel Rerhaye;60;-0,13;-0,02;-0,11;-0,20;36;  0,03;23;0,25;13;-0,45;23;0,00;11;0,00;12;0,03;23;
Hédi Baccour - Mohamed Ali Lakhdhar;60;-0,13;-0,07;-0,06;0,33;28;  -0,40;32;-0,13;12;0,68;16;0,00;12;0,00;20;-0,40;32;
Martine de Tessieres - Thibault de Tessieres;40;-0,20;-1,07;0,87;0,84;20;  0,89;20;2,71;10;-1,02;10;0,00;15;0,00;5;0,89;20;
Thibault de Tessieres - Aymeric de Tessieres;40;-0,20;0,34;-0,54;-0,44;26;  -0,74;14;0,01;16;-1,16;10;0,00;6;0,00;8;-0,74;14;
Chien-Hsun Chen - Chuan-Cheng Chen;60;-0,23;0,08;-0,31;0,37;36;  -1,34;24;0,58;15;0,23;21;0,00;17;0,00;7;-1,34;24;
Nagib Baroudi - Pierre Chidiac;80;-0,24;-0,38;0,14;-0,02;32;  0,25;48;0,37;17;-0,47;15;0,00;20;0,00;28;0,25;48;
Albert Quiogue - Jehran Chua;60;-0,30;-0,22;-0,08;0,65;35;  -1,10;25;0,99;17;0,33;18;0,00;10;0,00;15;-1,10;25;
Manash Kumar Mukherjee - Pritish Kushari;40;-0,38;-0,08;-0,30;-0,40;24;  -0,15;16;-0,22;12;-0,57;12;0,00;9;0,00;7;-0,15;16;
Monya Jellouli - Tahar Touil;100;-0,39;0,02;-0,41;-0,68;51;  -0,12;49;-0,17;27;-1,26;24;0,00;19;0,00;30;-0,12;49;
Lassâad Jedidi - Osmo Kiema;20;-0,55;-1,04;0,49;1,07;10;  -0,08;10;1,05;4;1,07;6;0,00;5;0,00;5;-0,08;10;
Eduardo Piza - Pilar Vitoria;100;-0,64;-0,25;-0,39;0,17;42;  -0,81;57;0,56;21;-0,23;21;0,00;18;0,00;39;-0,81;57;
John MacGregor - Pilar Vitoria;100;-0,71;-0,33;-0,38;-0,12;57;  -0,72;43;0,86;35;-1,69;22;0,00;21;0,00;22;-0,72;43;
Laurent Desportes - Thibault de Tessieres;20;-0,75;0,29;-1,04;-0,48;12;  -1,88;8;-0,66;8;-0,11;4;0,00;4;0,00;4;-1,88;8;
Hédi Baccour - Lassâad Jedidi;20;-0,80;0,42;-1,22;-1,35;9;  -1,12;11;-1,85;7;0,42;2;0,00;5;0,00;6;-1,12;11;
Patrick Hamel - Yves Mondon;60;-0,82;-0,05;-0,76;-0,58;33;  -0,99;27;0,24;12;-1,05;21;0,00;15;0,00;12;-0,99;27;
Jeanine Moers - Philippe Mathieu;20;-1,00;-0,46;-0,54;-0,88;7;  -0,35;13;-0,68;4;-1,15;3;0,00;6;0,00;7;-0,35;13;
Guy-Alain Germon - Thibault de Tessieres;20;-1,00;-0,56;-0,44;-0,04;7;  -0,66;13;-0,12;3;0,02;4;0,00;4;0,00;9;-0,66;13;
Mohamed Said Berrada - Abdellatif Belkouch;100;-1,09;-0,76;-0,33;0,23;50;  -0,92;49;-0,70;24;1,08;26;0,00;25;0,00;24;-0,92;49;
Jehran Chua - Martin Anastacio;80;-1,13;-0,90;-0,23;-0,00;38;  -0,45;40;0,10;19;-0,10;19;0,00;19;0,00;21;-0,45;40;
Jehran Chua - Dan Lulu;60;-1,17;-0,82;-0,34;-0,43;35;  -0,23;24;0,12;19;-1,09;16;0,00;15;0,00;9;-0,23;24;
John Goold - Pilar Vitoria;40;-1,42;-0,75;-0,68;-0,88;19;  -0,50;21;1,02;7;-1,99;12;0,00;11;0,00;10;-0,50;21;
Jehran Chua - Ceferino Carreon;60;-1,47;-0,73;-0,74;0,82;22;  -1,64;38;0,30;13;1,57;9;0,00;22;0,00;16;-1,64;38;
Abdellah Laghrari - Abdellatif Belkouch;40;-1,65;-0,49;-1,16;-0,62;19;  -1,64;21;-0,68;8;-0,59;11;0,00;13;0,00;8;-1,64;21;
Shun-Ho Chuang - Chih Kuo Shen;20;-1,70;-1,80;0,10;0,49;10;  -0,29;10;-0,56;7;2,94;3;0,00;4;0,00;6;-0,29;10;
Amy Anette - Steve Allen;60;-2,08;-1,48;-0,60;-0,99;28;  -0,26;32;-1,40;14;-0,59;14;0,00;13;0,00;19;-0,26;32;
Valerie Morley - Dimitris Kalavanas;20;-2,20;0,26;-2,46;-1,97;14;  -3,62;6;-2,12;10;-1,58;4;0,00;2;0,00;4;-3,62;6;
Frosso Tilliri - Takis Politis;20;-2,40;-0,75;-1,65;-1,31;10;  -1,99;10;-1,29;5;-1,33;5;0,00;7;0,00;3;-1,99;10;
Hideki Takano - Hiroshi Kaku;20;-2,60;-0,89;-1,71;-3,46;7;  -0,77;13;-3,44;3;-3,48;4;0,00;4;0,00;9;-0,77;13;

