1|1|11|357|17|395|4H|S|12
1|1|410|152|86|289|6H|S|12
1|1|338|50|383|326|4H|N|12
1|1|52|325|356|57|4H|S|12
1|1|28|144|251|153|3N|N|12
1|1|292|47|203|98|4H|S|12
1|1|258|100|282|196|4H|S|12
1|1|211|259|77|213|4H|S|12
1|1|306|29|411|21|6H|S|12
1|1|132|79|257|167|4H|S|12
1|1|324|114|390|377|6H|N|12
1|1|300|82|8|329|4H|S|12
1|1|269|236|111|299|5D|S|11
1|1|298|20|119|342|4H|N|12
1|1|94|33|140|202|4H|S|11
1|1|126|271|124|130|4H|S|11
1|1|125|280|267|184|4H|S|12
1|1|45|142|23|16|4H|S|12
1|1|131|403|407|360|4H|S|12
1|1|330|206|277|392|6H|S|12
1|1|227|301|317|249|4H|S|12
1|1|380|262|237|81|4H|S|10
1|1|240|154|232|367|4H|S|12
1|1|219|44|272|18|4H|S|12
1|1|402|95|339|113|4H|S|12
1|1|241|228|40|188|4H|S|12
1|1|66|42|340|234|4H|S|12
1|1|230|70|171|405|4H|N|12
1|1|194|345|355|327|3N|N|10
1|1|295|308|201|104|4H|S|12
1|1|270|87|101|89|6H|S|12
1|1|173|208|115|85|4H|N|12
1|1|269|72|123|387|4H|S|12
1|1|93|220|368|221|3N|N|9
1|1|84|32|265|58|4H|S|12
1|1|186|302|394|168|4H|N|12
1|1|147|293|311|364|4H|S|12
1|1|406|276|129|218|6H|S|11
1|1|398|246|370|41|4H|S|11
1|1|64|369|10|273|6H|S|12
1|1|75|247|31|74|4H|N|12
1|1|15|207|63|176|4H|S|12
1|1|1|384|164|198|4H|N|12
1|1|172|225|328|224|4H|N|11
1|1|209|212|288|166|4H|N|12
1|1|139|359|346|268|3N|N|9
1|1|179|156|116|155|4H|S|11
1|1|255|187|366|182|4H|N|12
1|1|239|358|12|365|4H|S|12
1|1|373|183|80|322|6H|N|12
1|1|138|274|76|4|4H|S|13
1|1|151|135|5|319|4H|S|12
1|1|382|252|204|376|4H|S|12
1|1|222|106|145|263|4H|S|12
1|1|291|336|375|118|4H|S|10
1|1|323|233|372|19|4H|N|12
1|1|97|128|305|279|6H|S|12
1|1|180|181|177|178|3N|N|12
1|1|88|297|334|244|4H|S|12
1|1|386|397|165|14|4H|N|10
1|1|256|231|235|22|4H|S|12
1|1|121|7|71|363|5H|N|12
1|1|238|348|314|349|6H|S|12
1|1|105|361|83|313|4H|S|9
1|1|379|226|159|38|4H|S|12
1|1|160|9|287|281|4H|N|12
1|1|343|6|253|170|4H|S|10
1|1|214|284|210|133|4H|N|12
1|1|286|127|216|266|4H|S|9
1|1|112|321|307|158|4H|S|12
1|1|108|163|61|245|4H|S|11
1|1|53|60|243|109|4H|S|12
1|2|11|357|17|395|3D|E|7
1|2|410|152|86|289|2D|E|8
1|2|338|50|383|326|2S|E|5
1|2|52|325|356|57|2H|W|7
1|2|28|144|251|153|3C|S|10
1|2|292|47|203|98|3C|S|10
1|2|258|100|282|196|1N|E|6
1|2|211|259|77|213|2C|S|10
