                                                       |             |              |           Play           |        Declaring         |                Defending              |
N Sakowska - P Butryn                                  |  120  -0.14 |  0.09  -0.23 | -0.15 ( 56)  -0.30 ( 64) | -0.03 ( 34)  -0.35 ( 22) |  0.11 ( 39)  -0.23 ( 25)  -0.28 ( 64) |
B Pazur - T Pilch                                      |  216  -0.14 | -0.22   0.07 | -0.10 (113)   0.27 (103) |  0.15 ( 64)  -0.43 ( 49) | -0.21 ( 49)   0.10 ( 54)   0.31 (103) |
W Strzemecki - P Zawada                                |  144  -0.19 | -0.06  -0.13 | -0.05 ( 65)  -0.19 ( 79) |  0.22 ( 32)  -0.31 ( 33) |  0.47 ( 40)  -0.06 ( 39)  -0.40 ( 79) |
P Miechowicz - R Sakowicz                              |  191  -0.19 | -0.49   0.29 |  0.58 ( 91)   0.04 (100) |  0.71 ( 44)   0.45 ( 47) |  0.07 ( 50)  -0.21 ( 50)   0.10 (100) |
S Kowalczyk - L Niemiec                                |  108  -0.21 | -0.28   0.07 |  0.28 ( 46)  -0.09 ( 62) |  0.12 ( 21)   0.41 ( 25) | -0.24 ( 28)   0.35 ( 34)  -0.17 ( 62) |
T Wiśniewski - I Kowalczyk                             |  288  -0.22 |  0.08  -0.30 | -0.31 (151)  -0.30 (137) | -0.23 ( 69)  -0.37 ( 82) |  0.03 ( 76)  -0.03 ( 61)  -0.30 (137) |
R Woliński - M Urbański                                |  132  -0.27 |  0.15  -0.42 | -0.06 ( 66)  -0.79 ( 65) | -0.21 ( 39)   0.15 ( 27) | -0.23 ( 32)  -0.59 ( 33)  -0.37 ( 65) |
J Skwark - M Witek                                     |  132  -0.27 | -0.25  -0.03 | -0.20 ( 76)   0.21 ( 56) | -0.04 ( 27)  -0.29 ( 49) |  0.24 ( 31)   0.45 ( 25)  -0.12 ( 56) |
J Wojcieszek - P Tuszyński                             |  240  -0.28 |  0.11  -0.39 | -0.22 (119)  -0.56 (121) |  0.12 ( 67)  -0.65 ( 52) | -0.34 ( 59)  -0.04 ( 62)  -0.38 (121) |
R Szczepański - P Ilczuk                               |  108  -0.32 | -0.23  -0.09 |  0.06 ( 65)  -0.32 ( 43) |  0.30 ( 27)  -0.11 ( 38) | -0.08 ( 21)   0.04 ( 22)  -0.31 ( 43) |
W Burakowski - W Ilnicki                               |  192  -0.34 | -0.20  -0.13 | -0.30 ( 97)   0.04 ( 95) | -0.29 ( 53)  -0.31 ( 44) |  0.09 ( 45)   0.04 ( 50)  -0.03 ( 95) |
J Śmieszek - A Wujków                                  |  120  -0.34 | -0.17  -0.17 | -0.37 ( 53)  -0.01 ( 67) | -0.67 ( 35)   0.21 ( 18) |  0.49 ( 28)   0.09 ( 39)  -0.27 ( 67) |
D Filipowicz - K Martens                               |  192  -0.34 | -0.33  -0.01 | -0.04 (101)   0.01 ( 91) | -0.11 ( 52)   0.04 ( 49) | -0.12 ( 43)  -0.08 ( 48)   0.11 ( 91) |
J Gackowski - M Arutiunianc                            |  120  -0.36 | -0.66   0.30 |  0.65 ( 58)  -0.03 ( 60) |  0.36 ( 23)   0.84 ( 35) |  0.22 ( 24)  -0.40 ( 36)   0.12 ( 60) |
L Ohrysko - M Jeleniewski                              |  180  -0.37 | -0.32  -0.05 | -0.08 ( 83)  -0.03 ( 97) | -0.54 ( 43)   0.42 ( 40) |  0.06 ( 39)  -0.02 ( 58)  -0.04 ( 97) |
C Krzemiński - M Barylewski                            |  132  -0.42 | -0.16  -0.27 | -0.24 ( 60)  -0.29 ( 72) | -0.61 ( 28)   0.09 ( 32) | -0.27 ( 31)  -0.36 ( 41)   0.02 ( 72) |
T Jochymski - M Kania                                  |  132  -0.43 | -0.33  -0.10 |  0.32 ( 63)  -0.50 ( 67) |  1.17 ( 29)  -0.40 ( 34) | -0.27 ( 35)   0.01 ( 32)  -0.37 ( 67) |
S Kowalczyk - J Sucharkiewicz                          |  132  -0.50 | -0.10  -0.40 | -0.37 ( 61)  -0.43 ( 71) |  0.29 ( 23)  -0.78 ( 38) | -0.20 ( 34)   0.21 ( 37)  -0.44 ( 71) |
T Kaczanowski - M Wójcicki                             |  120  -0.62 | -0.27  -0.35 | -0.10 ( 61)  -0.61 ( 59) | -0.22 ( 24)  -0.03 ( 37) | -0.22 ( 16)  -0.23 ( 43)  -0.38 ( 59) |
M Krupowicz - P Janiszewski                            |  120  -0.68 | -0.15  -0.54 | -0.51 ( 63)  -0.57 ( 57) | -0.06 ( 23)  -0.76 ( 40) |  0.14 ( 24)  -0.47 ( 33)  -0.36 ( 57) |
J Poletyło - K Nowak                                   |  204  -0.75 | -0.49  -0.27 | -0.19 (102)  -0.34 (102) | -0.13 ( 49)  -0.25 ( 53) | -0.10 ( 51)  -0.02 ( 51)  -0.28 (102) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
