Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
S Skowron - J Czaykowski;179;-0,58;-0,27;-0,30;-0,17;97;  -0,47;80;-0,74;48;0,38;49;-0,02;39;0,19;41;-0,55;80;
S Walerowicz - W Janicki;108;-0,62;-0,49;-0,13;-0,19;61;  -0,06;47;0,68;26;-0,84;35;0,28;19;0,05;28;-0,20;47;
T Kluz - J Mścisz;228;-0,71;-0,24;-0,46;-0,54;103;  -0,41;122;-0,61;56;-0,45;47;-0,33;57;-0,53;65;0,03;122;
W Talar - J Dmowski;120;-0,77;-0,54;-0,23;-0,44;55;  -0,05;64;-0,08;20;-0,64;35;-0,32;30;-0,15;34;0,18;64;
J Romański - R Grzelak;144;-1,02;-0,37;-0,65;-1,34;72;  0,03;72;-1,27;34;-1,39;38;-0,84;38;-0,25;34;0,59;72;
G Głasek - M Piwowarczyk;156;-1,15;-0,55;-0,61;-0,95;80;  -0,24;76;-1,46;45;-0,31;35;0,13;40;-0,46;36;-0,09;76;

Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
J Kalita - B Chmurski;12;1,58;2,02;-0,43;-0,57;5;  -0,33;7;-0,57;5;-;0;-0,12;7;-;0;-0,21;7;
M Klukowski - P Zatorski;96;1,28;1,31;-0,03;-0,37;52;  0,38;44;-0,45;29;-0,27;23;0,02;20;0,18;24;0,27;44;
A Kowalski - M Krupowicz;12;1,25;0,79;0,46;-1,22;4;  1,29;8;0,00;2;-2,43;2;-0,41;4;0,40;4;1,30;8;
A Kowalski - P Lutostański;12;1,25;-0,15;1,40;0,45;8;  3,30;4;-1,29;4;2,19;4;-0,31;2;-0,03;2;3,47;4;
W Jaworski - A Szymczak;60;1,05;0,57;0,48;0,51;33;  0,46;26;1,14;16;-0,09;17;0,27;14;-0,17;12;0,39;26;
W Kaźmierczak - Ł Witkowski;24;1,00;1,18;-0,18;0,17;11;  -0,51;12;-0,19;5;0,47;6;0,19;6;0,06;6;-0,63;12;
K Pikus - M Cichocki;60;0,97;0,33;0,64;1,46;30;  -0,18;30;0,57;10;1,91;20;0,21;14;-0,06;16;-0,25;30;
J Kalida - J Russyan;12;0,83;0,46;0,37;0,84;9;  -1,04;3;-2,02;3;2,27;6;-0,96;3;-;0;-0,08;3;
J Ciechomski - J Janowski;84;0,68;0,97;-0,29;-0,25;44;  -0,32;40;-0,81;25;0,48;19;-0,41;20;0,44;20;-0,34;40;
W Kaźmierczak - P Nawrocki;12;0,67;1,56;-0,89;-2,17;8;  1,67;4;0,07;2;-2,92;6;-0,32;2;0,81;2;1,42;4;
S Gołębiowski - P Gawryś;48;0,50;0,09;0,41;0,40;18;  0,41;30;0,46;9;0,33;9;-0,18;12;0,17;18;0,38;30;
L Sztyrak - M Cichocki;60;0,48;0,11;0,37;0,01;28;  0,69;32;0,38;16;-0,48;12;-0,00;15;0,77;17;0,28;32;
E Warząchowski - M Atalski;48;0,35;0,45;-0,10;-0,21;22;  -0,00;26;-0,51;14;0,31;8;-0,08;12;0,49;14;-0,23;26;
N Sakowska - P Butryn;96;0,33;0,32;0,02;0,12;56;  -0,13;40;1,09;22;-0,50;34;-0,15;18;0,18;22;-0,16;40;
A Kowalski - J Russyan;84;0,31;0,42;-0,11;-0,08;36;  -0,13;48;-0,49;15;0,22;21;0,20;24;-0,48;24;0,01;48;
W Klapper - A Lubojemski;72;0,28;0,20;0,08;-0,24;33;  0,35;39;0,27;20;-1,02;13;0,20;18;-0,00;21;0,25;39;
W Starkowski - P Gawryś;60;0,27;0,05;0,22;-0,07;30;  0,50;30;-0,65;16;0,61;14;1,19;17;0,09;13;-0,21;30;
S Henclik - T Gotard;36;0,19;-0,17;0,36;-0,21;18;  0,93;18;-1,02;11;1,05;7;0,14;12;2,24;6;0,10;18;
M Gulczyński - M Pędziński;36;0,08;-0,57;0,65;0,29;12;  0,83;24;-0,08;6;0,65;6;0,06;9;0,93;15;0,22;24;
Z Mącior - A Szymczak;24;-0,04;0,96;-1,00;-1,11;13;  -0,87;11;0,01;7;-2,43;6;0,65;3;-0,58;8;-0,62;11;
E Kaczmarek - J Leśniczak;72;-0,07;-0,23;0,16;0,92;33;  -0,49;39;1,43;18;0,31;15;0,45;18;-0,01;21;-0,69;39;
A Lubojemski - K Kleinrok;72;-0,14;0,22;-0,36;-0,66;37;  -0,05;34;-1,22;18;-0,12;19;0,32;22;-0,00;12;-0,26;34;
C Serek - M Dembiński;60;-0,15;-0,30;0,15;0,42;32;  -0,15;28;0,22;20;0,74;12;-0,09;9;0,31;19;-0,33;28;
M Pędziński - O Bestrzyński;12;-0,25;-0,89;0,64;0,16;9;  2,10;3;0,16;4;0,16;5;1,70;3;-;0;0,40;3;
J Cieślak - J Moszyński;72;-0,35;-0,24;-0,11;0,09;39;  -0,33;33;0,48;19;-0,29;20;-0,67;12;0,42;21;-0,36;33;
T Gotard - W Wejknis;24;-0,38;0,22;-0,59;-0,90;11;  -0,33;13;-0,89;5;-0,90;6;-0,08;2;-0,42;11;0,04;13;
K Pikus - L Sztyrak;48;-0,48;0,47;-0,95;-1,09;21;  -0,86;26;-0,50;10;-1,63;11;0,18;10;-0,53;16;-0,60;26;
A Czech - A Szymczak;96;-0,51;-0,60;0,09;0,15;47;  0,03;49;-0,20;23;0,49;24;-0,06;28;0,43;21;-0,13;49;
J Posłuszny - K Kleinrok;24;-0,63;-1,13;0,51;-0,25;8;  0,88;16;0,43;5;-1,37;3;-0,15;10;0,22;6;0,90;16;
