                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
A Syrek - P Busse                                      |  228  -0.06 | -0.18   0.12 |  0.35 (128)  -0.18 (100) |  0.61 ( 64)   0.09 ( 64) |  0.37 ( 60)  -0.20 ( 40)  -0.33 (100) |
J Wesołowski - K Czul                                  |  335  -0.08 |  0.02  -0.09 |  0.05 (163)  -0.23 (171) |  0.03 ( 87)   0.06 ( 76) | -0.21 ( 75)   0.07 ( 96)  -0.18 (171) |
J Skwark - M Witek                                     |  252  -0.09 | -0.02  -0.07 | -0.07 (140)  -0.07 (112) |  0.14 ( 47)  -0.18 ( 93) |  0.01 ( 66)  -0.19 ( 46)   0.00 (112) |
G Gardynik - M Tutka                                   |  120  -0.15 | -0.64   0.49 |  0.62 ( 59)   0.37 ( 61) |  0.70 ( 29)   0.55 ( 30) |  0.08 ( 47)  -0.31 ( 14)   0.38 ( 61) |
A Guła - M Taczewski                                   |  216  -0.17 | -0.20   0.03 | -0.15 (105)   0.19 (110) | -0.14 ( 54)  -0.16 ( 51) | -0.32 ( 61)   0.08 ( 49)   0.34 (110) |
T Kaczanowski - K Antas                                |  286  -0.19 |  0.05  -0.24 | -0.37 (121)  -0.15 (164) | -0.17 ( 53)  -0.52 ( 68) |  0.11 ( 82)   0.11 ( 82)  -0.26 (164) |
S Zakrzewski - E Miszewska                             |  251  -0.26 | -0.11  -0.15 | -0.18 (119)  -0.13 (129) | -0.05 ( 50)  -0.27 ( 69) |  0.21 ( 56)   0.23 ( 73)  -0.35 (129) |
W Wejknis - I Dzikowski                                |  141  -0.29 | -0.15  -0.14 | -0.35 ( 62)   0.03 ( 77) | -0.26 ( 34)  -0.46 ( 28) |  0.31 ( 37)  -0.00 ( 40)  -0.11 ( 77) |
Ł Witkowski - P Nawrocki                               |  191  -0.29 |  0.05  -0.34 |  0.09 ( 89)  -0.72 (102) |  0.16 ( 53)   0.00 ( 36) | -0.02 ( 58)  -0.09 ( 44)  -0.67 (102) |
J Michałek - M Blat                                    |  108  -0.30 | -0.16  -0.14 |  0.44 ( 49)  -0.63 ( 58) |  0.20 ( 20)   0.61 ( 29) | -0.72 ( 26)  -0.11 ( 32)  -0.25 ( 58) |
T Jochymski - M Kania                                  |  180  -0.37 |  0.01  -0.37 | -0.25 ( 83)  -0.48 ( 97) | -0.31 ( 40)  -0.19 ( 43) | -0.28 ( 55)  -0.35 ( 42)  -0.17 ( 97) |
R Wajdowicz - A Hycnar                                 |  204  -0.38 | -0.50   0.11 |  0.12 (101)   0.11 (102) | -0.90 ( 48)   1.04 ( 53) |  0.02 ( 53)   0.00 ( 49)   0.10 (102) |
R Nowicki - M Pędziński                                |  108  -0.40 | -0.11  -0.30 | -0.44 ( 53)  -0.16 ( 55) | -0.22 ( 25)  -0.63 ( 28) |  0.24 ( 16)   0.13 ( 39)  -0.32 ( 55) |
S Skowron - J Czaykowski                               |  179  -0.47 | -0.22  -0.25 | -0.15 ( 97)  -0.37 ( 80) | -0.67 ( 48)   0.36 ( 49) |  0.02 ( 39)   0.17 ( 41)  -0.46 ( 80) |
