                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
D'OVIDIO Catherine - GAVIARD Daniele                   |  380   0.93 |  0.36   0.57 |  0.42 (190)   0.73 (187) |  0.21 ( 93)   0.62 ( 97) |  0.23 ( 97)   0.15 ( 90)   0.54 (187) |
PASMAN Jet - SIMONS Anneke                             |  360   0.90 |  0.50   0.40 |  0.59 (186)   0.20 (172) |  0.64 ( 91)   0.54 ( 95) |  0.07 ( 87)  -0.34 ( 85)   0.33 (172) |
AUKEN Sabine - VON ARNIM Daniela                       |  519   0.90 |  0.51   0.38 |  0.50 (297)   0.23 (219) |  0.43 (159)   0.59 (138) | -0.01 (103)   0.13 (116)   0.16 (219) |
SMEDEREVAC Jovanka - WEIGKRICHT Terry                  |  300   0.79 |  0.45   0.34 |  0.37 (149)   0.31 (151) |  0.45 ( 83)   0.28 ( 66) |  0.02 ( 76)  -0.16 ( 75)   0.38 (151) |
RIMSTEDT Cecilia - SIVELIND Sara                       |  420   0.73 |  0.26   0.47 |  0.63 (212)   0.31 (203) |  0.47 (112)   0.81 (100) |  0.16 (111)   0.23 ( 92)   0.12 (203) |
STOCKDALE Susan - BROWN Fiona                          |  339   0.71 |  0.37   0.35 |  0.11 (170)   0.59 (168) | -0.16 ( 87)   0.38 ( 83) |  0.13 ( 84)   0.15 ( 84)   0.45 (168) |
RIMSTEDT Sandra - SJOBERG Emma                         |  380   0.64 |  0.45   0.19 |  0.12 (185)   0.26 (194) | -0.26 ( 90)   0.48 ( 95) |  0.07 ( 99)   0.00 ( 95)   0.23 (194) |
SARNIAK Anna - BREWIAK Grazyna                         |  400   0.59 |  0.55   0.04 | -0.20 (196)   0.28 (201) | -0.26 ( 95)  -0.14 (101) |  0.06 (105)   0.00 ( 96)   0.25 (201) |
FUGLESTAD Ann Karin - HARDING Marianne                 |  460   0.58 |  0.40   0.18 |  0.53 (211)  -0.12 (249) |  0.55 (117)   0.51 ( 94) |  0.05 (123)  -0.01 (126)  -0.13 (249) |
WILLARD Sylvie - CRONIER Benedicte                     |  380   0.56 |  0.44   0.12 |  0.23 (194)  -0.00 (182) |  0.33 ( 96)   0.14 ( 98) |  0.02 ( 89)  -0.07 ( 93)   0.02 (182) |
FERLAZZO Caterina - MANARA Gabriella                   |  358   0.52 |  0.05   0.47 |  0.31 (181)   0.65 (174) | -0.09 ( 76)   0.60 (105) |  0.04 ( 86)   0.01 ( 88)   0.62 (174) |
ZOCHOWSKA Joanna - BESSIS Veronique                    |  320   0.51 | -0.09   0.59 |  0.49 (158)   0.70 (161) |  0.36 ( 87)   0.64 ( 71) | -0.07 ( 80)   0.32 ( 81)   0.57 (161) |
BALDYSZ Cathy - KROGULSKA Jolanta                      |  340   0.46 |  0.07   0.38 |  0.55 (159)   0.23 (179) |  0.83 ( 84)   0.25 ( 75) | -0.14 ( 83)  -0.10 ( 96)   0.35 (179) |
SENIOR Nevena - DHONDY Heather                         |  400   0.45 |  0.16   0.29 |  0.24 (206)   0.35 (191) |  0.25 (103)   0.23 (103) |  0.10 (105)   0.14 ( 86)   0.24 (191) |
ANDERSSON Pia - LARSSON Jessica                        |  279   0.44 |  0.01   0.43 |  0.30 (130)   0.54 (149) |  0.46 ( 73)   0.09 ( 57) |  0.02 ( 84)   0.04 ( 65)   0.51 (149) |
MICHIELSEN Marion - DEKKERS Laura                      |  360   0.43 | -0.08   0.51 |  0.76 (164)   0.30 (193) |  0.68 ( 76)   0.83 ( 88) |  0.23 ( 91)  -0.01 (102)   0.20 (193) |
SMITH Nicola - BROCK Sally                             |  340   0.43 |  0.06   0.36 |  0.30 (166)   0.43 (173) |  0.18 ( 86)   0.42 ( 80) |  0.25 ( 76)   0.45 ( 97)   0.07 (173) |
PONOMAREVA Tatiana - GROMOVA Victoria                  |  359   0.42 |  0.24   0.18 |  0.09 (179)   0.27 (176) | -0.02 ( 88)   0.20 ( 91) |  0.15 ( 90)   0.44 ( 86)  -0.03 (176) |
BEKKOUCHE Nadia - BINDERKRANTZ Trine                   |  359   0.42 |  0.21   0.20 |  0.21 (177)   0.19 (177) |  0.10 ( 84)   0.32 ( 93) |  0.07 ( 90)  -0.01 ( 87)   0.16 (177) |
POPLILOV Matilda - LEVIT-PORAT Ruth                    |  440   0.41 |  0.34   0.07 |  0.20 (216)  -0.05 (221) | -0.01 ( 98)   0.37 (118) | -0.12 (118)   0.18 (103)  -0.07 (221) |
