Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
A Żmudziński - C Balicki;192;1,01;0,27;0,74;0,64;94;  0,83;98;0,57;52;0,73;42;0,44;54;0,44;44;0,39;98;
D Filipowicz - K Martens;204;0,82;0,57;0,25;0,35;113;  0,12;90;0,14;51;0,51;62;-0,14;49;0,14;41;0,14;90;
B Szulejewski - M Wiącek;120;0,77;0,66;0,10;0,11;52;  0,10;68;0,58;25;-0,32;27;0,08;33;0,09;35;0,01;68;
B Pazur - M Wójcicki;264;0,69;0,46;0,23;0,13;141;  0,35;123;-0,03;58;0,24;83;0,37;47;0,10;76;0,15;123;
L Ohrysko - M Jeleniewski;192;0,60;0,12;0,48;0,74;90;  0,26;102;0,56;36;0,85;54;0,09;43;0,14;59;0,14;102;
R Sakowicz - A Jeleniewski;180;0,57;0,37;0,20;0,11;105;  0,33;75;0,07;53;0,15;52;-0,24;43;0,56;32;0,22;75;
J Kalita - P Gawryś;168;0,57;0,51;0,06;0,07;98;  0,05;70;-0,64;34;0,44;64;-0,09;45;-0,09;25;0,14;70;
G Narkiewicz - K Buras;143;0,45;0,41;0,04;-0,11;73;  0,19;70;-0,09;44;-0,14;29;-0,24;39;0,55;31;0,08;70;
D Kowalski - P Bizoń;180;0,44;0,36;0,08;0,11;93;  0,05;87;0,13;44;0,10;49;-0,06;51;-0,31;36;0,22;87;
B Gierulski - J Skrzypczak;288;0,39;-0,01;0,40;0,28;144;  0,52;144;0,42;62;0,17;82;0,06;63;-0,10;81;0,55;144;
S Zawiślak - M Krupowicz;120;0,38;0,43;-0,04;-0,03;60;  -0,06;59;0,21;35;-0,37;25;-0,29;38;-0,10;21;0,16;59;
W Starkowski - K Jassem;240;0,37;0,03;0,34;0,08;109;  0,56;131;0,60;57;-0,49;52;-0,07;74;0,26;57;0,48;131;
W Klapper - A Lubojemski;108;0,36;0,28;0,08;0,11;55;  0,04;53;0,71;31;-0,66;24;-0,23;28;-0,16;25;0,24;53;
R Grzelak - J Romański;228;0,28;0,04;0,24;0,38;127;  0,05;101;0,22;65;0,55;62;0,42;48;-0,10;53;-0,09;101;
R Jagniewski - M Kwiecień;264;0,26;0,08;0,18;0,27;141;  0,07;123;0,07;68;0,46;73;-0,08;34;0,26;89;-0,10;123;
P Zawada - R Opaliński;240;0,25;0,19;0,06;-0,05;126;  0,19;114;-0,12;78;0,07;48;-0,05;56;0,18;58;0,12;114;
P Wiankowski - M Nowosadzki;132;0,25;0,21;0,04;-0,54;72;  0,73;60;-0,49;32;-0,58;40;0,23;31;0,54;29;0,35;60;
P Miechowicz - J Kotorowicz;144;0,18;0,19;-0,01;0,00;69;  -0,02;75;0,39;32;-0,33;37;0,13;39;-0,02;36;-0,08;75;
D Koproń - P Klimacki;180;0,16;0,20;-0,04;-0,14;96;  0,07;84;-0,39;54;0,18;42;0,11;44;0,10;40;-0,04;84;
W Talar - J Dmowski;179;0,15;0,10;0,04;0,07;100;  0,01;79;-0,14;55;0,33;45;-0,16;46;0,26;33;-0,01;79;
B Chmurski - M Puczyński;156;0,12;-0,15;0,26;0,20;80;  0,33;76;0,18;49;0,23;31;0,13;28;-0,36;48;0,51;76;
