Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SZILAGYI Laszlo - HONTI Laszlo;380;0,17;-0,16;0,33;0,37;195;  0,29;185;0,36;101;0,37;94;0,04;99;0,17;86;0,19;185;
NIELSEN Hans Christian - SCHOU Steen;420;0,13;0,10;0,03;0,21;226;  -0,19;194;-0,13;123;0,63;103;0,15;86;-0,43;108;-0,01;194;
PESSOA Sofia - CASTANHEIRA Jorge Carlos;440;0,13;0,18;-0,05;0,25;213;  -0,33;225;0,52;117;-0,09;96;0,07;123;-0,01;102;-0,37;225;
TUSZYNSKI Piotr - KOWALSKI Apolinary;460;0,12;-0,12;0,24;0,26;232;  0,22;226;-0,16;118;0,71;114;0,10;98;0,12;128;0,11;226;
TUNDAL Ulf Haakon - EKREN Bjorn Olav;300;0,12;0,08;0,04;0,07;155;  0,00;144;-0,18;81;0,34;74;-0,10;63;0,09;81;-0,00;144;
MATUSHKO Georgi - KHOKHLOV Jouri;440;0,10;-0,06;0,15;0,31;217;  -0,00;222;0,61;115;-0,03;102;0,22;105;-0,29;117;0,05;222;
LEVINGER Asa - LIRAN Inon;380;0,09;-0,02;0,11;0,42;163;  -0,13;216;0,32;93;0,56;70;-0,47;103;-0,02;113;0,10;216;
POLET Guy - KAPLAN Alain;480;0,07;0,21;-0,14;-0,33;226;  0,04;252;-0,47;60;-0,28;166;0,08;149;0,11;103;-0,06;252;
BIRMAN David - FOHRER David;520;0,05;-0,10;0,15;0,22;283;  0,07;235;0,22;143;0,23;140;0,27;125;0,16;110;-0,15;235;
MARASHEV Vladimir - PETKOV Vladimir;380;0,03;-0,18;0,21;0,20;203;  0,23;177;0,11;94;0,28;109;0,04;83;0,13;94;0,14;177;
WASIK Arturo - WICHMANN Gerardo;420;0,03;-0,02;0,05;0,27;192;  -0,14;224;0,28;100;0,26;92;-0,17;111;0,01;113;-0,05;224;
ROMANOVSKA Maija - RUBINS Karlis;440;0,03;0,01;0,02;0,09;240;  -0,07;199;-0,41;109;0,51;131;0,07;95;-0,04;104;-0,08;199;
KURBALIJA Diane - KURBALIJA Filip;100;-0,03;0,26;-0,29;-0,24;51;  -0,34;49;0,01;34;-0,72;17;-0,26;23;0,15;26;-0,30;49;
MACSKASY Gabor - SZALAY Gyorgy;420;-0,03;-0,19;0,16;-0,12;195;  0,41;224;0,01;107;-0,27;88;0,33;121;-0,01;103;0,23;224;
ELSINEN Antti - KIEMA Osmo;460;-0,03;-0,12;0,08;0,29;210;  -0,09;248;0,20;101;0,37;109;-0,03;161;-0,19;87;-0,00;248;
