1|1|103|110|57|178|4SX|N|10
1|1|124|93|82|183|6C|E|10
1|1|126|16|9|56|2H|N|4
1|1|128|184|52|194|4SX|S|9
1|1|129|107|40|80|4SX|N|10
1|1|13|185|123|187|5C|E|9
1|1|132|75|156|73|4C|E|11
1|1|139|24|165|53|6CX|E|10
1|1|14|61|55|83|4S|S|9
1|1|151|29|25|130|4SX|N|10
1|1|157|115|158|95|6C|E|11
1|1|161|143|171|22|4SX|N|9
1|1|169|160|109|68|4SX|N|9
1|1|17|99|43|118|4SX|N|9
1|1|170|70|3|46|6CX|E|9
1|1|175|133|101|102|5CX|E|10
1|1|186|69|142|108|5CX|E|10
1|1|186|69|142|108|5CX|W|10
1|1|188|182|44|125|4S|S|9
1|1|193|189|1|49|4SX|S|10
1|1|21|148|196|117|5C|E|10
1|1|26|180|39|89|4S|N|9
1|1|32|79|60|137|4SX|S|9
1|1|33|15|31|4|4S|N|9
1|1|41|162|131|104|4S|S|9
1|1|58|64|136|177|5CX|E|10
1|1|59|12|27|7|4SX|N|9
1|1|59|12|27|7|5C|E|9
1|1|67|74|42|72|4SX|N|10
1|1|71|94|149|96|4SX|N|9
1|1|97|90|11|145|4C|E|10
1|1|98|77|112|173|4SX|N|9
1|10|103|110|57|178|3N|N|8
1|10|124|93|82|183|2S|N|8
1|10|126|16|9|56|3N|N|7
1|10|128|184|52|194|1N|W|3
1|10|129|107|40|80|4S|N|7
1|10|13|185|123|187|1S|N|8
1|10|132|75|156|73|3N|N|6
1|10|139|24|165|53|3N|N|9
1|10|14|61|55|83|1S|N|10
1|10|151|29|25|130|3N|N|10
1|10|157|115|158|95|2D|W|7
1|10|161|143|171|22|3N|N|10
1|10|169|160|109|68|1N|W|4
1|10|17|99|43|118|3S|N|9
1|10|170|70|3|46|2S|N|8
1|10|175|133|101|102|3N|N|8
1|10|186|69|142|108|1S|N|9
1|10|186|69|142|108|3C|N|9
1|10|188|182|44|125|1S|N|9
1|10|193|189|1|49|2S|N|8
1|10|21|148|196|117|2S|N|9
1|10|26|180|39|89|3N|N|9
1|10|32|79|60|137|3N|N|7
1|10|33|15|31|4|3S|N|9
1|10|41|162|131|104|3S|N|9
1|10|58|64|136|177|3N|N|10
1|10|59|12|27|7|3N|N|8
1|10|59|12|27|7|3N|S|9
1|10|67|74|42|72|3N|S|10
1|10|71|94|149|96|4S|N|8
1|10|97|90|11|145|3S|N|8
1|10|98|77|112|173|3N|S|8
1|11|103|110|57|178|3N|N|9
1|11|124|93|82|183|2CX|W|6
1|11|126|16|9|56|3N|N|9
1|11|128|184|52|194|4H|S|10
1|11|129|107|40|80|3N|N|8
1|11|13|185|123|187|4H|N|9
1|11|132|75|156|73|3N|N|8
1|11|139|24|165|53|3N|N|8
1|11|14|61|55|83|3N|N|8
1|11|151|29|25|130|4H|S|9
1|11|157|115|158|95|4H|S|8
1|11|161|143|171|22|3N|N|9
1|11|169|160|109|68|4H|S|9
1|11|17|99|43|118|3N|N|9
1|11|170|70|3|46|3N|S|9
