                                                       |             |              |           Play           |        Declaring         |                Defending              |
PEHLIVAN Ozcan - DOGAN Irfan                           |  520   0.20 |  0.12   0.07 | -0.02 (236)   0.16 (281) | -0.11 (121)   0.07 (115) |  0.13 (144)   0.16 (137)   0.01 (281) |
SAINTE MARIE Thierry De - BOMPIS Marc                  |  420   0.20 |  0.03   0.16 |  0.32 (222)  -0.01 (197) |  0.50 ( 99)   0.17 (123) |  0.12 (105)  -0.04 ( 92)  -0.06 (197) |
PRICE David - SIMPSON Colin                            |  420   0.19 |  0.15   0.04 |  0.29 (221)  -0.24 (194) |  0.18 (135)   0.46 ( 86) | -0.38 ( 62)   0.03 (132)  -0.14 (194) |
BJORNLUND Fredrik - FREDIN Peter                       |  300   0.17 |  0.15   0.03 |  0.02 (155)   0.04 (142) |  0.03 ( 68)   0.01 ( 87) | -0.28 (111)   0.17 ( 31)   0.22 (142) |
SKRZYPCZAK Jerzy - GIERULSKI Boguslaw                  |  260   0.17 | -0.02   0.18 |  0.33 (143)   0.01 (117) |  0.27 ( 82)   0.41 ( 61) | -0.14 ( 58)  -0.21 ( 59)   0.18 (117) |
SAELENSMINDE Erik - BROGELAND Boye                     |  500   0.17 |  0.15   0.02 | -0.05 (235)   0.07 (264) | -0.14 (123)   0.05 (112) |  0.29 (120)   0.14 (144)  -0.14 (264) |
MARSAL Reiner - FRITSCHE Joerg                         |  380   0.16 |  0.17  -0.02 | -0.02 (196)  -0.01 (179) |  0.18 ( 88)  -0.18 (108) |  0.07 ( 85)   0.18 ( 94)  -0.14 (179) |
SZILAGYI Laszlo - HONTI Laszlo                         |  380   0.15 | -0.16   0.31 |  0.35 (195)   0.27 (185) |  0.30 (101)   0.41 ( 94) |  0.01 ( 99)   0.15 ( 86)   0.20 (185) |
SEN Tezcan - GUR Okay                                  |  460   0.15 | -0.00   0.16 |  0.28 (245)   0.02 (214) |  0.34 (123)   0.22 (122) |  0.07 (100)   0.13 (114)  -0.08 (214) |
PESSOA Sofia - CASTANHEIRA Jorge Carlos                |  440   0.15 |  0.19  -0.04 |  0.19 (213)  -0.26 (225) |  0.39 (117)  -0.05 ( 96) |  0.06 (123)   0.02 (102)  -0.30 (225) |
NABER Lauri - LUKS Leo                                 |  520   0.14 |  0.18  -0.04 | -0.13 (263)   0.06 (257) | -0.35 (115)   0.05 (148) |  0.09 (128)   0.12 (129)  -0.05 (257) |
TUNDAL Ulf Haakon - EKREN Bjorn Olav                   |  300   0.13 |  0.10   0.03 |  0.09 (155)  -0.02 (144) | -0.14 ( 81)   0.34 ( 74) | -0.12 ( 63)   0.07 ( 81)  -0.01 (144) |
NIELSEN Hans Christian - SCHOU Steen                   |  420   0.12 |  0.09   0.03 |  0.18 (226)  -0.15 (194) | -0.14 (123)   0.57 (103) |  0.13 ( 86)  -0.36 (108)  -0.01 (194) |
LEVINGER Asa - LIRAN Inon                              |  380   0.11 | -0.00   0.11 |  0.40 (163)  -0.10 (216) |  0.30 ( 93)   0.53 ( 70) | -0.39 (103)   0.01 (113)   0.08 (216) |
POLET Guy - KAPLAN Alain                               |  480   0.10 |  0.20  -0.10 | -0.24 (226)   0.03 (252) | -0.34 ( 60)  -0.21 (166) |  0.06 (149)   0.13 (103)  -0.06 (252) |
