Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
FANTONI Fulvio - NUNES Claudio;208;0,89;0,54;0,35;0,39;115;  0,32;92;-0,05;57;0,81;58;0,42;47;0,19;45;0,01;92;
ZIMMERMANN Pierre - MULTON Franck;128;0,83;0,33;0,50;0,02;56;  0,88;72;-0,31;24;0,27;32;0,67;50;0,68;22;0,21;72;
PIEKAREK Josef - SMIRNOV Alexander;176;0,81;0,59;0,22;-0,11;78;  0,48;98;0,10;48;-0,44;30;-0,16;43;0,01;55;0,54;98;
BESSIS Michel - BESSIS Thomas;176;0,74;0,36;0,38;0,25;80;  0,49;96;-0,28;32;0,61;48;0,20;54;-0,14;42;0,44;96;
KVANGRAVEN Nils Kare - LIE Terje;192;0,70;0,50;0,20;0,21;95;  0,19;97;0,17;48;0,24;47;0,21;42;0,16;55;0,00;97;
LEVY Alain - VOLCKER Frederic;192;0,70;0,20;0,49;0,52;104;  0,47;88;0,37;45;0,63;59;0,42;40;0,10;48;0,22;88;
CULLIN Per-Ola - BERTHEAU Peter;176;0,66;0,38;0,29;0,41;78;  0,19;98;0,35;43;0,49;35;0,72;38;0,14;60;-0,18;98;
CHARLSEN Thomas - HOFTANISKA Thor Erik;176;0,62;-0,08;0,71;0,70;100;  0,72;76;-0,08;40;1,21;60;0,73;37;0,03;39;0,34;76;
WRANG Frederic - SYLVAN Johan;160;0,62;0,31;0,31;0,39;76;  0,24;83;1,04;40;-0,33;36;0,54;51;0,04;32;-0,11;83;
HANLON Tom - McGANN Hugh;240;0,50;0,27;0,23;0,39;120;  0,07;120;0,34;71;0,48;49;0,30;56;-0,16;64;0,01;120;
WELLAND Roy - AUKEN Sabine;192;0,50;0,43;0,07;0,16;104;  -0,04;88;0,14;55;0,18;49;0,57;41;-0,19;47;-0,20;88;
MATUSHKO Georgi - ORLOV Sergei;192;0,39;0,19;0,20;0,40;108;  -0,06;83;0,22;57;0,60;51;-0,33;39;-0,21;44;0,21;83;
ZORIC Vedran - MARINOVSKI Kiril;240;0,33;0,34;-0,01;0,08;131;  -0,12;108;-0,33;59;0,41;72;-0,26;62;-0,03;46;0,04;108;
MARIPUU Jaanus - OJA Olavi;176;0,30;0,23;0,06;-0,13;88;  0,26;88;-0,20;46;-0,06;42;0,72;35;-0,16;53;0,07;88;
JIMENEZ Ignacio - KNAP Andres;160;0,29;0,36;-0,07;-0,21;83;  0,07;77;-0,24;35;-0,18;48;-0,06;34;0,28;43;-0,06;77;
