                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FANTONI Fulvio - NUNES Claudio                         |  208   1.07 |  0.67   0.39 |  0.47 (115)   0.31 ( 92) | -0.02 ( 57)   0.95 ( 58) |  0.42 ( 47)   0.21 ( 45)  -0.01 ( 92) |
ZIMMERMANN Pierre - MULTON Franck                      |  128   0.92 |  0.35   0.57 |  0.03 ( 56)   1.00 ( 72) | -0.36 ( 24)   0.32 ( 32) |  0.73 ( 50)   0.73 ( 22)   0.27 ( 72) |
PIEKAREK Josef - SMIRNOV Alexander                     |  176   0.86 |  0.66   0.19 | -0.14 ( 78)   0.46 ( 98) |  0.10 ( 48)  -0.53 ( 30) | -0.22 ( 43)  -0.00 ( 55)   0.56 ( 98) |
LEVY Alain - VOLCKER Frederic                          |  192   0.85 |  0.27   0.58 |  0.61 (104)   0.55 ( 88) |  0.43 ( 45)   0.75 ( 59) |  0.40 ( 40)   0.15 ( 48)   0.29 ( 88) |
KVANGRAVEN Nils Kare - LIE Terje                       |  192   0.81 |  0.62   0.19 |  0.19 ( 95)   0.19 ( 97) |  0.21 ( 48)   0.17 ( 47) |  0.22 ( 42)   0.17 ( 55)  -0.00 ( 97) |
BESSIS Michel - BESSIS Thomas                          |  176   0.81 |  0.41   0.40 |  0.28 ( 80)   0.50 ( 96) | -0.33 ( 32)   0.68 ( 48) |  0.22 ( 54)  -0.18 ( 42)   0.45 ( 96) |
CULLIN Per-Ola - BERTHEAU Peter                        |  176   0.68 |  0.39   0.29 |  0.44 ( 78)   0.17 ( 98) |  0.41 ( 43)   0.47 ( 35) |  0.80 ( 38)   0.14 ( 60)  -0.22 ( 98) |
CHARLSEN Thomas - HOFTANISKA Thor Erik                 |  176   0.66 | -0.12   0.78 |  0.80 (100)   0.76 ( 76) | -0.07 ( 40)   1.38 ( 60) |  0.77 ( 37)   0.02 ( 39)   0.37 ( 76) |
WRANG Frederic - SYLVAN Johan                          |  160   0.61 |  0.26   0.35 |  0.50 ( 76)   0.21 ( 83) |  1.19 ( 40)  -0.27 ( 36) |  0.58 ( 51)   0.01 ( 32)  -0.15 ( 83) |
WELLAND Roy - AUKEN Sabine                             |  192   0.58 |  0.53   0.06 |  0.18 (104)  -0.09 ( 88) |  0.16 ( 55)   0.20 ( 49) |  0.63 ( 41)  -0.22 ( 47)  -0.26 ( 88) |
HANLON Tom - McGANN Hugh                               |  240   0.54 |  0.32   0.22 |  0.42 (120)   0.03 (120) |  0.34 ( 71)   0.52 ( 49) |  0.33 ( 56)  -0.17 ( 64)  -0.04 (120) |
ZORIC Vedran - MARINOVSKI Kiril                        |  240   0.45 |  0.45  -0.00 |  0.11 (131)  -0.14 (108) | -0.35 ( 59)   0.48 ( 72) | -0.27 ( 62)  -0.03 ( 46)   0.03 (108) |
MATUSHKO Georgi - ORLOV Sergei                         |  192   0.42 |  0.25   0.17 |  0.35 (108)  -0.06 ( 83) |  0.16 ( 57)   0.56 ( 51) | -0.41 ( 39)  -0.21 ( 44)   0.24 ( 83) |
JIMENEZ Ignacio - KNAP Andres                          |  160   0.38 |  0.47  -0.09 | -0.23 ( 83)   0.06 ( 77) | -0.31 ( 35)  -0.18 ( 48) | -0.05 ( 34)   0.29 ( 43)  -0.08 ( 77) |
MARIPUU Jaanus - OJA Olavi                             |  176   0.32 |  0.24   0.08 | -0.14 ( 88)   0.31 ( 88) | -0.20 ( 46)  -0.08 ( 42) |  0.76 ( 35)  -0.16 ( 53)   0.11 ( 88) |
INGIMARSSON Throstur - MAGNUSSON Magnus Eidur          |  176   0.31 |  0.19   0.12 |  0.10 ( 96)   0.13 ( 80) |  0.18 ( 42)   0.04 ( 54) |  0.38 ( 38)  -0.65 ( 42)   0.30 ( 80) |
BARBOSA Juliano - PALMA Antonio                        |  240   0.27 | -0.04   0.31 |  0.05 (131)   0.63 (108) | -0.15 ( 64)   0.25 ( 67) |  0.62 ( 50)   0.29 ( 58)   0.19 (108) |
KHOKHLOV Jouri - RUDAKOV Evgeni                        |  176   0.26 | -0.19   0.45 |  0.50 ( 92)   0.40 ( 84) |  0.11 ( 52)   1.02 ( 40) |  0.27 ( 44)   0.05 ( 40)   0.24 ( 84) |
FRITSCHE Joerg - ROHOWSKY Roland                       |  176   0.24 |  0.10   0.14 |  0.25 ( 92)   0.02 ( 84) | -0.23 ( 50)   0.81 ( 42) |  0.07 ( 39)  -0.25 ( 45)   0.12 ( 84) |
NYSTROM Fredrik - UPMARK Johan                         |  208   0.16 |  0.17  -0.01 | -0.09 (109)   0.07 ( 99) | -0.08 ( 52)  -0.10 ( 57) |  0.10 ( 44)   0.04 ( 55)   0.01 ( 99) |
LINDERMANN Arno - TERRANEO Christian                   |  224   0.16 |  0.13   0.02 |  0.02 (117)   0.03 (107) |  0.11 ( 73)  -0.14 ( 44) |  0.35 ( 49)  -0.27 ( 58)   0.01 (107) |
FAGERLUND Vesa - KARHULAHTI Arttu                      |  192   0.15 |  0.11   0.04 |  0.25 (101)  -0.19 ( 91) | -0.30 ( 48)   0.74 ( 53) | -0.41 ( 48)   0.06 ( 43)   0.00 ( 91) |
HELGEMO Geir - HELNESS Tor                             |  208   0.15 | -0.06   0.20 |  0.65 (105)  -0.25 (103) |  0.81 ( 43)   0.55 ( 62) | -0.19 ( 54)  -0.25 ( 49)  -0.04 (103) |
DELIMPALTADAKIS Nikos - PAPAKYRIAKOPOULOS Yankos       |  176   0.15 | -0.17   0.31 |  0.45 ( 84)   0.19 ( 92) | -0.10 ( 34)   0.82 ( 50) |  0.00 ( 43)   0.18 ( 49)   0.09 ( 92) |
KARPOV Maksim - LAANEMAE Tiit                          |  192   0.13 |  0.02   0.11 |  0.04 ( 88)   0.16 (104) | -0.11 ( 47)   0.21 ( 41) |  0.21 ( 45)   0.11 ( 59)   0.01 (104) |
BARTON Paul - SPEARS Brian                             |  176   0.10 |  0.32  -0.23 |  0.38 ( 91)  -0.88 ( 84) |  0.84 ( 56)  -0.37 ( 35) |  0.04 ( 39)  -0.18 ( 45)  -0.80 ( 84) |
EINARSSON Bjarni Holmar - JORGENSEN Adalsteinn         |  176   0.07 | -0.05   0.12 | -0.08 ( 84)   0.31 ( 92) |  0.14 ( 47)  -0.37 ( 37) | -0.13 ( 50)  -0.47 ( 42)   0.60 ( 92) |
CARRASCO Gabriel - FRACTMAN Gabriel                    |  208  -0.11 |  0.02  -0.12 |  0.26 ( 95)  -0.44 (113) |  0.29 ( 53)   0.21 ( 42) | -0.26 ( 64)  -0.38 ( 49)  -0.13 (113) |
DUBININ Alexander - GROMOV Andrey                      |  176  -0.11 | -0.28   0.16 | -0.03 ( 72)   0.29 (104) | -0.38 ( 31)   0.24 ( 41) |  0.19 ( 52)   0.21 ( 52)   0.09 (104) |
CARROLL John - GARVEY Tommy                            |  208  -0.13 | -0.13   0.00 | -0.06 (100)   0.06 (108) |  0.43 ( 49)  -0.53 ( 51) | -0.27 ( 54)   0.16 ( 54)   0.12 (108) |
LEVENKO Vassili - SESTER Sven                          |  176  -0.18 | -0.26   0.08 |  0.09 ( 93)   0.08 ( 83) | -0.15 ( 54)   0.41 ( 39) |  0.37 ( 41)  -0.49 ( 42)   0.15 ( 83) |
HARALDSSON Sigurbjorn - BALDURSSON Jon                 |  192  -0.19 | -0.00  -0.19 |  0.09 ( 91)  -0.45 (101) | -0.00 ( 45)   0.19 ( 46) |  0.29 ( 46)  -0.04 ( 55)  -0.56 (101) |
ZOTOS Loukas - SAPOUNAKIS Aris                         |  192  -0.20 | -0.09  -0.11 | -0.17 (110)  -0.02 ( 82) | -0.22 ( 55)  -0.12 ( 55) |  0.03 ( 37)   0.06 ( 45)  -0.07 ( 82) |
BOMPIS Marc - QUANTIN Jean-Christophe                  |  176  -0.22 | -0.18  -0.03 |  0.12 ( 97)  -0.23 ( 78) | -0.15 ( 56)   0.50 ( 41) |  0.24 ( 42)  -0.13 ( 36)  -0.30 ( 78) |
BROGELAND Boye - LINDQVIST Espen                       |  176  -0.22 | -0.12  -0.10 | -0.11 ( 80)  -0.10 ( 96) |  0.20 ( 38)  -0.38 ( 42) | -0.34 ( 57)  -0.41 ( 39)   0.27 ( 96) |
BOREVKOVIC Goran - REFI Branko                         |  192  -0.23 | -0.25   0.02 | -0.50 ( 99)   0.58 ( 93) | -0.44 ( 63)  -0.61 ( 36) |  0.34 ( 48)  -0.02 ( 45)   0.41 ( 93) |
HENC Marian - VELECKY Eduard                           |  176  -0.25 | -0.15  -0.10 | -0.48 ( 74)   0.18 (102) | -0.78 ( 40)  -0.13 ( 34) | -0.04 ( 54)   0.06 ( 48)   0.17 (102) |
PAVLIN Milan - ROJKO Silvana                           |  160  -0.31 |  0.19  -0.50 | -0.46 ( 82)  -0.55 ( 77) | -0.05 ( 30)  -0.70 ( 52) | -0.19 ( 38)  -0.24 ( 39)  -0.33 ( 77) |
KOISTINEN Kauko - NYBERG Clas                          |  192  -0.37 | -0.20  -0.17 |  0.18 (112)  -0.65 ( 80) | -0.13 ( 54)   0.46 ( 58) | -0.28 ( 33)  -0.03 ( 47)  -0.52 ( 80) |
FUCIK Jan - PURKARTHOFER Gunther                       |  192  -0.40 | -0.34  -0.06 |  0.05 ( 95)  -0.16 ( 97) |  0.33 ( 48)  -0.24 ( 47) | -0.18 ( 39)  -0.11 ( 58)  -0.02 ( 97) |
CARIC Jurica - DIKLIC Dubravko                         |  112  -0.43 |  0.00  -0.43 | -0.51 ( 57)  -0.35 ( 55) | -1.19 ( 30)   0.25 ( 27) | -0.31 ( 24)  -0.40 ( 31)   0.01 ( 55) |
PABLOS Pablo Gomez de - BASABE Enrique                 |  176  -0.49 | -0.12  -0.37 | -1.15 ( 85)   0.35 ( 91) | -0.70 ( 48)  -1.73 ( 37) |  0.46 ( 54)  -0.32 ( 37)   0.21 ( 91) |
RASULA Bogdan - SADAR Joze                             |  208  -0.54 | -0.22  -0.32 |  0.12 ( 84)  -0.62 (124) |  0.89 ( 39)  -0.55 ( 45) |  0.44 ( 52)  -0.10 ( 72)  -0.75 (124) |
KVOCEK Juraj - VODICKA Martin                          |  176  -0.61 | -0.23  -0.38 | -0.12 ( 99)  -0.71 ( 77) | -0.51 ( 49)   0.25 ( 50) |  0.02 ( 36)  -0.35 ( 41)  -0.54 ( 77) |
GRANSTROM Juho - PATANA Kari                           |  160  -0.66 | -0.22  -0.44 | -0.58 ( 73)  -0.32 ( 87) | -1.02 ( 46)   0.17 ( 27) | -0.12 ( 44)  -0.12 ( 43)  -0.20 ( 87) |
LIMA Paolo Miguel - SARMENTO Paulo                     |  160  -0.71 | -0.33  -0.38 | -0.30 ( 61)  -0.43 ( 99) | -0.60 ( 35)   0.10 ( 26) |  0.20 ( 44)  -0.04 ( 55)  -0.49 ( 99) |
KEMENOVA Miroslava - TOMCANI Jan                       |  192  -0.73 | -0.55  -0.19 | -0.28 ( 91)  -0.10 (101) | -0.59 ( 49)   0.07 ( 42) | -0.17 ( 49)  -0.01 ( 52)  -0.02 (101) |
ASH Mike - MORGAN Frazer                               |  192  -0.76 | -0.52  -0.23 |  0.04 ( 82)  -0.44 (110) |  0.23 ( 47)  -0.22 ( 35) | -0.32 ( 50)  -0.24 ( 60)  -0.16 (110) |
WILKINSON Alexander William - STEPHENS Philip          |  176  -0.85 | -0.52  -0.33 | -0.48 ( 99)  -0.14 ( 77) | -0.75 ( 44)  -0.26 ( 55) | -0.03 ( 44)   0.09 ( 33)  -0.16 ( 77) |
ANGELOPOULOS Petros - ZOZIS Sotiris                    |  176  -0.90 | -0.20  -0.70 | -0.58 ( 82)  -0.81 ( 94) |  0.23 ( 48)  -1.72 ( 34) | -0.29 ( 32)  -0.17 ( 62)  -0.59 ( 94) |
DAMASO Nuno - PRATAS Pedro                             |  144  -1.22 | -0.81  -0.41 | -0.19 ( 66)  -0.61 ( 76) | -0.50 ( 35)   0.17 ( 31) | -0.38 ( 30)  -0.31 ( 46)  -0.28 ( 76) |
ZADEL Marjan - RUS Gregor                              |  176  -1.61 | -1.09  -0.52 | -0.46 ( 88)  -0.58 ( 86) | -1.04 ( 42)   0.06 ( 46) | -0.16 ( 45)  -0.18 ( 41)  -0.41 ( 86) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BABSCH Andreas - TERRANEO Christian                    |   32   1.31 |  1.85  -0.54 |  0.41 ( 14)  -1.27 ( 18) |  0.69 (  7)   0.13 (  7) |  0.14 (  8)  -0.41 ( 10)  -1.11 ( 18) |
BOLAND Rory - MORAN Mark                               |   96  -0.26 | -0.11  -0.15 | -0.01 ( 53)  -0.33 ( 43) |  0.31 ( 25)  -0.30 ( 28) | -0.61 ( 22)  -0.10 ( 21)   0.03 ( 43) |
BABSCH Andreas - LINDERMANN Arno                       |   16  -0.63 |  0.05  -0.67 |  0.43 (  7)  -1.53 (  9) | -0.04 (  3)   0.79 (  4) |  0.00 (  5)   0.07 (  4)  -1.56 (  9) |
FUCIK Jan - BABSCH Andreas                             |   48  -1.06 | -1.18   0.12 |  0.03 ( 24)   0.21 ( 24) |  0.08 (  8)   0.01 ( 16) |  0.33 ( 10)   1.03 ( 14)  -0.53 ( 24) |
BABSCH Andreas - PURKARTHOFER Gunther                  |   32  -1.28 | -0.30  -0.99 | -1.04 ( 19)  -0.91 ( 13) | -0.41 (  9)  -1.60 ( 10) |  0.16 (  9)  -1.06 (  4)  -0.69 ( 13) |

