Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Pony Nehmert - Andrea Reim;160;0,97;0,82;0,16;-0,08;85;  0,44;73;-0,55;44;0,42;41;
Dror Padon - Cristina Giampietro;143;0,92;0,39;0,53;0,73;62;  0,38;79;0,79;25;0,69;37;
Andreas Visetti - Andrzej Konczak;224;0,80;0,27;0,54;0,49;103;  0,59;119;0,58;48;0,41;55;
Ludger Silva - Dr. Christian Döbig;192;0,56;0,40;0,16;0,18;103;  0,14;87;0,10;54;0,27;49;
Christian Farwig - Dr. Marcus Joest;96;0,51;0,30;0,21;0,25;42;  0,17;54;0,42;23;0,05;19;
Andreas Böhmer - Erhard Sternheimer;208;0,49;0,28;0,21;0,37;99;  0,07;109;0,30;50;0,43;49;
Peter Heckmann - Christian Glubrecht;192;0,43;0,45;-0,03;0,03;94;  -0,08;96;-0,34;46;0,38;48;
Uwe Siedenburg - Christian Fröhner;224;0,40;0,34;0,06;0,10;110;  0,02;113;0,10;57;0,11;53;
Adam Griger - Marian Powalla;128;0,36;-0,25;0,62;1,04;64;  0,20;64;1,02;28;1,05;36;
Theo Reinhard - Thomas Neuhauser;112;0,31;0,21;0,10;0,57;58;  -0,40;54;0,68;24;0,48;34;
Eckhard Böhlke - Kathryn Herz;192;0,31;0,47;-0,16;0,09;102;  -0,43;90;-0,34;53;0,54;49;
Theo Reinhard - Christoph Hauschild;127;0,16;0,22;-0,06;-0,29;58;  0,14;68;-0,39;33;-0,15;25;
Martin Hofmann - Bernd Engelhardt;127;0,15;0,25;-0,10;-0,23;63;  0,03;62;-0,63;35;0,26;28;
Raffael Braun - Roland Watzdorf;288;0,01;-0,14;0,15;0,26;125;  0,07;160;0,86;63;-0,35;62;
Robert Jaßniger - Christian Tobias Bolik;128;0,01;0,08;-0,06;-0,17;63;  0,04;63;-0,29;32;-0,05;31;
Hema Adhikary - Ingrid Gromann;175;-0,08;-0,06;-0,02;0,09;94;  -0,14;81;-0,64;44;0,74;50;
Joachim Cappeller - Clemens Oelker;208;-0,13;-0,20;0,08;0,07;101;  0,09;103;0,00;46;0,12;55;
Martin Staber - Peter Fahrenholz;160;-0,13;0,17;-0,30;-0,41;74;  -0,21;84;0,14;42;-1,13;32;
Lukas Schenk - Dr. Arno Kretschmer;176;-0,21;-0,47;0,27;0,26;84;  0,27;91;0,29;45;0,23;39;
Horst Hübner - Omid Karimi;160;-0,21;-0,09;-0,12;-0,14;81;  -0,10;77;-0,02;46;-0,30;35;
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;128;-0,23;0,03;-0,26;0,04;66;  -0,59;62;-0,37;36;0,53;30;
Dr. Silvia Klasberg-Brawanski - Niko Forchert;128;-0,32;-0,33;0,01;-0,07;55;  0,07;71;-0,63;28;0,51;27;
Michael Hornbrook - Dr. Ilan Wolff;160;-0,32;-0,18;-0,14;-0,24;74;  -0,07;84;-0,05;42;-0,48;32;
Boris Yavlinsky - Dr. Gerhard Thurn;224;-0,39;-0,22;-0,17;-0,62;121;  0,37;101;-0,48;58;-0,75;63;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;176;-0,39;-0,35;-0,05;0,10;91;  -0,21;84;0,16;47;0,03;44;
Göran Mattsson - Robert Koch;128;-0,43;-0,30;-0,13;-0,16;69;  -0,09;57;-0,48;28;0,05;41;
Stefan Behn - Dirk Nedler;160;-0,56;-0,43;-0,13;-0,37;78;  0,10;81;-0,39;36;-0,35;42;
Hans Joachim Trapp - Albrecht Hollstein;112;-0,66;-0,57;-0,09;-0,33;65;  0,23;47;-0,07;35;-0,63;30;
Dr. Michael Stumpf - Christoph Hofbauer;224;-0,80;-0,48;-0,32;-0,13;114;  -0,51;109;-0,26;59;0,01;55;
Florian Hauenstein - Michael Goetze;128;-0,96;-0,61;-0,35;-0,71;61;  -0,03;66;-1,16;32;-0,22;29;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
