Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dror Padon - Cristina Giampietro;143;1,00;0,34;0,66;0,77;62;  0,58;79;0,88;25;0,70;37;;3b
Josef Piekarek - Alexander Smirnov;96;0,88;0,01;0,87;0,01;49;  1,77;47;-0,11;22;0,10;27;;1
Pony Nehmert - Andrea Reim;160;0,83;0,35;0,48;0,22;85;  0,80;73;-0,11;44;0,57;41;;3b
Beatrix Wodniansky - Werner Kühn;144;0,80;0,70;0,10;0,16;68;  0,05;76;0,18;31;0,15;37;;3c
Claus Daehr - Dimitrios Markaris;96;0,76;0,67;0,10;0,57;38;  -0,22;58;-0,08;14;0,96;24;;2
Udo Kreimeyer - Wolfgang Sonntag;192;0,76;0,36;0,40;0,57;91;  0,25;100;0,74;41;0,42;50;;3a
Leszek Molak - Wlodzimierz Duszynski;96;0,75;0,12;0,63;0,96;49;  0,28;47;0,51;28;1,55;21;;3a
Michael Haffer - Sven Krupp;224;0,74;0,34;0,41;0,39;116;  0,43;106;0,71;56;0,10;60;;3c
Eckhard Renken - Franz-Jürgen Röttger;192;0,74;0,34;0,40;0,37;94;  0,44;97;0,66;48;0,06;46;;3a
Andreas Visetti - Andrzej Konczak;224;0,72;0,22;0,50;0,50;103;  0,51;119;0,49;48;0,50;55;;3b
Frank Röttger - Karl-Heinz Schmidt;124;0,65;0,38;0,26;0,12;54;  0,39;67;0,21;25;0,04;29;;3c
Josef Piekarek - Tomasz Gotard;96;0,61;0,49;0,11;0,20;55;  -0,01;41;0,44;26;-0,01;29;;1
Lars Hüllen - Stefan Hinck;192;0,61;0,24;0,36;0,35;111;  0,39;81;-0,13;55;0,82;56;;3a
Norbert Stübinger - Thomas Martin;192;0,57;0,41;0,17;0,07;97;  0,26;94;0,33;56;-0,28;41;;3a
Helmut Häusler - Dr. Andreas Kirmse;176;0,55;0,37;0,19;0,05;93;  0,34;83;-0,20;40;0,24;53;;1
Andreas Böhmer - Erhard Sternheimer;208;0,55;0,17;0,38;0,43;99;  0,33;109;0,53;50;0,33;49;;3b
Ludger Silva - Dr. Christian Döbig;192;0,55;0,38;0,17;0,08;103;  0,28;87;0,04;54;0,11;49;;3b
Rolf Beckmann - Wolfram Rach;192;0,49;0,40;0,10;0,06;103;  0,14;89;0,12;44;0,02;59;;3a
Herbert Vetter - Bernhard Landwehr;176;0,47;0,21;0,26;0,33;72;  0,22;102;0,17;28;0,42;44;;3c
Henning Gärner - Dr. Gerhard Göttsch;192;0,47;0,35;0,12;0,30;105;  -0,10;86;0,05;42;0,47;63;;3a
Ralf Schmellekamp - Dimitrios Markaris;192;0,45;0,39;0,06;0,21;93;  -0,09;98;0,38;43;0,07;50;;2
Peter Heckmann - Christian Glubrecht;192;0,44;0,50;-0,06;-0,06;94;  -0,07;96;-0,43;46;0,29;48;;3b
Alexander Rapoport - Alexei Vinogradov;208;0,40;0,10;0,30;0,21;101;  0,39;107;0,36;54;0,04;47;;3c
Julius Linde - Christian Schwerdt;192;0,37;0,05;0,32;0,68;92;  -0,01;98;0,14;44;1,18;48;;1
Christian Farwig - Dr. Marcus Joest;96;0,36;0,46;-0,10;0,40;42;  -0,48;54;0,54;23;0,21;19;;3b
Uwe Siedenburg - Christian Fröhner;224;0,34;0,10;0,24;0,30;110;  0,18;113;0,21;57;0,41;53;;3b
Christian Schlicker - Dr. Claus Günther;191;0,32;0,27;0,05;0,05;94;  0,06;96;0,23;41;-0,08;53;;1
Peter Jokisch - Udo Kasimir;192;0,32;-0,09;0,41;0,59;87;  0,27;105;0,84;46;0,31;41;;1
Nikolas Roemer - Oleg Galimov;224;0,31;0,29;0,02;-0,04;119;  0,09;105;-0,29;61;0,22;58;;3c
Hans Frerichs - Ulrich Wenning;208;0,31;0,16;0,15;0,44;92;  -0,08;115;0,40;57;0,52;35;;1
Martin Rehder - Michael Gromöller;96;0,30;-0,09;0,40;1,04;48;  -0,26;47;0,79;23;1,28;25;;1
Theo Reinhard - Thomas Neuhauser;112;0,30;-0,13;0,43;1,00;58;  -0,18;54;0,71;24;1,20;34;;3b
Frank Reichelt - Dr. Jean Georgiades;192;0,29;0,13;0,15;0,30;102;  -0,01;90;0,66;59;-0,19;43;;2
Adam Griger - Marian Powalla;128;0,28;-0,45;0,73;1,17;64;  0,29;64;1,25;28;1,12;36;;3b
Michael Schröder - Stefan Vernon;174;0,27;0,26;0,01;-0,05;90;  0,08;82;0,14;47;-0,26;43;;3c
Matthias Schüller - Paul Orth;160;0,25;-0,09;0,35;0,21;77;  0,47;83;0,46;36;-0,01;41;;1
Ulf Bormann - Christine Kraus;192;0,24;0,19;0,05;0,04;101;  0,07;90;-0,32;46;0,33;55;;3a
Herbert Klumpp - Jochen Bitschene;128;0,24;0,06;0,18;0,64;65;  -0,30;62;0,31;34;1,01;31;;1
Florian Alter - Hartmut Kondoch;160;0,23;0,35;-0,12;-0,30;77;  0,05;81;-0,77;26;-0,06;51;;1
Eckhard Böhlke - Kathryn Herz;192;0,23;0,45;-0,21;-0,07;102;  -0,37;90;-0,16;53;0,02;49;;3b
Flora Zarkesch-Boeddeker - Robert Boeddeker;288;0,22;0,15;0,06;-0,04;144;  0,16;144;0,44;73;-0,53;71;;2
Tobias Förster - Dr. Claus Neidhardt;224;0,21;0,23;-0,02;-0,08;125;  0,05;99;-0,02;65;-0,15;60;;3c
Dr. Rolf Kühn - Dr. Frank Pioch;287;0,21;-0,02;0,22;0,12;156;  0,35;128;0,02;76;0,22;80;;2
Felix von Arnim - Heinrich Nowak;128;0,19;-0,09;0,28;0,74;63;  -0,16;64;0,12;25;1,15;38;;2
Fred Wrobel - Stefan Häßler;128;0,17;0,07;0,09;0,29;59;  -0,07;68;0,38;27;0,21;32;;1
Jacek Lesniczak - Janko Katerbau;192;0,17;-0,10;0,27;0,43;89;  0,13;102;0,41;45;0,45;44;;1
Oliver Hevemeier - Wolfram von Alvensleben;288;0,16;-0,20;0,36;0,55;146;  0,17;139;0,33;73;0,77;73;;2
Martin Hofmann - Bernd Engelhardt;127;0,16;0,26;-0,10;-0,46;63;  0,27;62;-0,94;35;0,14;28;;3b
Andreas Schaper - Dr. Lutz Wienert;288;0,15;0,11;0,04;0,04;139;  0,04;148;0,05;77;0,04;62;;3a
Martin Stoszek - Alexander Wodniansky;127;0,13;-0,21;0,34;0,05;66;  0,66;61;0,45;26;-0,21;40;;3c
Henning Gärner - Dirk Gyselinck;96;0,13;-0,26;0,39;0,61;58;  0,05;38;0,05;17;0,84;41;;3a
Bharat Gurbaxani - Dr. Michael Kammermeier;158;0,12;0,08;0,04;-0,31;89;  0,50;69;-0,22;48;-0,43;41;;3c
Dr. Sebastian Weyand - Claudia Vechiatto;112;0,11;0,47;-0,36;0,40;48;  -0,94;64;1,24;18;-0,09;30;;1
Roland Voigt - Ulrich Voigt;160;0,11;0,20;-0,10;-0,51;73;  0,26;84;-0,26;32;-0,71;41;;2
Andreas Schiffmann - Darius Schiffmann;288;0,10;0,02;0,08;0,27;134;  -0,09;152;-0,19;70;0,77;64;;3a
Anja Alberti - Dieter Laidig;160;0,10;0,17;-0,07;-0,03;95;  -0,14;63;0,39;45;-0,41;50;;2
Martin Wüst - Vitaliy Khanukov;192;0,08;-0,19;0,27;0,37;107;  0,15;84;0,50;48;0,27;59;;1
Barbara von Kleist - Sabine Würdemann;191;0,08;-0,12;0,20;0,05;88;  0,33;101;-0,51;52;0,85;36;;3a
Uwe Schoolmann - Dr. Annikki Schoolmann;288;0,07;0,05;0,02;-0,01;137;  0,06;151;0,23;81;-0,36;56;;3a
Jan van Oosten - Dr. Ansgar Seiter;224;0,07;0,02;0,06;-0,07;127;  0,22;95;-0,10;48;-0,04;79;;2
Ingo Lüßmann - Claudia Lüßmann;176;0,07;-0,31;0,38;0,26;81;  0,50;93;0,58;39;-0,05;42;;2
Helga Stoermer - Lutz Narajek;112;0,06;0,71;-0,65;-0,60;59;  -0,72;52;-1,06;31;-0,10;28;;3c
Rainer Handel - Christoph Kemmer;128;0,06;0,37;-0,31;0,10;63;  -0,71;65;-0,97;33;1,27;30;;1
Robert Maybach - Wolf Stahl;192;0,04;-0,01;0,05;0,24;101;  -0,16;90;-0,29;50;0,76;51;;2
Dr. Peter Freche - Dr. Karl-Heinz Kaiser;192;0,03;-0,04;0,07;0,11;94;  0,02;96;0,36;52;-0,19;42;;1
Hartmut Brückner - Ralf Speckmann;224;0,03;0,19;-0,16;-0,51;101;  0,12;121;-0,04;54;-1,04;47;;2
Ralf-D, Zepelin - André Marx;236;0,02;-0,43;0,45;0,28;112;  0,61;123;0,14;56;0,42;56;;3c
Raffael Braun - Roland Watzdorf;288;0,02;-0,13;0,14;0,29;125;  0,03;160;0,83;63;-0,26;62;;3b
Robert Jaßniger - Christian Tobias Bolik;128;0,01;0,23;-0,22;-0,21;63;  -0,24;63;-0,43;32;0,03;31;;3b
Elke Weber - Anne Gladiator;192;0,01;0,16;-0,15;-0,13;99;  -0,16;93;-0,32;48;0,04;51;;2
Dr. Herbert Thieme - Dr. Klaus Krtschil;128;0,01;-0,00;0,01;-0,16;58;  0,16;69;-0,09;29;-0,24;29;;3c
Fikret Dogan - Cumhur Kirdemir;256;0,01;0,01;-0,00;-0,12;128;  0,12;127;-0,75;54;0,34;74;;2
Andreas Babsch - Ulrike Schreckenberger;128;0,00;0,06;-0,05;-0,28;66;  0,20;61;-0,32;33;-0,25;33;;2
Dr. Werner Graf - Reiner Marsal;144;-0,01;0,11;-0,12;0,20;73;  -0,46;68;-0,29;27;0,48;46;;1
Martin Löfgren - Nikolas Bausback;144;-0,01;0,04;-0,05;0,19;70;  -0,28;73;0,55;35;-0,17;35;;1
Klaus-Dieter Wacker - Ulrich Staber;223;-0,01;-0,20;0,19;0,15;102;  0,23;120;-0,23;42;0,41;60;;2
Klaus Spiegelberg - Martin Jentsch;208;-0,02;-0,04;0,02;0,07;117;  -0,04;91;0,29;65;-0,19;52;;3c
Hans-Jürgen Riedel - Tobias Pickhard;239;-0,03;0,08;-0,11;-0,19;99;  -0,06;140;-0,57;49;0,19;50;;3c
Benedikt Wiemeyer - Volker Hund-Schulze;192;-0,03;0,16;-0,19;-0,28;96;  -0,10;94;-0,19;56;-0,41;40;;3a
Dr. Walter Höger - Petra von Malchus;192;-0,03;0,04;-0,07;-0,02;104;  -0,12;87;0,19;52;-0,23;52;;3a
Joachim Parsch - Klaus Zeitler;224;-0,05;0,07;-0,11;-0,26;127;  0,07;97;-0,59;51;-0,03;76;;1
Klaus Amann - Dr. Carina Tetal;192;-0,05;-0,02;-0,03;-0,53;77;  0,31;114;-0,66;35;-0,42;42;;2
Joachim Cappeller - Clemens Oelker;208;-0,05;-0,19;0,14;-0,06;101;  0,33;103;-0,17;46;0,04;55;;3b
Mirja Schraverus-Meuer - Axel Meuer;160;-0,06;0,07;-0,13;-0,35;76;  0,07;82;-0,23;39;-0,47;37;;2
Markus Eble - Uwe Gebhardt;192;-0,06;0,20;-0,26;-0,63;93;  0,10;99;-0,42;46;-0,84;47;;3c
Theo Reinhard - Christoph Hauschild;127;-0,06;-0,01;-0,05;-0,12;58;  0,02;68;-0,09;33;-0,17;25;;3b
Hema Adhikary - Ingrid Gromann;175;-0,07;0,06;-0,13;-0,02;94;  -0,25;81;-0,62;44;0,52;50;;3b
Gisela Smykalla - Dr. Michael Schneider;208;-0,08;0,01;-0,10;-0,06;117;  -0,15;90;-0,52;62;0,47;55;;2
Ingeborg Metzler - Bernd Metzler;159;-0,10;-0,10;0,00;0,23;63;  -0,15;94;0,01;38;0,56;25;;3c
Paul Grünke - David Cole;192;-0,10;-0,27;0,17;0,32;93;  0,04;97;0,26;42;0,37;51;;1
Mads Eyde - Dennis Bilde;160;-0,11;0,24;-0,35;-0,33;98;  -0,37;62;-0,16;49;-0,51;49;;1
Roland Kühnle - Ulrik Wittek;224;-0,12;-0,27;0,15;0,26;100;  0,07;122;0,27;54;0,25;46;;2
Mieke Plath - Ulrike Liss;128;-0,12;0,05;-0,17;-0,07;70;  -0,29;58;0,51;34;-0,62;36;;3c
Martin Schrödel - Martin Werner;208;-0,13;-0,07;-0,07;0,21;91;  -0,29;115;0,13;49;0,31;42;;1
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;128;-0,14;0,14;-0,28;-0,04;66;  -0,53;62;-0,56;36;0,58;30;;3b
Gerda Heinrichs - Karin Wenning;192;-0,14;0,07;-0,21;-0,25;78;  -0,18;113;-0,50;39;-0,00;39;;3a
Otto Ruthenberg - Yasser Rahim;128;-0,14;0,06;-0,20;0,44;71;  -0,99;57;0,45;37;0,42;34;;2
Horst Hübner - Omid Karimi;160;-0,14;-0,03;-0,11;-0,27;81;  0,04;77;-0,31;46;-0,21;35;;3b
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;-0,14;-0,21;0,07;-0,09;152;  0,25;133;0,49;82;-0,77;70;;3a
Annaig Della Monta - Dr. Alfred Berthold;224;-0,15;-0,08;-0,07;-0,13;123;  0,01;99;-0,41;72;0,26;51;;2
Ingo Schmid - Lutz Narajek;112;-0,15;0,19;-0,35;-0,43;60;  -0,26;51;0,03;41;-1,41;19;;3c
Fabian Hupe - Jascha Garre;143;-0,15;-0,16;0,01;0,10;78;  -0,11;65;-0,45;38;0,62;40;;3c
Helmut Lux - Ulrich Schweding;192;-0,16;-0,20;0,04;0,03;108;  0,05;83;-0,25;59;0,36;49;;3c
Dr. Ralf Schlotmann - Ulrich Trepnau;192;-0,17;-0,17;0,00;0,23;90;  -0,20;102;0,19;44;0,26;46;;3a
Ilia Chapiro - Ireneus Kokocinski;208;-0,19;-0,17;-0,01;0,20;99;  -0,20;109;0,53;54;-0,21;45;;3a
Miklos Dumbovich - Dr. Josef Harsanyi;222;-0,20;0,03;-0,23;-0,13;114;  -0,34;107;-0,19;56;-0,07;58;;1
Felix Zimmermann - Max Ellerbeck;208;-0,20;-0,12;-0,08;-0,22;116;  0,09;92;-0,22;52;-0,21;64;;1
Matthias Voigt - Dr. Gerold Wieber;224;-0,22;-0,40;0,17;0,05;116;  0,30;108;0,08;47;0,03;69;;3c
Lukas Schenk - Dr. Arno Kretschmer;176;-0,22;-0,38;0,16;0,13;84;  0,18;91;0,20;45;0,05;39;;3b
Jens Harbarth - Dr. Bernhard Kopp;192;-0,24;-0,33;0,09;-0,01;86;  0,18;105;0,15;42;-0,17;44;;3a
Frank-Onno Bettermann - Matthias Berghaus;224;-0,26;0,00;-0,26;-0,42;104;  -0,13;119;-0,40;52;-0,45;52;;2
Dima Nikolenkov - Andrea Haidorfer-Nikolenkov;128;-0,26;0,10;-0,36;-0,61;56;  -0,16;72;0,07;28;-1,29;28;;2
Martin Staber - Peter Fahrenholz;160;-0,28;0,16;-0,44;-0,59;74;  -0,31;84;-0,02;42;-1,34;32;;3b
Ralph Wickert - Susanne Bohnsack;144;-0,28;-0,40;0,12;0,07;72;  0,17;72;0,29;40;-0,20;32;;3c
Dr. Sören Hein - Stefan Helling;128;-0,30;-0,40;0,10;-0,26;67;  0,51;59;-0,60;32;0,05;35;;2
Matthias Felmy - Roland Rohowsky;208;-0,31;-0,47;0,16;-0,01;99;  0,31;109;0,17;47;-0,17;52;;1
Hans-Joachim Prieß - Dietmar Korb;256;-0,32;-0,02;-0,29;-0,28;129;  -0,32;125;-0,02;58;-0,49;71;;2
