Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Michael Haffer - Sven Krupp;224;0,80;0,55;0,25;0,29;116;  0,21;106;0,46;56;0,13;60;
Beatrix Wodniansky - Werner Kühn;144;0,67;0,54;0,13;0,15;68;  0,12;76;0,48;31;-0,13;37;
Frank Röttger - Karl-Heinz Schmidt;124;0,66;0,28;0,38;0,53;54;  0,28;67;0,73;25;0,36;29;
Herbert Vetter - Bernhard Landwehr;176;0,49;0,36;0,13;0,31;72;  0,00;102;0,07;28;0,47;44;
Alexander Rapoport - Alexei Vinogradov;208;0,44;0,09;0,35;0,14;101;  0,56;107;0,23;54;0,03;47;
Martin Stoszek - Alexander Wodniansky;127;0,39;-0,10;0,49;0,22;66;  0,80;61;0,45;26;0,06;40;
Nikolas Roemer - Oleg Galimov;224;0,29;0,28;0,01;0,01;119;  0,00;105;-0,13;61;0,16;58;
Tobias Förster - Dr. Claus Neidhardt;224;0,21;0,26;-0,05;-0,04;125;  -0,06;99;-0,29;65;0,23;60;
Michael Schröder - Stefan Vernon;174;0,21;0,37;-0,16;-0,21;90;  -0,10;82;-0,23;47;-0,18;43;
Helga Stoermer - Lutz Narajek;112;0,19;0,91;-0,71;-0,48;59;  -0,99;52;-0,82;31;-0,11;28;
Ralf-D, Zepelin - André Marx;236;0,09;-0,26;0,36;0,09;112;  0,60;123;0,17;56;0,01;56;
Hans-Jürgen Riedel - Tobias Pickhard;239;0,05;0,13;-0,08;-0,01;99;  -0,13;140;-0,31;49;0,29;50;
Helmut Lux - Ulrich Schweding;192;0,01;-0,03;0,03;0,04;108;  0,02;83;-0,13;59;0,25;49;
Ingeborg Metzler - Bernd Metzler;159;-0,01;0,05;-0,06;0,22;63;  -0,25;94;0,11;38;0,39;25;
Dr. Herbert Thieme - Dr. Klaus Krtschil;128;-0,06;-0,12;0,07;-0,06;58;  0,18;69;0,04;29;-0,17;29;
Bharat Gurbaxani - Dr. Michael Kammermeier;158;-0,08;-0,10;0,02;-0,14;89;  0,23;69;-0,32;48;0,06;41;
Markus Eble - Uwe Gebhardt;192;-0,10;0,34;-0,43;-0,75;93;  -0,13;99;-0,81;46;-0,70;47;
Mieke Plath - Ulrike Liss;128;-0,10;-0,01;-0,09;-0,12;70;  -0,06;58;-0,14;34;-0,10;36;
Ralph Wickert - Susanne Bohnsack;144;-0,12;-0,39;0,27;0,23;72;  0,31;72;0,69;40;-0,36;32;
Klaus Spiegelberg - Martin Jentsch;208;-0,17;-0,20;0,02;-0,02;117;  0,08;91;0,26;65;-0,38;52;
Matthias Voigt - Dr. Gerold Wieber;224;-0,20;-0,45;0,25;0,13;116;  0,38;108;0,35;47;-0,02;69;
Fabian Hupe - Jascha Garre;143;-0,22;-0,26;0,04;0,17;78;  -0,12;65;-0,25;38;0,57;40;
Lukas Kautzsch - Arne Siegel;192;-0,24;-0,10;-0,14;0,03;89;  -0,30;101;0,02;50;0,03;39;
Ingo Schmid - Lutz Narajek;112;-0,27;-0,02;-0,25;-0,17;60;  -0,35;51;0,18;41;-0,94;19;
