Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Claus Daehr - Dimitrios Markaris;96;0,62;0,59;0,03;0,14;38;  -0,04;58;-0,12;14;0,29;24;
Ralf Schmellekamp - Dimitrios Markaris;192;0,39;0,35;0,05;0,23;93;  -0,13;98;0,62;43;-0,11;50;
Dr. Rolf Kühn - Dr. Frank Pioch;287;0,32;0,19;0,14;0,02;156;  0,29;128;-0,12;76;0,15;80;
Oliver Hevemeier - Wolfram von Alvensleben;288;0,25;-0,06;0,31;0,45;146;  0,16;139;0,24;73;0,66;73;
Anja Alberti - Dieter Laidig;160;0,16;0,28;-0,12;-0,04;95;  -0,25;63;0,31;45;-0,35;50;
Frank Reichelt - Dr. Jean Georgiades;192;0,15;-0,04;0,19;0,37;102;  -0,00;90;0,62;59;0,02;43;
Elke Weber - Anne Gladiator;192;0,13;0,14;-0,01;0,06;99;  -0,09;93;-0,17;48;0,27;51;
Flora Zarkesch-Boeddeker - Robert Boeddeker;288;0,11;-0,06;0,16;0,07;144;  0,25;144;0,34;73;-0,20;71;
Jan van Oosten - Dr. Ansgar Seiter;224;0,10;-0,00;0,10;-0,14;127;  0,41;95;-0,24;48;-0,08;79;
Felix von Arnim - Heinrich Nowak;128;0,08;-0,16;0,25;0,67;63;  -0,17;64;0,44;25;0,83;38;
Otto Ruthenberg - Yasser Rahim;128;0,07;0,09;-0,02;0,28;71;  -0,39;57;0,21;37;0,37;34;
Roland Voigt - Ulrich Voigt;160;0,07;0,14;-0,08;-0,40;73;  0,20;84;-0,32;32;-0,47;41;
Fikret Dogan - Cumhur Kirdemir;256;0,07;0,07;-0,01;-0,22;128;  0,20;127;-0,69;54;0,13;74;
Gisela Smykalla - Dr. Michael Schneider;208;0,06;0,19;-0,13;-0,15;117;  -0,10;90;-0,35;62;0,07;55;
Robert Maybach - Wolf Stahl;192;0,03;0,01;0,02;0,21;101;  -0,19;90;-0,22;50;0,62;51;
Ingo Lüßmann - Claudia Lüßmann;176;0,03;-0,38;0,41;0,20;81;  0,60;93;0,43;39;-0,02;42;
Hartmut Brückner - Ralf Speckmann;224;0,02;0,29;-0,27;-0,65;101;  0,04;121;-0,33;54;-1,02;47;
Annaig Della Monta - Dr. Alfred Berthold;224;-0,01;0,14;-0,15;-0,16;123;  -0,13;99;-0,33;72;0,08;51;
Klaus Amann - Dr. Carina Tetal;192;-0,03;0,12;-0,15;-0,50;77;  0,08;114;-0,43;35;-0,55;42;
Andreas Babsch - Ulrike Schreckenberger;128;-0,05;0,18;-0,22;-0,56;66;  0,13;61;-0,87;33;-0,25;33;
Mirja Schraverus-Meuer - Axel Meuer;160;-0,09;0,01;-0,10;-0,29;76;  0,06;82;-0,17;39;-0,42;37;
Klaus-Dieter Wacker - Ulrich Staber;223;-0,15;-0,31;0,16;0,13;102;  0,19;120;-0,09;42;0,28;60;
Roland Kühnle - Ulrik Wittek;224;-0,18;-0,16;-0,02;0,08;100;  -0,11;122;0,06;54;0,09;46;
Frank-Onno Bettermann - Matthias Berghaus;224;-0,21;-0,10;-0,11;-0,23;104;  -0,01;119;-0,17;52;-0,29;52;
Hans-Joachim Prieß - Dietmar Korb;256;-0,36;-0,20;-0,16;-0,01;129;  -0,31;125;-0,04;58;0,02;71;
Karl Wartlick - Rudi Salzer;192;-0,40;-0,19;-0,21;-0,08;86;  -0,31;105;-0,00;45;-0,16;41;
Dima Nikolenkov - Andrea Haidorfer-Nikolenkov;128;-0,44;-0,13;-0,31;-0,60;56;  -0,08;72;0,12;28;-1,31;28;
Dr. Sören Hein - Stefan Helling;128;-0,44;-0,44;0,00;-0,30;67;  0,34;59;-0,54;32;-0,08;35;
Siegfried Reck - Willi Neidow;160;-0,99;-0,69;-0,31;-0,75;77;  0,10;82;-0,81;38;-0,69;39;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Gregor Sieber - Ulrike Schreckenberger;64;1,04;0,64;0,40;1,03;35;  -0,38;27;0,95;21;1,15;14;
Ralph Vitters - Bernd Gahntz;64;0,23;-0,03;0,26;-0,00;26;  0,44;38;0,47;15;-0,65;11;

