Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Eckhard Renken - Franz-Jürgen Röttger;192;0,86;0,47;0,39;0,36;94;  0,43;97;0,45;48;0,26;46;
Udo Kreimeyer - Wolfgang Sonntag;192;0,75;0,46;0,30;0,46;91;  0,15;100;0,81;41;0,16;50;
Lars Hüllen - Stefan Hinck;192;0,66;0,36;0,31;0,19;111;  0,47;81;0,00;55;0,37;56;
Leszek Molak - Wlodzimierz Duszynski;96;0,65;-0,10;0,76;0,94;49;  0,57;47;0,62;28;1,37;21;
Rolf Beckmann - Wolfram Rach;192;0,52;0,55;-0,04;-0,16;103;  0,10;89;-0,26;44;-0,09;59;
Henning Gärner - Dr. Gerhard Göttsch;192;0,49;0,35;0,14;0,34;105;  -0,10;86;0,46;42;0,26;63;
Norbert Stübinger - Thomas Martin;192;0,47;0,49;-0,01;-0,06;97;  0,04;94;0,15;56;-0,35;41;
Ulf Bormann - Christine Kraus;192;0,31;0,30;0,01;-0,01;101;  0,02;90;-0,23;46;0,17;55;
Andreas Schiffmann - Darius Schiffmann;288;0,14;0,01;0,13;0,21;134;  0,06;152;-0,09;70;0,55;64;
Andreas Schaper - Dr. Lutz Wienert;288;0,11;0,12;-0,00;-0,17;139;  0,15;148;-0,14;77;-0,20;62;
Uwe Schoolmann - Dr. Annikki Schoolmann;288;0,10;0,12;-0,02;-0,08;137;  0,03;151;-0,01;81;-0,18;56;
Barbara von Kleist - Sabine Würdemann;191;0,05;-0,00;0,05;-0,20;88;  0,27;101;-0,48;52;0,20;36;
Henning Gärner - Dirk Gyselinck;96;0,01;-0,19;0,19;0,59;58;  -0,41;38;0,37;17;0,67;41;
Benedikt Wiemeyer - Volker Hund-Schulze;192;-0,03;0,12;-0,15;-0,24;96;  -0,06;94;-0,22;56;-0,27;40;
Jens Harbarth - Dr. Bernhard Kopp;192;-0,06;-0,20;0,14;0,07;86;  0,19;105;0,33;42;-0,17;44;
Dr. Walter Höger - Petra von Malchus;192;-0,10;-0,10;0,00;0,09;104;  -0,10;87;0,20;52;-0,01;52;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;-0,11;-0,17;0,06;-0,07;152;  0,21;133;0,25;82;-0,44;70;
Dr. Ralf Schlotmann - Ulrich Trepnau;192;-0,12;-0,13;0,01;0,22;90;  -0,18;102;0,26;44;0,18;46;
Ilia Chapiro - Ireneus Kokocinski;208;-0,20;-0,22;0,01;0,25;99;  -0,20;109;0,61;54;-0,17;45;
Hans-Jörg Schinze - Robert van Mourik;128;-0,25;-0,25;-0,00;0,37;68;  -0,43;60;0,72;29;0,11;39;
Gerda Heinrichs - Karin Wenning;192;-0,29;-0,24;-0,06;-0,16;78;  0,02;113;-0,29;39;-0,02;39;
Michael Thomsen - Dr. Gerben Dirksen;128;-0,32;0,02;-0,34;-0,84;56;  0,06;72;-1,17;28;-0,52;28;
Jan Chodorowski - Dr. Helmut Horacek;224;-0,38;-0,43;0,05;0,18;103;  -0,05;118;-0,05;48;0,37;55;
Georg Szasz - Max Winter;288;-0,40;0,08;-0,48;-0,35;141;  -0,60;147;-0,10;67;-0,58;74;
Peter Klein - Walter Sorger;176;-0,40;-0,35;-0,05;-0,35;84;  0,22;91;-0,28;46;-0,43;38;
Ingrid Stoeckmann - Burkhard Thamm;191;-0,59;-0,46;-0,13;-0,37;103;  0,14;87;-0,19;48;-0,53;55;
Gerhard Stampfer - Dr. Gabriele Krämer;288;-0,88;-0,40;-0,48;-0,24;146;  -0,73;142;-0,37;78;-0,10;68;
Frederic Boldt - Thomas Schmitt;96;-1,18;-0,71;-0,47;-0,69;52;  -0,23;43;-0,73;27;-0,63;25;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Michael Thomsen - Christine Kraus;16;1,16;-0,19;1,35;2,01;10;  0,24;6;1,76;5;2,27;5;
Michael Thomsen - Thomas Martin;16;0,82;0,50;0,32;0,41;12;  0,06;4;-0,01;6;0,82;6;
Frederic Boldt - Regine Bartels;64;0,59;0,46;0,13;0,25;31;  0,02;33;0,42;15;0,08;16;
Michael Thomsen - Ulf Bormann;16;0,49;1,15;-0,65;-1,25;5;  -0,38;11;-2,18;2;-0,63;3;
Michael Thomsen - Norbert Stübinger;16;0,37;0,44;-0,07;-0,84;7;  0,53;9;-0,05;3;-1,44;4;
Regine Bartels - Thomas Schmitt;64;-0,40;-0,63;0,24;0,36;36;  0,08;26;0,00;16;0,65;20;

