                                                       |             |              |           Play           |        Declaring         |                Defending              |
DEMARCIN Eric - BACKES Jean Marie                      |  240  -0.01 | -0.19   0.18 | -0.09 (112)   0.42 (126) | -0.11 ( 67)  -0.07 ( 45) |  0.21 ( 65)   0.11 ( 61)   0.26 (126) |
LOEFGREN Martin - RENNO Ilkka                          |  220  -0.03 |  0.31  -0.34 | -0.62 (105)  -0.09 (115) | -0.17 ( 51)  -1.04 ( 54) | -0.11 ( 65)  -0.52 ( 50)   0.20 (115) |
DEHAYE Bernard - KURGAN Daniel                         |  260  -0.07 | -0.02  -0.04 | -0.02 (141)  -0.08 (116) |  0.05 ( 71)  -0.09 ( 70) | -0.12 ( 51)  -0.27 ( 65)   0.13 (116) |
TOWNSEND Tom - GOLD David                              |  240  -0.11 | -0.03  -0.08 | -0.12 (118)  -0.04 (121) | -0.21 ( 62)  -0.02 ( 56) |  0.06 ( 63)   0.11 ( 58)  -0.13 (121) |
KARAMANLIS Philippos - PROTONOTARIOS Manolis           |  260  -0.12 | -0.00  -0.11 | -0.06 (143)  -0.17 (115) |  0.18 ( 71)  -0.30 ( 72) |  0.12 ( 57)  -0.78 ( 58)   0.16 (115) |
TOGNETTI Rene - DESMOULINS Christophe                  |  240  -0.14 |  0.02  -0.16 | -0.26 (111)  -0.08 (127) | -0.75 ( 52)   0.17 ( 59) | -0.22 ( 65)   0.15 ( 62)  -0.04 (127) |
BAUSBACK Nikolas - ENGEL Berthold                      |  240  -0.14 |  0.06  -0.20 |  0.35 (109)  -0.67 (129) |  0.98 ( 47)  -0.13 ( 62) | -0.45 ( 57)   0.12 ( 72)  -0.54 (129) |
VANDERVORST Mike - DEWASME Isabelle                    |  219  -0.17 | -0.26   0.08 | -0.03 (100)   0.19 (116) |  0.21 ( 53)  -0.30 ( 47) | -0.04 ( 53)  -0.14 ( 63)   0.28 (116) |
O'BRIEN Brendan J - PIGOT Peter Jr                     |  160  -0.17 | -0.15  -0.03 | -0.22 ( 71)   0.13 ( 88) | -0.18 ( 33)  -0.26 ( 38) |  0.26 ( 45)  -0.08 ( 43)   0.04 ( 88) |
TERRANEO Franz - TERRANEO Sylvia                       |  220  -0.20 | -0.25   0.05 |  0.25 (113)  -0.17 (106) |  0.44 ( 61)   0.03 ( 52) |  0.24 ( 54)  -0.06 ( 52)  -0.25 (106) |
ANGELOPOULOS Petros - KOUKOUSELIS Tassos               |  240  -0.22 | -0.19  -0.03 |  0.25 (125)  -0.33 (115) | -0.21 ( 64)   0.74 ( 61) | -0.13 ( 54)  -0.07 ( 61)  -0.23 (115) |
CASTANHEIRA Jorge Carlos - PESSOA Sofia                |  240  -0.22 | -0.07  -0.15 | -0.18 (120)  -0.12 (119) | -0.64 ( 62)   0.31 ( 58) |  0.01 ( 51)  -0.23 ( 68)   0.00 (119) |
KARPOV Maksim - LAANEMAE Tiit                          |  240  -0.22 | -0.51   0.29 | -0.04 (123)   0.64 (116) | -0.15 ( 66)   0.08 ( 57) |  0.47 ( 53)   0.33 ( 63)   0.25 (116) |
FLORIN Filip - IONITA Marius                           |  220  -0.25 | -0.03  -0.22 | -0.10 (117)  -0.36 (101) | -0.11 ( 60)  -0.10 ( 57) |  0.14 ( 49)  -0.34 ( 52)  -0.26 (101) |
