Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Hilmar Benecke - Reinhard Schatte;128;0,87;0,54;0,32;0,12;63;  0,53;63;0,04;34;0,22;29;
Jürgen Flory - Sabine Flory;96;0,83;0,45;0,39;0,33;50;  0,46;45;0,25;24;0,40;26;
Ferit Tavlan - Bernhard Kaiser;144;0,55;0,49;0,06;-0,12;73;  0,24;71;0,08;42;-0,40;31;
Frederic Boldt - Tilman Oeckinghaus;128;0,50;0,69;-0,18;-0,00;56;  -0,33;72;0,50;24;-0,38;32;
Elke Weber - Anne Gladiator;160;0,47;0,21;0,26;0,35;77;  0,17;82;0,27;42;0,43;35;
Barbara von Kleist - Sabine Würdemann;160;0,43;0,33;0,10;0,17;86;  0,03;73;0,02;42;0,32;44;
Dr. Silvia Klasberg-Brawanski - Eckhard Renken;192;0,42;0,34;0,09;0,17;88;  0,01;102;0,24;45;0,11;43;
Ireneus Kokocinski - Krzysztof Dec;160;0,41;0,35;0,06;0,04;73;  0,08;87;0,57;36;-0,46;37;
Ria Kürschner - Dr. Anne Gromöller;112;0,33;0,41;-0,08;-0,29;53;  0,12;57;-0,72;24;0,06;29;
Norbert Gutleben - Dr. Erasmus Scholz;192;0,27;0,15;0,13;-0,03;101;  0,30;90;0,14;47;-0,17;54;
Fried Weber - Jan Sohl;128;0,25;0,04;0,22;0,46;71;  -0,09;57;0,74;41;0,09;30;
Joachim Cappeller - Clemens Oelker;192;0,25;-0,00;0,25;0,29;88;  0,22;104;0,16;48;0,45;40;
Dr. Peer Köster - Horst Hübner;192;0,23;0,10;0,13;0,12;91;  0,13;100;0,04;55;0,25;36;
Hema Adhikary - Ingrid Gromann;128;0,17;0,21;-0,04;-0,68;58;  0,51;68;-1,37;22;-0,26;36;
Eckhard Böhlke - Kathryn Herz;128;0,05;0,22;-0,17;0,04;77;  -0,51;50;-0,12;38;0,21;39;
Annaig Della Monta - Dr. Alfred Berthold;128;0,04;0,10;-0,06;-0,09;53;  -0,04;74;0,43;28;-0,67;25;
Martin Meckel - Bettina Kaiser;144;0,01;0,05;-0,04;-0,41;67;  0,29;77;-0,14;30;-0,63;37;
Lukas Schenk - Martin Stoszek;192;-0,05;-0,19;0,14;0,33;102;  -0,08;90;0,35;44;0,31;58;
Dr. Ralf Schlotmann - Ulrich Trepnau;288;-0,06;-0,04;-0,02;-0,04;155;  0,01;132;-0,25;84;0,21;71;
Beatrix Wodniansky - Werner Kühn;192;-0,09;-0,07;-0,01;0,18;90;  -0,18;102;-0,25;42;0,55;48;
Helmut Franke - Thomas Steins;288;-0,17;-0,09;-0,08;0,09;144;  -0,25;141;0,16;68;0,03;76;
Michael Pauly - Dr. Bernhard Kopp;192;-0,19;-0,16;-0,03;0,20;99;  -0,28;91;-0,02;49;0,41;50;
Peter Klein - Dr. Arno Kretschmer;288;-0,21;-0,13;-0,08;0,02;148;  -0,19;137;0,02;72;0,02;76;
Max Neumann - Vladimir Belfermann;287;-0,26;-0,23;-0,04;-0,08;154;  0,02;131;-0,27;71;0,07;83;
Ilia Chapiro - Ireneus Kokocinski;128;-0,43;-0,63;0,19;0,58;62;  -0,17;65;1,15;26;0,17;36;
Martin Cantor - Omid Karimi;192;-0,44;0,04;-0,48;-0,43;95;  -0,55;95;-0,41;53;-0,45;42;
Ludger Silva - Michael Böcker;175;-0,52;-0,48;-0,05;-0,19;87;  0,10;87;-0,07;47;-0,34;40;
Ralf-D, Zepelin - André Marx;192;-0,61;-0,39;-0,22;-0,48;87;  -0,00;104;-0,77;49;-0,11;38;
Benedikt Wiemeyer - Volker Hund-Schulze;160;-0,70;-0,31;-0,39;-0,45;76;  -0,35;83;0,23;41;-1,24;35;
Norbert Keßler - Roland Watzdorf;160;-0,73;-0,45;-0,27;0,04;76;  -0,56;83;0,58;41;-0,59;35;
Hans-Joachim Prieß - Ralf-D, Zepelin;96;-0,74;-0,44;-0,30;-0,57;45;  -0,06;51;-0,93;23;-0,20;22;
Jürgen Nordmann - Kai Timofejew;112;-0,78;-0,67;-0,11;0,15;58;  -0,40;54;0,06;30;0,25;28;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ullrich Jahr - Yordan Boychev;48;1,63;1,20;0,43;0,96;28;  -0,31;20;1,09;15;0,82;13;
Jan Sohl - Yordan Boychev;80;0,48;0,37;0,11;0,35;45;  -0,20;35;0,83;21;-0,08;24;
Thorsten Kootz - Ullrich Jahr;80;0,41;-0,02;0,43;0,66;38;  0,24;41;1,27;21;-0,09;17;
Anne Gladiator - Yordan Boychev;32;0,08;-0,00;0,08;-0,38;15;  0,49;17;-0,68;10;0,21;5;
Elke Weber - Fried Weber;48;-0,15;-0,72;0,57;0,56;27;  0,57;21;0,53;20;0,63;7;
Jürgen Nordmann - Ria Kürschner;16;-1,16;-0,69;-0,47;-2,11;6;  0,51;10;-0,46;2;-2,93;4;

