Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ulf Bormann - Christine Kraus;128;0,82;0,64;0,18;0,31;76;  -0,01;51;0,85;35;-0,15;41;
Andreas Böhmer - Dr. Regine Neuhauser-Riess;112;0,50;-0,15;0,65;0,73;54;  0,57;58;0,44;24;0,97;30;
Andreas Böhmer - Erhard Sternheimer;112;0,44;0,23;0,21;0,20;53;  0,22;57;-0,49;25;0,82;28;
Uwe Schoolmann - Dr. Annikki Schoolmann;256;0,44;0,32;0,11;0,37;128;  -0,14;128;0,10;74;0,73;54;
Hartmut Brückner - Ralf Speckmann;192;0,37;0,11;0,25;0,25;103;  0,26;86;0,05;53;0,46;50;
Peter Heckmann - Christian Glubrecht;239;0,27;0,04;0,23;0,18;128;  0,28;110;0,33;59;0,05;69;
Henning Bohnsack - Bernd Donner;160;0,20;0,28;-0,08;-0,17;77;  0,01;83;-0,38;38;0,03;39;
Frank-Onno Bettermann - Björn Janson;176;0,19;0,02;0,17;0,30;64;  0,10;111;1,10;30;-0,40;34;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,19;0,01;0,17;0,45;136;  -0,08;152;0,29;70;0,63;66;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;0,15;0,21;-0,05;0,12;88;  -0,20;103;0,27;43;-0,03;45;
Theo Reinhard - Thomas Neuhauser;112;0,15;0,17;-0,01;0,43;62;  -0,59;48;0,87;32;-0,03;30;
Dr. Sören Hein - Stefan Helling;192;0,14;-0,04;0,18;0,42;94;  -0,05;96;0,54;45;0,31;49;
Rolf Beckmann - Wolfram Rach;223;0,14;0,06;0,08;0,21;113;  -0,06;110;0,23;58;0,19;55;
Michael Thomsen - Dr. Gerben Dirksen;128;0,14;0,06;0,08;0,30;65;  -0,14;63;0,19;26;0,37;39;
Lars Hüllen - Stefan Hinck;240;0,13;0,29;-0,17;-0,09;132;  -0,26;108;0,20;71;-0,42;61;
Ralf Fiedler - Christoph Moritz;208;0,07;0,25;-0,18;-0,12;106;  -0,25;101;-0,34;59;0,15;47;
Theo Reinhard - Christoph Hauschild;96;0,04;-0,23;0,27;-0,04;44;  0,54;52;-0,14;26;0,10;18;
Richard Hömmen - Werner Schneider;192;-0,04;0,06;-0,09;0,05;95;  -0,24;97;0,40;49;-0,32;46;
Anna-Marie Rowold - Toke Hoffmeister;192;-0,10;0,37;-0,47;-0,38;96;  -0,56;94;-0,38;40;-0,38;56;
Udo Kreimeyer - Wolfgang Sonntag;176;-0,14;-0,08;-0,06;-0,12;84;  0,00;92;-0,14;41;-0,10;43;
Michael Hornbrook - Dr. Ilan Wolff;240;-0,14;-0,16;0,01;-0,13;114;  0,14;125;0,01;50;-0,24;64;
Frederik Hahn - Lauritz Streck;175;-0,26;-0,11;-0,15;-0,14;80;  -0,15;93;-0,30;38;-0,00;42;
Dr. Lutz Wienert - Andreas Schaper;288;-0,29;-0,26;-0,02;-0,04;159;  -0,01;127;-0,46;77;0,36;82;
Andreas Schneider - Merle Schneeweis;176;-0,33;-0,49;0,16;-0,01;87;  0,33;87;-0,06;41;0,04;46;
Thomas Suppes - Torsten Skibbe;96;-0,37;-0,01;-0,35;-0,17;48;  -0,56;46;0,03;26;-0,40;22;
Norbert Stübinger - Ulf Bormann;96;-0,38;-0,02;-0,36;-0,40;52;  -0,33;44;-0,65;36;0,17;16;
Robert Jaßniger - Christian Tobias Bolik;144;-0,49;-0,18;-0,31;-0,67;74;  0,07;70;-0,17;37;-1,16;37;
Sabine Busching - Caren Grenz;192;-0,57;-0,35;-0,21;-0,61;90;  0,13;102;-0,72;52;-0,44;38;
Boris Yavlinsky - Dr. Gerhard Thurn;143;-0,67;-0,43;-0,24;-0,00;71;  -0,48;72;-0,32;35;0,31;36;
Frederik Hahn - Torsten Skibbe;96;-0,97;-0,35;-0,62;0,13;50;  -1,44;46;0,07;20;0,17;30;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Norbert Stübinger - Thomas Martin;80;1,17;0,88;0,29;0,66;46;  -0,20;34;1,57;20;-0,04;26;
Thomas Martin - Dr. Gerben Dirksen;32;0,67;-0,27;0,94;0,64;19;  1,37;13;-0,15;8;1,21;11;
Thomas Neuhauser - Christoph Hauschild;80;0,41;0,59;-0,18;-0,31;35;  -0,08;44;-0,54;14;-0,16;21;
Frank-Onno Bettermann - Hartmut Brückner;16;0,08;0,24;-0,15;-0,17;5;  -0,16;10;-;0;-0,17;5;
Leszek Molak - Wlodzimierz Duszynski;80;-0,03;-0,23;0,20;0,17;37;  0,24;40;0,21;23;0,10;14;
Thomas Martin - Christine Kraus;64;-0,24;-0,51;0,26;-0,07;35;  0,67;29;-0,00;13;-0,11;22;
Norbert Stübinger - Dr. Gerben Dirksen;48;-0,52;-0,50;-0,03;0,41;18;  -0,29;30;0,63;7;0,27;11;
Dr. Regine Neuhauser-Riess - Erhard Sternheimer;64;-0,52;-0,54;0,01;-0,04;28;  0,05;36;-0,54;11;0,28;17;
Heide Mühleib - Rudolf Lorenz;32;-3,30;-2,70;-0,60;-0,49;17;  -0,73;15;-0,62;7;-0,40;10;

