Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Michael Haffer - Sven Krupp;224;0,50;0,30;0,20;0,12;110;  0,28;114;0,19;61;0,04;49;
Nikolas Roemer - Oleg Galimov;224;0,35;0,29;0,07;-0,03;107;  0,17;114;0,04;52;-0,10;55;
Jazek Grzelczak - Peter Kazub;128;0,34;0,16;0,18;0,32;67;  0,03;60;0,29;35;0,35;32;
Marie Eggeling - Thomas Gotard;288;0,32;0,16;0,16;0,16;135;  0,16;151;0,36;70;-0,05;65;
Ralph Vitters - Udo Petersen;192;0,26;0,29;-0,03;0,07;100;  -0,15;90;-0,57;50;0,72;50;
Christian Löwenstein - Daniel Buse;144;0,21;0,36;-0,14;-0,01;75;  -0,29;68;-0,66;38;0,66;37;
Andreas Visetti - Andrzej Konczak;224;0,20;0,13;0,07;0,15;129;  -0,03;92;0,21;68;0,08;61;
Oliver Hevemeier - Wolfram von Alvensleben;192;0,16;-0,10;0,25;0,23;98;  0,28;93;0,35;48;0,11;50;
Florian Alter - Hartmut Kondoch;208;0,15;0,18;-0,03;0,06;101;  -0,13;105;0,26;52;-0,15;49;
Katja Dopheide - Ralph Vitters;96;0,14;-0,13;0,27;0,66;48;  -0,11;48;0,54;18;0,73;30;
Ingo Lüßmann - Claudia Lüßmann;191;0,09;0,36;-0,28;-0,23;107;  -0,36;81;-0,11;52;-0,34;55;
Dr. Michael Schneider - Gisela Smykalla;192;0,08;0,32;-0,24;-0,72;77;  0,08;112;-0,43;36;-0,98;41;
Dimitrij Nikolenkov - Andrea Haidorfer-Nikolenkov;160;0,08;0,20;-0,12;0,07;83;  -0,35;75;0,17;46;-0,04;37;
Felix von Arnim - Heinrich Nowak;240;0,07;0,11;-0,04;0,10;124;  -0,20;113;0,20;69;-0,02;55;
Gerda Heinrichs - Karin Wenning;190;0,05;0,14;-0,09;-0,15;94;  -0,03;94;-0,23;51;-0,07;43;
Jan van Oosten - Dr. Ansgar Seiter;224;0,04;0,03;0,01;-0,04;105;  0,05;116;0,07;54;-0,15;51;
Martin Hofmann - Bernd Engelhardt;224;0,02;0,01;0,01;-0,17;97;  0,15;123;0,19;48;-0,52;49;
Mirja Schraverus-Meuer - Axel Meuer;256;-0,04;0,02;-0,06;-0,17;140;  0,07;114;-0,26;62;-0,10;78;
Heini Berger - Axel Sawal;191;-0,06;-0,09;0,03;0,34;95;  -0,28;95;0,01;49;0,69;46;
Dr. Richard Bley - Raffael Braun;176;-0,08;0,05;-0,13;-0,09;92;  -0,17;84;0,48;46;-0,66;46;
Frank Reichelt - Dr. Jean Georgiades;191;-0,09;0,01;-0,10;-0,11;98;  -0,10;92;0,09;55;-0,37;43;
Ingrid Stoeckmann - Burkhard Thamm;191;-0,10;-0,29;0,19;0,10;95;  0,28;94;0,46;35;-0,12;60;
Anja Alberti - Nikolas Bausback;159;-0,23;-0,12;-0,11;0,07;67;  -0,24;90;-0,07;31;0,19;36;
Christian Fröhner - Andrea Reim;96;-0,24;-0,32;0,08;0,38;39;  -0,12;55;-0,32;16;0,87;23;
Roland Voigt - Ulrich Voigt;224;-0,36;-0,57;0,21;-0,01;122;  0,50;98;-0,03;64;0,01;58;
Matthias Stenneken - Bernd Gahntz;96;-0,39;0,04;-0,43;-0,52;54;  -0,31;41;-0,89;31;-0,03;23;
Klaus Amann - Dr. Carina Tetal;128;-0,40;-0,31;-0,09;-0,02;60;  -0,16;67;-0,08;30;0,04;30;
Jerzy Kozyczkowski - Berthold Engel;111;-0,43;-0,52;0,10;0,00;58;  0,20;52;-0,03;29;0,04;29;
Klaus Appelt - Anneliese Daig;192;-0,49;-0,49;-0,00;0,19;86;  -0,16;105;0,28;42;0,10;44;
Frank Röttger - Karl-Heinz Schmidt;128;-0,67;-0,34;-0,32;-0,35;62;  -0,30;66;-0,58;19;-0,25;43;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Stefan Back - Andrea Reim;64;-0,03;-0,32;0,29;0,38;35;  0,19;29;0,16;18;0,62;17;
Stefan Back - Christian Fröhner;32;-0,06;0,02;-0,08;0,04;14;  -0,17;18;0,15;5;-0,03;9;
Pony Nehmert - Andrea Reim;48;-0,16;-0,23;0,08;0,55;25;  -0,44;23;0,22;11;0,81;14;
Dr. Sebastian Weyand - Berthold Engel;64;-0,24;-0,08;-0,16;-0,34;30;  0,01;34;-0,60;13;-0,14;17;
Pony Nehmert - Christian Fröhner;48;-0,69;-1,07;0,38;0,28;16;  0,44;31;-0,02;7;0,52;9;
Dr. Richard Bley - Florian Alter;16;-1,42;-0,74;-0,68;-0,43;4;  -0,76;12;-1,21;2;0,35;2;

