Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Julius Linde - Christian Schwerdt;192;1,06;0,58;0,48;0,55;90;  0,43;100;0,55;47;0,55;43;;1
Dr. Werner Graf - Horst-Dieter Uhlmann;176;0,94;0,62;0,33;-0,02;86;  0,67;89;0,62;34;-0,43;52;;3c
Jürgen Flory - Sabine Flory;96;0,87;0,42;0,45;0,37;50;  0,56;45;0,01;24;0,70;26;;3a
Hilmar Benecke - Reinhard Schatte;128;0,86;0,46;0,40;0,06;63;  0,75;63;-0,15;34;0,32;29;;3a
Ulf Bormann - Christine Kraus;128;0,86;0,68;0,18;0,35;76;  -0,07;51;0,84;35;-0,08;41;;3b
Karl Wartlick - Dieter Laidig;192;0,78;0,64;0,14;-0,02;106;  0,36;83;-0,81;53;0,76;53;;3c
Paul Grünke - Roland Rohowsky;192;0,68;0,60;0,07;0,02;90;  0,12;99;0,12;50;-0,09;40;;1
Michael Haffer - Sven Krupp;224;0,62;0,35;0,27;0,17;110;  0,37;114;0,22;61;0,12;49;;2
Ingeborg Metzler - Bernd Metzler;224;0,61;0,22;0,39;0,60;97;  0,23;124;0,34;41;0,79;56;;3c
Peter Jokisch - Udo Kasimir;128;0,61;0,81;-0,21;-0,18;66;  -0,24;62;0,03;35;-0,42;31;;1
Kareen Schroeder - Dirk Schroeder;112;0,58;0,43;0,16;-0,14;61;  0,52;50;-0,03;42;-0,39;19;;3c
Barbara von Kleist - Sabine Würdemann;160;0,55;0,52;0,03;0,34;86;  -0,33;73;0,03;42;0,63;44;;3a
Andreas Böhmer - Dr. Regine Neuhauser-Riess;112;0,50;0,15;0,35;0,24;54;  0,45;58;0,02;24;0,41;30;;3b
Fried Weber - Jan Sohl;128;0,48;0,14;0,34;0,54;71;  0,10;57;0,89;41;0,05;30;;3a
Hartmut Brückner - Ralf Speckmann;192;0,44;0,11;0,34;0,22;103;  0,49;86;0,01;53;0,45;50;;3b
Dr. Rolf Kühn - Dr. Frank Pioch;176;0,42;0,41;0,01;0,04;97;  -0,04;79;-0,05;47;0,13;50;;1
Andreas Visetti - Andrzej Konczak;224;0,40;0,31;0,10;0,11;129;  0,08;92;0,14;68;0,09;61;;2
Frederic Boldt - Tilman Oeckinghaus;128;0,39;0,58;-0,19;-0,10;56;  -0,26;72;0,57;24;-0,61;32;;3a
Dr. Silvia Klasberg-Brawanski - Eckhard Renken;192;0,37;0,20;0,17;0,35;88;  0,02;102;0,43;45;0,26;43;;3a
Ireneus Kokocinski - Krzysztof Dec;160;0,37;0,24;0,13;0,02;73;  0,22;87;0,53;36;-0,48;37;;3a
Uwe Schoolmann - Dr. Annikki Schoolmann;256;0,36;0,34;0,03;0,15;128;  -0,10;128;-0,17;74;0,59;54;;3b
Peter Heckmann - Christian Glubrecht;239;0,36;0,10;0,25;0,15;128;  0,37;110;0,39;59;-0,06;69;;3b
Norbert Gutleben - Dr. Erasmus Scholz;192;0,34;0,12;0,22;0,17;101;  0,27;90;0,40;47;-0,03;54;;3a
Andreas Böhmer - Erhard Sternheimer;112;0,34;0,15;0,19;0,25;53;  0,13;57;-0,24;25;0,69;28;;3b
Klaus Spiegelberg - Asok Lean;128;0,33;-0,24;0,58;0,36;64;  0,81;63;0,86;36;-0,29;28;;3c
Elke Weber - Anne Gladiator;160;0,33;0,12;0,21;0,37;77;  0,05;82;0,35;42;0,40;35;;3a
Jörg Fritsche - Klaus jun, Reps;192;0,32;-0,06;0,38;0,61;86;  0,18;105;0,89;46;0,30;40;;1
Ferit Tavlan - Bernhard Kaiser;144;0,30;0,20;0,10;0,06;73;  0,16;71;0,22;42;-0,17;31;;3a
Helmut Lux - Ulrich Schweding;192;0,30;0,18;0,13;0,28;101;  -0,04;91;0,13;53;0,45;48;;3c
Felix Zimmermann - Max Ellerbeck;192;0,30;0,15;0,15;0,36;119;  -0,19;73;0,52;50;0,25;69;;1
Rolf Beckmann - Wolfram Rach;223;0,30;0,23;0,08;0,18;113;  -0,03;110;0,08;58;0,29;55;;3b
Nikolas Roemer - Oleg Galimov;224;0,28;0,28;0,00;-0,13;107;  0,13;114;0,16;52;-0,41;55;;2
Alexander Rapoport - Alexei Vinogradov;128;0,27;0,35;-0,08;0,19;70;  -0,41;57;-0,06;41;0,55;29;;3c
Christian Löwenstein - Daniel Buse;144;0,27;0,55;-0,28;-0,16;75;  -0,40;68;-0,80;38;0,49;37;;2
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;0,26;0,21;0,05;0,31;88;  -0,16;103;0,55;43;0,08;45;;3b
Matthias Schüller - Paul Orth;192;0,25;0,04;0,22;0,40;98;  0,02;94;0,43;44;0,37;54;;1
Andreas Schiffmann - Rainer Twele;96;0,23;-0,16;0,39;0,15;46;  0,61;50;0,10;27;0,22;19;;3c
Hema Adhikary - Ingrid Gromann;128;0,23;0,10;0,12;-0,41;58;  0,58;68;-1,01;22;-0,04;36;;3a
Dr. Peer Köster - Horst Hübner;192;0,22;0,07;0,15;0,04;91;  0,25;100;0,05;55;0,04;36;;3a
Dr. Michael Tomski - Martin Schrödel;192;0,22;0,07;0,15;0,01;87;  0,27;102;-0,40;46;0,47;41;;1
Florian Alter - Hartmut Kondoch;208;0,22;-0,02;0,24;0,34;101;  0,15;105;0,43;52;0,26;49;;2
Marie Eggeling - Thomas Gotard;288;0,20;0,15;0,04;0,11;135;  -0,01;151;0,43;70;-0,25;65;;2
Ralph Vitters - Udo Petersen;192;0,20;0,15;0,04;0,07;100;  0,01;90;-0,51;50;0,65;50;;2
Robert Maybach - Wolf Stahl;192;0,18;-0,00;0,18;0,22;103;  0,14;89;0,05;42;0,34;61;;1
Gerda Heinrichs - Karin Wenning;190;0,18;0,18;0,00;-0,09;94;  0,10;94;-0,48;51;0,37;43;;2
Heini Berger - Axel Sawal;191;0,16;0,02;0,14;0,30;95;  -0,01;95;-0,33;49;0,97;46;;2
Ria Kürschner - Dr. Anne Gromöller;112;0,16;0,37;-0,21;-0,43;53;  -0,01;57;-1,05;24;0,08;29;;3a
Holger Hoffmann - Christian Dörmer;176;0,16;0,08;0,08;-0,20;81;  0,32;94;-0,62;40;0,20;41;;1
Dr. Sören Hein - Stefan Helling;192;0,16;-0,04;0,20;0,68;94;  -0,26;96;0,76;45;0,61;49;;3b
Jazek Grzelczak - Peter Kazub;128;0,16;-0,22;0,37;0,53;67;  0,20;60;0,65;35;0,41;32;;2
Dimitrij Nikolenkov - Andrea Haidorfer-Nikolenkov;160;0,15;0,31;-0,16;0,17;83;  -0,53;75;0,43;46;-0,14;37;;2
Joachim Cappeller - Clemens Oelker;192;0,15;-0,16;0,31;0,30;88;  0,32;104;0,23;48;0,40;40;;3a
Theo Reinhard - Thomas Neuhauser;112;0,15;0,03;0,12;0,68;62;  -0,60;48;1,55;32;-0,26;30;;3b
