Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Roland Voigt - Ulrich Voigt;96;1,30;0,82;0,48;0,32;40;  0,60;56;0,97;21;-0,40;19;
Ingo Schmid - Lutz Narajek;176;0,50;0,53;-0,03;0,16;86;  -0,23;89;0,07;56;0,33;30;
Gerritt Guba - Béla Raasch;224;0,39;0,09;0,29;0,26;116;  0,33;107;0,34;57;0,18;59;
Martin Hofmann - Bernd Engelhardt;208;0,38;0,31;0,07;0,19;88;  -0,03;120;0,02;46;0,39;42;
Tobias Förster - Dr. Claus Neidhardt;224;0,37;0,33;0,04;0,06;116;  0,03;106;0,14;63;-0,03;53;
Jan van Oosten - Dr. Ansgar Seiter;288;0,26;0,12;0,14;0,37;145;  -0,10;141;0,06;69;0,66;76;
Helmut Lux - Ulrich Schweding;192;0,20;-0,05;0,25;0,29;103;  0,20;88;0,17;66;0,51;37;
Jens Harbarth - Dr. Bernhard Kopp;288;0,14;0,20;-0,07;-0,04;143;  -0,09;144;-0,10;74;0,02;69;
Klaus Spiegelberg - Asok Lean;192;0,13;0,06;0,08;-0,00;85;  0,14;104;-0,08;48;0,10;37;
Keith Brundage - Bharat Gurbaxani;176;0,11;-0,14;0,25;-0,03;81;  0,50;94;0,14;41;-0,21;40;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,11;0,29;-0,18;-0,20;134;  -0,17;151;-0,11;60;-0,28;74;
Andreas Schaper - Dr. Lutz Wienert;287;0,10;0,27;-0,17;-0,19;135;  -0,16;152;-0,78;72;0,48;63;
Hans-Jürgen Riedel - Tobias Pickhard;287;0,10;0,02;0,08;0,11;134;  0,05;149;0,13;79;0,07;55;
Matthias Voigt - Dr. Gerold Wieber;238;0,07;0,07;0,00;0,01;130;  -0,01;107;0,49;60;-0,40;70;
Klaus Amann - Carina Tetal;192;0,07;-0,09;0,16;0,47;90;  -0,11;99;0,79;43;0,18;47;
Ralph Wickert - Susanne Bohnsack;96;0,06;-0,04;0,11;-0,02;51;  0,26;43;-0,03;25;0,00;26;
Stefan Behn - Dirk Nedler;128;0,06;0,28;-0,22;-0,04;67;  -0,45;57;0,21;38;-0,38;29;
Ralf-D, Zepelin - André Marx;240;0,05;0,04;0,01;0,11;123;  -0,11;116;0,08;58;0,14;65;
Vitaliy Khanukov - Yevgeniya Khanukova;240;-0,02;-0,16;0,13;0,44;110;  -0,12;130;0,55;54;0,33;56;
Henning Bohnsack - Ralph Wickert;144;-0,05;-0,26;0,20;0,10;88;  0,38;56;0,03;46;0,17;42;
Andreas Visetti - Pawel Serwatowski;192;-0,09;-0,31;0,22;0,29;98;  0,16;90;0,58;51;-0,04;47;
Herbert Vetter - Bernhard Landwehr;192;-0,11;-0,15;0,04;0,25;102;  -0,20;88;0,24;61;0,27;41;
Matthias Stenneken - Ralf Wollenberg;160;-0,47;-0,44;-0,03;-0,10;86;  0,05;72;-0,66;45;0,51;41;
Lukas Schenk - Dr. Arno Kretschmer;192;-0,52;-0,12;-0,41;-0,27;89;  -0,54;101;-0,08;38;-0,40;51;
Leela Guba - Ursula Brzuska;192;-0,65;-0,52;-0,13;-0,24;91;  -0,03;100;-0,14;53;-0,37;38;
Tobias Müller - Dr. Arno Kretschmer;96;-1,13;-0,44;-0,69;-0,58;48;  -0,79;48;-1,06;28;0,10;20;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Henning Bohnsack - Susanne Bohnsack;47;0,67;0,75;-0,08;-0,32;25;  0,19;22;-0,05;12;-0,56;13;
Andrzej Konczak - Stefan Behn;47;0,35;-0,22;0,57;0,53;28;  0,64;19;0,28;14;0,78;14;
Susanne Bohnsack - Yevgeniya Khanukova;16;0,31;0,15;0,16;0,42;9;  -0,18;7;-0,02;5;0,98;4;
Herbert Thieme - Dr. Klaus Krtschil;64;-0,07;0,14;-0,21;-0,59;32;  0,17;31;-0,22;14;-0,88;18;
Jan Turski - Torsten Kistner;64;-0,38;-0,49;0,10;0,15;33;  0,05;30;-0,12;14;0,34;19;
Heide Uhrig - Jan Turski;32;-0,44;-0,70;0,25;0,09;14;  0,37;18;-0,55;7;0,73;7;
Herbert Thieme - Lydia Engler;48;-0,73;0,06;-0,80;-0,91;30;  -0,60;18;-1,35;18;-0,25;12;
Lutz Narajek - Petra Eleftherakis;32;-0,94;-0,24;-0,70;0,08;13;  -1,24;19;-0,05;5;0,17;8;
Henning Bohnsack - Vitaliy Khanukov;32;-1,41;-1,20;-0,21;-0,49;18;  0,15;14;-1,20;8;0,09;10;
Helga Stoermer - Lutz Narajek;80;-1,56;-1,25;-0,32;-0,03;43;  -0,65;37;0,89;25;-1,30;18;
Heide Uhrig - Torsten Kistner;64;-1,83;-0,82;-1,01;-1,40;31;  -0,68;32;0,29;12;-2,46;19;

