Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Jörg Fritsche - Roland Rohowsky;128;1,11;0,80;0,31;0,24;79;  0,44;48;0,34;45;0,12;34;
Nedju Buchlev - Sebastian Reim;144;0,84;0,48;0,36;0,74;78;  -0,10;64;1,18;31;0,45;47;
Helmut Häusler - Dr. Andreas Kirmse;128;0,77;0,31;0,46;0,60;60;  0,35;67;0,62;29;0,57;31;
Martin Rehder - Michael Gromöller;192;0,52;0,16;0,36;0,28;89;  0,43;103;0,29;60;0,25;29;
Martin Schrödel - Martin Werner;223;0,45;0,33;0,11;0,19;113;  0,04;110;0,29;58;0,08;55;
Jacek Lesniczak - Janko Katerbau;207;0,35;0,24;0,11;0,18;103;  0,04;101;0,44;52;-0,09;51;
Ulrich Kratz - Bernhard Sträter;176;0,31;0,41;-0,10;0,15;104;  -0,48;69;0,07;59;0,25;45;
Martin Wüst - Matthias Felmy;191;0,31;0,16;0,14;0,03;99;  0,27;91;-0,01;55;0,08;44;
Joachim Parsch - Klaus Zeitler;160;0,25;0,33;-0,07;0,20;72;  -0,30;88;0,27;35;0,13;37;
Rainer Handel - Christoph Kemmer;160;0,25;0,34;-0,09;-0,17;78;  -0,01;82;-0,29;39;-0,05;39;
Fabian von Löbbecke - Dirk Sanne;160;0,21;0,22;-0,02;0,06;74;  -0,08;86;-0,61;37;0,74;37;
Dr. Entscho Wladow - Dr. Michael Elinescu;128;0,16;0,24;-0,09;-0,22;66;  0,05;62;0,48;27;-0,70;39;
Herbert Klumpp - Jochen Bitschené;192;0,16;0,04;0,11;0,19;93;  0,05;99;0,13;53;0,27;40;
Loek Fresen - Waltraud Vogt;208;0,08;-0,09;0,17;0,13;107;  0,21;101;0,30;51;-0,02;56;
Josef Piekarek - Alexander Smirnov;96;0,06;0,14;-0,08;-0,43;47;  0,26;49;-0,25;31;-0,78;16;
Christian Schlicker - Dr. Claus Günther;192;0,01;0,05;-0,04;0,11;86;  -0,17;104;-0,12;44;0,35;42;
Paul Grünke - David Cole;192;-0,03;-0,02;-0,00;0,03;81;  -0,03;108;-0,17;39;0,21;42;
Miklós Dumbovich - Dr. Josef Harsányi;224;-0,07;-0,12;0,05;-0,31;100;  0,35;121;-0,11;46;-0,49;54;
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;191;-0,09;-0,04;-0,06;-0,06;95;  -0,06;94;-0,32;48;0,22;47;
Dr. Michael Tomski - Dr. Richard Bley;224;-0,10;-0,20;0,10;0,16;98;  0,06;122;0,04;43;0,26;55;
Matthias Schüller - Paul Orth;208;-0,12;-0,06;-0,06;-0,17;107;  0,04;100;-0,23;61;-0,08;46;
Laszló Honti - Reiner Marsal;223;-0,16;-0,24;0,08;-0,34;112;  0,50;110;-0,23;56;-0,44;56;
Hans Frerichs - Ulrich Wenning;192;-0,19;-0,07;-0,12;0,01;79;  -0,22;110;0,41;40;-0,41;39;
Martin Loefgren - Nikolas Bausback;160;-0,28;-0,14;-0,14;0,11;79;  -0,38;81;0,38;35;-0,10;44;
Peter Jokisch - Udo Kasimir;192;-0,33;-0,16;-0,18;-0,05;100;  -0,32;90;-0,12;45;0,01;55;
Mirja Schraverus-Meuer - Axel Meuer;144;-0,37;-0,44;0,07;0,22;77;  -0,10;64;0,25;40;0,18;37;
Anja Alberti - Dieter Laidig;223;-0,44;-0,12;-0,32;-0,14;115;  -0,52;108;0,01;65;-0,34;50;
Julius Linde - Christian Schwerdt;192;-0,50;-0,12;-0,37;-0,23;98;  -0,53;94;-0,10;45;-0,33;53;
Otto Ruthenberg - Emile Sansour;208;-0,54;-0,58;0,04;0,34;98;  -0,22;109;0,24;50;0,44;48;
Dr. Frank Pioch - Dr. Rolf Kühn;224;-0,77;-0,52;-0,25;-0,29;128;  -0,20;94;-0,33;61;-0,26;67;
Ralf Schmellekamp - Dimitri Markaris;128;-1,24;-0,85;-0,38;-0,04;65;  -0,74;63;-0,19;41;0,22;24;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Jochen Bitschené - Klaus Reps;48;1,33;0,69;0,65;0,82;25;  0,47;23;0,03;12;1,54;13;
Jörg Fritsche - Martin Rehder;16;-0,08;-0,25;0,17;0,04;10;  0,38;6;-0,59;7;1,52;3;
Joachim Parsch - Martin Schrödel;32;-0,33;0,27;-0,61;-0,21;13;  -0,87;19;-0,14;6;-0,27;7;
Klaus Reps - Sebastian Reim;32;-0,47;-0,71;0,24;-0,35;22;  1,54;10;-0,82;10;0,04;12;
Jörg Fritsche - Michael Gromöller;16;-0,67;0,54;-1,21;0,31;8;  -2,73;8;0,17;5;0,55;3;

