Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Frederic Boldt - Jan Chodorowski;112;0,62;0,25;0,36;0,67;54;  0,08;55;0,46;25;0,85;29;
Hartmut Brückner - Ralf Speckmann;223;0,57;0,37;0,20;0,24;102;  0,17;118;0,81;37;-0,08;65;
Uli Trepnau - Dr. Ralf Schlotmann;192;0,55;0,68;-0,13;0,11;84;  -0,34;104;0,24;47;-0,05;37;
Borys Jawlinsky - Dr. Gerhard Thurn;160;0,49;0,80;-0,31;-0,36;78;  -0,27;79;-0,30;39;-0,42;39;
Kathryn Herz - Eckhard Böhlke;192;0,36;0,13;0,22;0,14;107;  0,34;82;-0,17;52;0,43;55;
Benedikt Wiemeyer - Volker Hund-Schulze;191;0,33;0,18;0,15;-0,03;104;  0,37;86;0,34;52;-0,40;52;
Stefan Helling - Dr. Sören Hein;224;0,32;0,18;0,14;0,08;105;  0,20;117;0,40;53;-0,26;52;
Joachim Cappeller - Clemens Oelker;176;0,28;-0,07;0,35;0,58;69;  0,20;106;0,46;40;0,74;29;
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;159;0,20;0,34;-0,14;-0,26;81;  -0,02;77;-0,58;44;0,12;37;
Hans-Jörg Schinze - Dr. Helmut Horacek;96;0,16;0,45;-0,30;0,09;54;  -0,78;42;-0,29;27;0,47;27;
Anna Morgiel - Thomas Gotard;208;0,10;-0,13;0,23;0,51;99;  -0,02;106;0,85;47;0,19;52;
Ferit Tavlan - Norbert Gutleben;191;0,07;0,28;-0,21;-0,08;95;  -0,35;92;-0,30;44;0,11;51;
Fabian Hupe - Jascha Garre;288;0,03;0,01;0,03;0,32;132;  -0,22;153;0,07;63;0,54;69;
Horst Hübner - Omid Karimi;160;0,02;0,00;0,02;-0,03;73;  0,06;84;-0,40;30;0,23;43;
Michael Pauly - Werner Kühn;160;-0,14;0,00;-0,14;-0,29;94;  0,07;64;-0,33;39;-0,25;55;
Michael Hornbrook - Dr. Ilan Wolff;176;-0,15;-0,12;-0,03;0,06;83;  -0,11;91;-0,22;43;0,36;40;
Martin Meckel - Thorsten Roth;256;-0,22;-0,12;-0,10;-0,15;138;  -0,04;117;-0,44;75;0,20;63;
Hans-Jörg Schinze - Bert Hanken;160;-0,28;-0,27;-0,00;-0,04;78;  0,03;82;0,49;44;-0,73;34;
Achim Greune - Diana Farken;208;-0,32;-0,44;0,11;0,28;95;  -0,03;110;0,31;52;0,24;43;
Andreas Holowski - Hans Jürgen Bäumges;176;-0,32;-0,16;-0,16;-0,34;99;  0,07;76;-1,38;31;0,13;68;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;240;-0,33;-0,23;-0,10;-0,20;122;  0,00;117;-0,20;60;-0,19;62;
Nico Forchert - Omid Karimi;95;-0,34;0,16;-0,49;-0,43;55;  -0,58;40;-0,30;28;-0,56;27;
Frank-Onno Bettermann - Matthias Berghaus;128;-0,37;-0,07;-0,29;-0,25;64;  -0,35;63;-0,29;30;-0,21;34;
Andreas Schiffmann - Darius Schiffmann;191;-0,39;-0,15;-0,24;-0,27;107;  -0,21;82;-1,20;46;0,42;61;
Mieke Plath - Ulrike Liss;127;-0,41;-0,17;-0,24;-0,32;68;  -0,16;57;0,02;28;-0,56;40;
Barbara von Kleist - Sabine Würdemann;191;-0,48;-0,18;-0,30;0,25;90;  -0,79;100;0,23;48;0,27;42;
Frederic Boldt - Dr. Helmut Horacek;96;-0,77;-0,75;-0,02;0,05;57;  -0,13;37;-0,20;30;0,33;27;
Marian Mrukwa - Adam Rduch;160;-0,81;-0,63;-0,18;-0,28;76;  -0,09;80;-0,38;31;-0,21;45;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Fikret Dogan - Andreas Schiffmann;64;1,45;0,30;1,15;1,97;27;  0,57;36;3,16;18;-0,42;9;
Mieke Plath - Cumhor Kirdemir;64;1,11;0,05;1,05;1,20;39;  0,89;23;1,31;20;1,09;19;
Martin Stoszek - Michael Pauly;64;0,54;-0,02;0,56;0,73;33;  0,39;30;1,42;16;0,09;17;
Nico Forchert - Dr. Silvia Klasberg-Brawanski;80;0,42;0,56;-0,13;0,26;42;  -0,59;37;0,29;23;0,23;19;
Martin Stoszek - Werner Kühn;64;0,30;0,10;0,20;0,03;33;  0,39;30;-0,09;18;0,18;15;
Fikret Dogan - Cumhor Kirdemir;80;0,16;0,04;0,12;0,39;40;  -0,15;40;1,16;20;-0,38;20;
Thomas Schmitt - Dr. Helmut Horacek;64;-0,04;-0,15;0,12;-0,58;29;  0,71;34;-0,67;10;-0,53;19;
Fikret Dogan - Mieke Plath;48;-0,08;-0,64;0,57;0,38;20;  0,70;28;0,57;6;0,29;14;
Regine Bartels - Thomas Schmitt;48;-0,12;-0,03;-0,08;-0,45;19;  0,15;29;-0,32;14;-0,80;5;
Ferit Tavlan - Bernhard Kaiser;64;-0,13;-0,50;0,37;-0,21;29;  0,84;35;-0,33;17;-0,04;12;
Jürgen Flory - Sabine Flory;64;-0,44;-0,18;-0,26;-0,05;28;  -0,43;36;-1,15;12;0,78;16;
Horst Hübner - Dr. Peer Köster;80;-0,46;0,15;-0,61;-0,77;27;  -0,56;50;-1,06;17;-0,28;10;
Andreas Holowski - Adam Rduch;16;-0,83;-2,50;1,67;0,60;7;  2,50;9;0,84;5;0,00;2;
Peter Reuters - Adam Rduch;16;-2,35;-1,42;-0,93;-0,04;7;  -1,62;9;-0,43;2;0,11;5;

