Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Rolf Beckmann - Wolfram Rach;128;0,70;0,34;0,36;0,93;58;  -0,10;70;1,22;31;0,59;27;
Katharina Brinck - Vemund Vikjord;112;0,60;0,39;0,20;0,20;52;  0,21;57;0,52;26;-0,12;26;
Michael Haffer - Sven Krupp;192;0,52;0,36;0,16;-0,12;97;  0,45;94;-0,37;55;0,21;42;
Nils Bokholt - Roland Watzdorf;192;0,46;0,37;0,09;-0,08;96;  0,26;95;-0,06;48;-0,11;48;
Klaus-Dieter Wacker - Ulrich Staber;176;0,39;0,31;0,08;0,23;90;  -0,07;82;0,34;38;0,15;52;
Erhard Sternheimer - Andeas Böhmer;192;0,38;0,41;-0,03;-0,03;96;  -0,03;94;-0,10;46;0,03;50;
Christian Löwenstein - Daniel Buse;96;0,33;0,17;0,16;-0,09;57;  0,52;39;-0,00;33;-0,20;24;
Peter Heckmann - Christian Glubrecht;224;0,17;-0,10;0,26;0,38;112;  0,15;111;0,60;52;0,18;60;
Theo Reinhard - Christoph Hauschild;191;0,13;0,14;-0,01;-0,14;89;  0,11;98;0,13;50;-0,48;39;
Rainer Herrmann - Detlev Kröning;287;0,08;0,03;0,06;0,11;155;  -0,00;131;0,12;79;0,10;76;
Nikolas Roemer - Oleg Galimov;192;0,08;0,30;-0,22;-0,06;89;  -0,38;98;0,05;46;-0,18;43;
Frank Röttger - Karl-Heinz Schmidt;192;0,08;-0,00;0,08;0,07;84;  0,09;103;0,39;42;-0,25;42;
Franz-Jürgen Röttger - Eckhard Renken;224;0,07;0,31;-0,24;-0,09;130;  -0,45;92;0,06;70;-0,27;60;
Georg Mavridis - Karin Mavridis;112;0,07;0,26;-0,20;-0,53;65;  0,27;46;-0,12;30;-0,88;35;
Peter Bode - Yasmin Basegmez;192;0,06;-0,13;0,19;0,33;110;  0,02;81;0,05;49;0,55;61;
Udo Kreimeyer - Wolfgang Sonntag;128;0,04;0,01;0,03;0,07;65;  -0,02;63;0,11;31;0,04;34;
Göran Mattsson - Robert Koch;238;0,03;0,02;0,01;-0,11;111;  0,11;127;-0,56;54;0,32;57;
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;192;0,03;-0,12;0,14;-0,05;88;  0,31;103;-0,40;50;0,42;38;
Hans Ott - Dr. Wolfgang Walenta;288;-0,13;0,03;-0,17;-0,37;133;  0,01;148;-0,00;68;-0,76;65;
Karl Wartlick - Rudi Salzer;192;-0,15;-0,19;0,03;0,04;83;  0,03;106;0,24;50;-0,27;33;
Lothar Schmidt - Martin Jentsch;288;-0,18;-0,43;0,25;0,36;152;  0,13;132;0,36;78;0,37;74;
Helge Dzellak - Tilman Oeckinghaus;288;-0,22;-0,17;-0,05;0,26;131;  -0,31;153;-0,04;68;0,58;63;
Ireneus Kokocinski - Marta Janeczek;160;-0,28;-0,14;-0,14;-0,14;86;  -0,14;72;-0,39;42;0,10;44;
Marian Powalla - Adam Griger;112;-0,29;-0,09;-0,19;-0,27;55;  -0,12;56;-0,35;26;-0,19;29;
Günter Buhr - Hans-Peter Fütterer;288;-0,30;-0,19;-0,11;-0,16;135;  -0,07;151;-0,16;69;-0,16;66;
Peter Klein - Walter Sorger;192;-0,34;-0,18;-0,16;-0,15;91;  -0,17;98;0,12;42;-0,39;49;
Jürgen Nordmann - Anne Heim;128;-0,50;-0,37;-0,13;-0,24;53;  -0,05;74;-0,30;30;-0,16;23;
Ilia Chapiro - Oleksandr Friedmann;112;-0,65;-0,64;-0,00;-0,24;58;  0,25;53;-0,45;27;-0,05;31;
Angelika Röttger - Wolfram Rach;96;-0,90;-0,62;-0,28;0,03;49;  -0,62;46;0,03;27;0,02;22;
Peter Bode - Sybil Müller-Maubach;96;-1,01;-0,86;-0,15;-0,38;49;  0,11;45;-0,14;30;-0,76;19;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Klaus-Dieter Wacker - Willi Neidow;64;0,84;0,78;0,05;0,12;37;  -0,04;26;0,34;21;-0,17;16;
Karl Wartlick - Ulrich Staber;48;0,49;0,21;0,28;0,49;17;  0,16;31;0,70;4;0,43;13;
Anne Heim - Roland Watzdorf;32;0,48;-0,04;0,52;1,70;13;  -0,29;19;2,14;6;1,33;7;
Ulrich Staber - Willi Neidow;48;0,42;0,71;-0,28;-0,19;28;  -0,41;20;0,21;14;-0,59;14;
Anne Heim - Nils Bokholt;16;-0,04;0,34;-0,39;0,51;9;  -1,53;7;-0,09;7;2,61;2;
Rudi Salzer - Willi Neidow;48;-1,43;-0,41;-1,02;-1,21;22;  -0,94;24;-1,35;10;-1,09;12;

