Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Joachim Parsch - Klaus Zeitler;160;0,18;0,25;-0,07;-0,04;72;  -0,10;88;0,06;35;-0,14;37;;1
Helmut Lux - Ulrich Schweding;192;0,16;0,12;0,03;0,06;103;  0,01;88;-0,04;66;0,24;37;;3c
Theo Reinhard - Christoph Hauschild;191;0,15;0,18;-0,03;0,02;89;  -0,07;98;0,32;50;-0,38;39;;3a
Frank Röttger - Karl-Heinz Schmidt;192;0,14;0,05;0,10;0,08;84;  0,12;103;0,49;42;-0,34;42;;3a
Klaus Spiegelberg - Asok Lean;192;0,11;0,05;0,07;-0,05;85;  0,17;104;-0,01;48;-0,11;37;;3c
Rainer Herrmann - Detlev Kröning;287;0,11;0,06;0,06;0,18;155;  -0,09;131;0,27;79;0,09;76;;3a
Stefan Behn - Dirk Nedler;128;0,11;0,32;-0,21;-0,07;67;  -0,39;57;0,30;38;-0,56;29;;3c
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,11;0,10;0,01;-0,03;134;  0,04;151;0,05;60;-0,09;74;;3c
Oliver Hevemeier - Wolfram von Alvensleben;285;0,10;0,21;-0,11;0,26;144;  -0,50;138;0,72;65;-0,11;79;;2
Stefan Helling - Dr. Sören Hein;224;0,09;0,09;0,00;0,13;105;  -0,11;117;0,56;53;-0,31;52;;3b
Robert Maybach - Wolf Stahl;192;0,09;-0,04;0,13;-0,12;108;  0,44;84;0,14;47;-0,31;61;;2
Keith Brundage - Bharat Gurbaxani;176;0,08;-0,39;0,47;0,07;81;  0,82;94;0,70;41;-0,56;40;;3c
Joachim Cappeller - Clemens Oelker;176;0,08;-0,17;0,25;0,71;69;  -0,05;106;0,50;40;1,01;29;;3b
Hans-Jörg Schinze - Dr. Helmut Horacek;96;0,07;0,34;-0,27;0,04;54;  -0,67;42;-0,40;27;0,49;27;;3b
Andreas Visetti - Pawel Serwatowski;192;0,07;-0,20;0,27;0,30;98;  0,26;90;0,54;51;0,03;47;;3c
Hans-Jürgen Riedel - Tobias Pickhard;287;0,07;0,05;0,02;0,12;134;  -0,07;149;0,10;79;0,16;55;;3c
Peter Bode - Yasmin Basegmez;192;0,07;-0,17;0,24;0,43;110;  -0,00;81;0,13;49;0,66;61;;3a
Andreas Schaper - Dr. Lutz Wienert;287;0,05;0,25;-0,20;-0,28;135;  -0,14;152;-0,90;72;0,43;63;;3c
Rainer Handel - Christoph Kemmer;160;0,05;0,24;-0,19;-0,32;78;  -0,06;82;-0,52;39;-0,13;39;;1
Hans-Joachim Prieß - Raffael Braun;191;0,05;0,07;-0,02;0,23;100;  -0,29;91;0,25;47;0,21;53;;2
Laszló Honti - Reiner Marsal;223;0,05;-0,12;0,16;-0,27;112;  0,61;110;0,07;56;-0,62;56;;1
Michael Schröder - Stefan Vernon;176;0,05;0,18;-0,14;-0,22;89;  -0,05;83;-0,36;56;0,02;33;;2
Ralf-D, Zepelin - André Marx;240;0,04;0,16;-0,12;-0,06;123;  -0,20;116;0,16;58;-0,26;65;;3c
Josef Piekarek - Alexander Smirnov;96;0,04;0,16;-0,13;-0,60;47;  0,33;49;-0,40;31;-0,99;16;;1
Klaus Amann - Carina Tetal;192;0,03;0,01;0,03;0,24;90;  -0,17;99;0,96;43;-0,41;47;;3c
Josias Prinz zu Waldeck - Berthold Engel;111;0,03;0,28;-0,25;-0,37;50;  -0,15;58;-0,59;26;-0,13;24;;2
Marie Eggeling - Dietmar Korb;192;0,03;-0,13;0,16;-0,09;80;  0,35;110;0,15;39;-0,32;41;;2
Göran Mattsson - Robert Koch;238;0,02;-0,07;0,10;0,26;111;  -0,05;127;-0,17;54;0,66;57;;3a
Christian Schlicker - Dr. Claus Günther;192;0,02;0,00;0,01;0,13;86;  -0,08;104;-0,11;44;0,38;42;;1
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;192;0,00;-0,23;0,23;0,12;88;  0,33;103;-0,22;50;0,57;38;;3a
Matthias Voigt - Dr. Gerold Wieber;238;-0,02;0,01;-0,02;0,03;130;  -0,09;107;0,46;60;-0,33;70;;3c
Heinrich Nowak - Stefan Back;111;-0,03;-0,02;-0,01;0,04;51;  -0,05;60;0,20;22;-0,09;29;;2
Vitaliy Khanukov - Yevgeniya Khanukova;240;-0,03;-0,10;0,07;0,40;110;  -0,21;130;0,46;54;0,34;56;;3c
Nikolas Roemer - Oleg Galimov;192;-0,04;0,17;-0,20;0,04;89;  -0,44;98;0,02;46;0,07;43;;3a
Norbert Stübinger - Thomas Martin;208;-0,07;0,02;-0,09;0,00;115;  -0,21;91;0,33;72;-0,55;43;;2
Franz-Jürgen Röttger - Eckhard Renken;224;-0,07;0,02;-0,08;0,10;130;  -0,35;92;0,24;70;-0,07;60;;3a
Henning Bohnsack - Ralph Wickert;144;-0,08;-0,42;0,33;0,32;88;  0,36;56;-0,13;46;0,81;42;;3c
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;191;-0,09;0,02;-0,12;0,12;95;  -0,36;94;-0,26;48;0,51;47;;1
