                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FREY Nathalie - REESS Vanessa                          |  192   1.05 |  0.33   0.71 |  0.32 ( 96)   1.11 ( 96) |  0.55 ( 48)   0.08 ( 48) |  0.45 ( 46)   0.53 ( 50)   0.62 ( 96) |
SMITH Nicola - DHONDY Heather                          |  208   0.92 |  0.70   0.22 |  0.54 ( 94)  -0.04 (113) |  1.11 ( 48)  -0.06 ( 46) | -0.13 ( 59)   0.21 ( 54)  -0.08 (113) |
WILLARD Sylvie - CRONIER Benedicte                     |  240   0.92 |  0.51   0.41 |  0.47 (114)   0.37 (122) |  0.13 ( 62)   0.87 ( 52) |  0.22 ( 66)   0.08 ( 56)   0.22 (122) |
VRIEND Bep - ARNOLDS Carla                             |  240   0.82 |  0.52   0.30 |  0.20 (136)   0.42 (103) |  0.18 ( 37)   0.21 ( 99) |  0.01 ( 75)   0.32 ( 28)   0.33 (103) |
AUKEN Sabine - VON ARNIM Daniela                       |  320   0.77 |  0.31   0.47 |  0.65 (161)   0.29 (158) |  0.75 ( 84)   0.54 ( 77) |  0.04 ( 83)   0.35 ( 75)   0.10 (158) |
STANSBY JoAnna - ROSENBERG Debbie                      |  304   0.73 |  0.44   0.29 |  0.34 (161)   0.23 (143) |  0.57 ( 92)   0.03 ( 69) |  0.10 ( 80)  -0.04 ( 63)   0.19 (143) |
ZHANG Yalan - GU Ling                                  |  224   0.70 |  0.30   0.40 |  1.06 (102)  -0.15 (122) |  1.43 ( 65)   0.41 ( 37) |  0.07 ( 53)  -0.03 ( 69)  -0.16 (122) |
ALBERTI Anja - SCHRAVERUS-MEUER Mirja                  |  176   0.67 |  0.39   0.28 | -0.24 ( 89)   0.84 ( 85) | -0.09 ( 42)  -0.37 ( 47) |  0.50 ( 46)   0.25 ( 39)   0.45 ( 85) |
GAVIARD Daniele - SAUL Catherine                       |  240   0.64 |  0.23   0.41 |  0.52 (122)   0.29 (115) |  1.29 ( 29)   0.28 ( 93) |  0.16 ( 85)  -0.11 ( 30)   0.20 (115) |
SUN Ming - WANG Jian                                   |  224   0.58 |  0.30   0.28 |  0.05 (108)   0.49 (115) |  0.02 ( 41)   0.07 ( 67) |  0.46 ( 82)  -0.02 ( 33)   0.17 (115) |
SUTHERLIN Peggy - ALLISON Karen                        |  192   0.56 |  0.13   0.44 |  0.57 (100)   0.30 ( 91) |  0.08 ( 51)   1.07 ( 49) |  0.99 ( 32)  -0.27 ( 59)   0.12 ( 91) |
WANG Ping - LIU Yi Qian                                |  224   0.53 |  0.28   0.25 |  0.14 (115)   0.38 (106) |  0.54 ( 66)  -0.40 ( 49) |  0.19 ( 57)  -0.14 ( 49)   0.34 (106) |
WITTES Pam - MANCUSO Renee                             |  256   0.50 |  0.20   0.30 |  0.28 (118)   0.33 (135) |  0.83 ( 40)  -0.01 ( 78) | -0.15 ( 68)   0.10 ( 67)   0.36 (135) |
KHALIL Lily - KHOURI Maud                              |  208   0.45 |  0.58  -0.13 |  0.15 ( 98)  -0.40 (107) | -0.05 ( 50)   0.37 ( 48) | -0.14 ( 59)  -0.17 ( 48)  -0.25 (107) |
DE MELLO Sylvia Figueira - PAIN Leda                   |  192   0.28 |  0.37  -0.09 | -0.12 ( 98)  -0.05 ( 94) |  0.15 ( 43)  -0.33 ( 55) | -0.24 ( 51)  -0.15 ( 43)   0.15 ( 94) |
SPRUNG Jo Ann - SULGROVE Kathy                         |  224   0.28 |  0.24   0.04 | -0.13 (122)   0.25 (100) |  0.08 ( 54)  -0.30 ( 68) |  0.60 ( 45)  -0.34 ( 55)   0.16 (100) |
CIMON Francine - LEE Linda                             |  240   0.24 |  0.09   0.14 |  0.24 (114)   0.06 (124) |  0.88 ( 61)  -0.48 ( 53) |  0.11 ( 63)   0.30 ( 61)  -0.15 (124) |
YULE Kathryn - DON Rose                                |  256   0.23 |  0.30  -0.06 | -0.07 (127)  -0.05 (129) | -0.12 ( 67)  -0.02 ( 60) | -0.07 ( 75)  -0.03 ( 54)   0.00 (129) |
LEVITINA Irina - NARASIMHAN Hansa                      |  128   0.23 |  0.17   0.06 | -0.12 ( 66)   0.25 ( 62) |  0.10 ( 47)  -0.66 ( 19) | -0.50 ( 35)  -0.07 ( 27)   0.57 ( 62) |
STAWOWY Barbara - NEHMERT Pony Beate                   |  176   0.20 | -0.11   0.31 |  0.54 ( 81)   0.12 ( 95) |  1.81 ( 25)  -0.03 ( 56) |  0.44 ( 39)  -0.08 ( 56)  -0.02 ( 95) |
WOODS Meredith - BOURKE Margaret                       |  224   0.19 |  0.31  -0.13 | -0.38 (116)   0.15 (105) | -0.29 ( 58)  -0.47 ( 58) |  0.31 ( 54)   0.35 ( 51)  -0.18 (105) |
LEVIN Jill - PICUS Sue                                 |  240   0.13 |  0.23  -0.11 |  0.04 (137)  -0.31 (101) | -0.06 ( 64)   0.13 ( 73) | -0.07 ( 39)  -0.32 ( 62)  -0.09 (101) |
CHAI Greta - CHOO Jane                                 |  224   0.12 | -0.12   0.23 |  0.33 ( 97)   0.16 (125) |  0.57 ( 46)   0.11 ( 51) |  0.13 ( 58)  -0.24 ( 67)   0.23 (125) |
WEIGKRICHT Terry - GRUMM Iris                          |  272   0.10 |  0.14  -0.03 |  0.16 (130)  -0.21 (140) |  0.12 ( 61)   0.19 ( 69) | -0.03 ( 65)  -0.15 ( 75)  -0.12 (140) |
TERRANEO Sylvia - KRIFTNER Susanne                     |  256   0.07 |  0.27  -0.20 | -0.16 (131)  -0.24 (122) | -0.33 ( 62)  -0.01 ( 69) | -0.05 ( 68)  -0.13 ( 54)  -0.15 (122) |
BERTHEAU Kathrine - MIDSKOG Catarina                   |  256   0.07 |  0.01   0.07 |  0.30 (138)  -0.21 (118) | -0.21 ( 57)   0.66 ( 81) |  0.18 ( 55)   0.18 ( 63)  -0.39 (118) |
RYMAN Jenny - RYMAN Mari                               |  224   0.05 | -0.23   0.29 | -0.02 (115)   0.62 (107) | -0.20 ( 48)   0.11 ( 67) |  0.28 ( 51)   0.39 ( 56)   0.28 (107) |
SETOGUCHI Nobuko - OTA Hiroko                          |  224   0.04 |  0.05  -0.01 |  0.34 (110)  -0.35 (112) |  0.12 ( 54)   0.56 ( 56) |  0.22 ( 54)  -0.21 ( 58)  -0.35 (112) |
GORDON Dianna - KRAFT Beverly                          |  224   0.04 |  0.06  -0.02 |  0.11 (108)  -0.15 (113) |  0.26 ( 65)  -0.10 ( 43) |  0.42 ( 63)   0.10 ( 50)  -0.42 (113) |
BRUNNER Michelle - GOLDENFIELD Rhona                   |  224  -0.02 |  0.08  -0.10 | -0.16 ( 96)  -0.06 (126) | -0.42 ( 53)   0.16 ( 43) |  0.05 ( 66)  -0.12 ( 60)  -0.03 (126) |
SIMONS Anneke - PASMAN Jet                             |  224  -0.03 | -0.29   0.27 |  0.45 (110)   0.09 (113) | -0.34 ( 19)   0.62 ( 91) |  0.22 ( 77)   0.53 ( 36)  -0.23 (113) |
CUNHA Ines - FERREIRA Isabel                           |  224  -0.04 | -0.03  -0.01 | -0.07 (115)   0.06 (103) | -0.32 ( 49)   0.11 ( 66) | -0.28 ( 61)   0.06 ( 42)   0.20 (103) |
TELTSCHER Kitty - BROCK Sally                          |  240  -0.09 | -0.10   0.01 |  0.05 (136)  -0.05 (103) | -0.46 ( 75)   0.68 ( 61) |  0.10 ( 55)   0.15 ( 48)  -0.17 (103) |
