                                                       |             |              |           Play           |        Declaring         |                Defending              |
ABU GARBIEH May - AL BITAR Mais                        |  192  -0.19 | -0.12  -0.07 |  0.01 ( 88)  -0.14 (103) |  0.51 ( 50)  -0.64 ( 38) |  0.06 ( 44)   0.05 ( 59)  -0.20 (103) |
KENNY Renee - LIPSHITZ Charmaine                       |  144  -0.33 | -0.01  -0.32 | -0.35 ( 77)  -0.28 ( 67) | -0.21 ( 33)  -0.45 ( 44) |  0.10 ( 23)  -0.22 ( 44)  -0.17 ( 67) |
HAMAMSI Rokia - TEBER Samira                           |  144  -0.38 | -0.12  -0.26 | -0.19 ( 84)  -0.35 ( 59) | -0.11 ( 41)  -0.28 ( 43) | -0.17 ( 27)  -0.25 ( 32)  -0.14 ( 59) |
GUERRAOUI Farida - MARRAKCHI Khadija                   |  144  -0.46 | -0.35  -0.11 | -0.21 ( 74)  -0.00 ( 69) |  0.11 ( 31)  -0.44 ( 43) | -0.28 ( 26)   0.19 ( 43)  -0.01 ( 69) |
BENCHEMSI Fatiha - AYAD Saliva                         |  128  -0.56 | -0.46  -0.10 | -0.36 ( 56)   0.10 ( 72) | -0.07 ( 29)  -0.66 ( 27) | -0.07 ( 48)  -0.30 ( 24)   0.25 ( 72) |
FARHAT Faten - HAMDAN Nahla                            |  128  -0.56 | -0.35  -0.21 | -0.16 ( 61)  -0.26 ( 66) | -0.43 ( 36)   0.23 ( 25) | -0.56 ( 30)  -0.09 ( 36)   0.05 ( 66) |
BREYTENBACH Marina - FACTOR Roseline                   |  128  -0.61 | -0.49  -0.12 |  0.12 ( 71)  -0.42 ( 57) | -0.31 ( 40)   0.68 ( 31) |  0.12 ( 21)  -0.43 ( 36)  -0.19 ( 57) |
AHMED Farida - AKHTAR Shamim                           |  160  -0.85 | -0.35  -0.50 | -0.35 ( 75)  -0.63 ( 85) | -0.36 ( 30)  -0.34 ( 45) | -0.60 ( 40)  -0.05 ( 45)  -0.33 ( 85) |
DIEBOLD Zoraida - TAGLIAVIA Marisa                     |  144  -1.39 | -1.07  -0.32 | -0.29 ( 65)  -0.35 ( 78) | -0.42 ( 27)  -0.20 ( 38) | -0.12 ( 44)  -0.08 ( 34)  -0.25 ( 78) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ABU GARBIEH May - HASHEM Nawar                         |   16   0.78 |  0.74   0.04 |  0.40 (  9)  -0.42 (  7) |  0.40 (  9)      - (  0) |     - (  0)  -0.00 (  7)  -0.42 (  7) |
WANG Liping - WANG Wen Fei                             |   32   0.77 |  0.72   0.05 |  0.51 ( 14)  -0.31 ( 18) |  0.81 (  7)   0.22 (  7) | -0.38 ( 10)  -0.16 (  8)  -0.03 ( 18) |
FARHAT Faten - ANAWATI Claude                          |   16   0.67 |  1.26  -0.59 | -1.77 (  7)   0.32 (  9) | -1.77 (  7)      - (  0) |     - (  0)   0.02 (  9)   0.31 (  9) |
CHAMMAA Iman - KREIDIEH Hana                           |   16   0.53 | -0.35   0.88 |  1.15 ( 10)   0.43 (  6) | -0.34 (  2)   1.52 (  8) |  0.17 (  4)  -0.07 (  2)   0.34 (  6) |
HAMDAN Nahla - ANAWATI Claude                          |   48   0.38 | -0.04   0.42 |  0.66 ( 26)   0.14 ( 22) | -0.00 ( 14)   1.43 ( 12) | -0.40 ( 10)  -0.04 ( 12)   0.34 ( 22) |
ENCONTRO Mylene - TAN Gemma                            |   64   0.24 | -0.19   0.43 |  0.02 ( 32)   0.83 ( 32) |  0.12 ( 11)  -0.03 ( 21) |  0.27 ( 17)   0.31 ( 15)   0.54 ( 32) |
EGAN Victoria - VELHAGEN Consuelo                      |   16   0.20 |  0.53  -0.32 | -0.64 (  6)  -0.14 ( 10) |  0.43 (  4)  -2.78 (  2) |  0.03 (  5)   0.20 (  5)  -0.25 ( 10) |
KREIDIEH Hana - ANAWATI Claude                         |   95  -0.18 | -0.20   0.03 | -0.23 ( 47)   0.28 ( 48) |  0.11 ( 17)  -0.42 ( 30) | -0.04 ( 28)  -0.05 ( 20)   0.32 ( 48) |
ENCONTRO Mylene - QUIMSON Angeles                      |   48  -0.64 | -0.96   0.32 |  0.42 ( 20)   0.24 ( 28) |  0.93 ( 10)  -0.09 ( 10) |  0.13 ( 15)  -0.00 ( 13)   0.17 ( 28) |
EGAN Victoria - ENCONTRO Mylene                        |   16  -0.68 | -0.90   0.22 |  0.87 (  8)  -0.44 (  8) | -0.01 (  3)   1.40 (  5) | -0.46 (  4)   0.23 (  4)  -0.32 (  8) |
HASHEM Nawar - AL SALIM Lubna                          |   80  -0.71 | -0.29  -0.41 | -0.81 ( 39)  -0.04 ( 41) | -0.83 ( 22)  -0.78 ( 17) | -0.25 ( 24)  -0.02 ( 17)   0.12 ( 41) |
DE GUZMAN Mary Cristy Ann - ENCONTRO Mylene            |   64  -0.75 | -0.41  -0.34 | -0.70 ( 31)  -0.00 ( 33) | -0.29 ( 10)  -0.90 ( 21) |  0.16 ( 11)  -0.40 ( 22)   0.21 ( 33) |
KREIDIEH Hana - RAMADAN Youmna                         |   64  -0.91 | -0.70  -0.20 | -0.04 ( 34)  -0.38 ( 30) |  0.30 ( 11)  -0.20 ( 23) |  0.06 (  5)   0.00 ( 25)  -0.39 ( 30) |
DE GUZMAN Mary Cristy Ann - QUIMSON Angeles            |   96  -0.98 | -0.39  -0.59 | -0.32 ( 39)  -0.78 ( 57) | -0.24 ( 20)  -0.40 ( 19) | -0.46 ( 26)  -0.17 ( 31)  -0.48 ( 57) |
HADDADIN Laila - HASHEM Nawar                          |   80  -1.00 | -0.25  -0.75 | -0.44 ( 35)  -0.99 ( 45) |  0.04 ( 16)  -0.85 ( 19) | -0.50 ( 23)  -0.36 ( 22)  -0.56 ( 45) |
HADDADIN Laila - AL SALIM Lubna                        |   48  -1.08 | -0.83  -0.24 | -0.73 ( 22)   0.17 ( 26) | -0.29 ( 12)  -1.26 ( 10) |  0.30 ( 14)  -0.08 ( 12)   0.05 ( 26) |
DUBASH Dinaz - AZIZ Shehla                             |   80  -1.60 | -1.10  -0.49 |  0.40 ( 36)  -1.23 ( 44) |  0.59 ( 17)   0.23 ( 19) | -0.33 ( 20)  -0.69 ( 24)  -0.70 ( 44) |
CHAMMAA Iman - FARHAT Faten                            |   48  -1.89 | -1.03  -0.86 | -1.35 ( 24)  -0.37 ( 24) | -3.24 (  7)  -0.57 ( 17) | -0.34 ( 11)  -0.03 ( 13)  -0.20 ( 24) |

