                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
WANG Liping - ZHANG Yu                                 |  112   1.23 |  0.44   0.79 |  0.85 ( 68)   0.70 ( 44) |  1.14 ( 28)   0.65 ( 40) |  0.36 ( 24)   0.10 ( 20)   0.45 ( 44) |
PAIN Leda - VARGAS DE ANDRADE Isabella                 |  144   1.17 |  0.91   0.26 |  0.16 ( 79)   0.38 ( 64) |  0.14 ( 78)   2.00 (  1) |     - (  0)   0.14 ( 64)   0.24 ( 64) |
RIMSTEDT Sandra - SJOBERG Emma                         |  144   1.03 |  0.66   0.37 |  0.50 ( 67)   0.27 ( 77) |  0.85 ( 31)   0.19 ( 36) | -0.43 ( 35)   0.23 ( 42)   0.34 ( 77) |
FORSBERG Catharina - GRONKVIST Maria                   |  144   0.88 |  0.47   0.40 |  0.49 ( 67)   0.33 ( 76) |  0.76 ( 31)   0.26 ( 36) |  0.35 ( 34)   0.08 ( 42)   0.13 ( 76) |
GRONKVIST Ida - RIMSTEDT Cecilia                       |  127   0.81 |  0.38   0.43 |  0.32 ( 76)   0.59 ( 51) |  0.10 ( 43)   0.61 ( 33) | -0.05 ( 30)   0.19 ( 21)   0.54 ( 51) |
GU Ling - LU Yan                                       |  144   0.69 |  0.30   0.39 |  0.15 ( 73)   0.65 ( 70) | -0.15 ( 36)   0.43 ( 37) |  0.14 ( 37)   0.34 ( 33)   0.41 ( 70) |
BROGELAND Tonje Aasand - SVENDSEN Tone Torkelsen       |  128   0.63 |  0.39   0.24 |  0.25 ( 68)   0.23 ( 60) | -0.30 ( 40)   1.02 ( 28) | -0.08 ( 37)  -0.06 ( 23)   0.31 ( 60) |
DAUVERGNE Sophie - HUGON Elisabeth                     |  144   0.58 |  0.49   0.10 | -0.04 ( 69)   0.22 ( 74) | -0.15 ( 43)   0.16 ( 26) |  0.08 ( 40)   0.13 ( 34)   0.12 ( 74) |
ROSETTA Annalisa - VANUZZI Marilina                    |  128   0.55 |  0.11   0.44 | -0.04 ( 65)   0.97 ( 62) |  0.39 ( 43)  -0.90 ( 22) |  0.53 ( 29)   0.66 ( 33)   0.37 ( 62) |
CORREA Paula - DE MELLO Sylvia Figueira                |  144   0.51 |  0.03   0.49 |  0.74 ( 74)   0.22 ( 69) |  0.88 ( 47)   0.49 ( 27) | -0.02 ( 44)  -0.03 ( 25)   0.25 ( 69) |
