                                                       |             |              |           Play           |        Declaring         |                Defending              |
DHONDY Heather - SENIOR Nevena                         |  159  -0.29 | -0.16  -0.13 |  0.02 ( 83)  -0.30 ( 75) | -0.42 ( 34)   0.33 ( 49) |  0.36 ( 46)   0.24 ( 29)  -0.62 ( 75) |
BARNES Marta - MATUT Maria Luisa (Marisa)              |  128  -0.30 | -0.39   0.09 | -0.05 ( 67)   0.24 ( 60) | -0.65 ( 31)   0.45 ( 36) | -0.20 ( 34)   0.32 ( 26)   0.22 ( 60) |
SHAH Sumitra Rasiklal - SHAH Surekhakumari Kirankumar  |  144  -0.39 | -0.19  -0.21 | -0.27 ( 81)  -0.13 ( 62) | -0.62 ( 48)   0.24 ( 33) | -0.12 ( 38)  -0.09 ( 24)  -0.03 ( 62) |
MENG Gloria - TSAI Wen-Chuan                           |  111  -0.40 | -0.10  -0.30 | -0.13 ( 66)  -0.55 ( 45) |  0.36 ( 32)  -0.58 ( 34) |  0.50 ( 16)  -0.22 ( 29)  -0.58 ( 45) |
QASHU Azza - SAKET Randa                               |  160  -0.41 | -0.08  -0.33 |  0.05 ( 70)  -0.63 ( 90) | -0.28 ( 37)   0.43 ( 33) | -0.58 ( 42)  -0.17 ( 48)  -0.26 ( 90) |
HAMDY Nessrine - BADAWI Laila                          |  144  -0.41 | -0.25  -0.17 | -0.43 ( 68)   0.07 ( 75) |  0.10 ( 33)  -0.93 ( 35) | -0.30 ( 32)   0.08 ( 43)   0.15 ( 75) |
BORDALLO CORTINA Cristina - FRANCES Ana                |  143  -0.44 | -0.33  -0.11 | -0.68 ( 69)   0.43 ( 73) | -0.71 ( 34)  -0.65 ( 35) | -0.12 ( 38)   0.21 ( 35)   0.39 ( 73) |
HOMSY Marguerite - AUDICHE Christina                   |  112  -0.53 | -0.33  -0.21 | -0.23 ( 55)  -0.19 ( 56) |  0.21 ( 28)  -0.68 ( 27) | -0.06 ( 26)   0.16 ( 30)  -0.26 ( 56) |
BISTOQUET Chantal - TRACOL Anny                        |  144  -0.57 | -0.24  -0.33 | -0.04 ( 78)  -0.69 ( 65) |  0.13 ( 45)  -0.26 ( 33) | -0.19 ( 40)  -0.33 ( 25)  -0.45 ( 65) |
SHAH Parfula Suryakant - SHAH Vasanti Rashmikant       |  127  -0.77 | -0.18  -0.59 | -0.53 ( 66)  -0.66 ( 61) | -0.70 ( 40)  -0.26 ( 26) | -0.03 ( 31)  -0.38 ( 30)  -0.46 ( 61) |
ELKIN Irene - SMALINSKY Ana Lia                        |  112  -0.87 | -0.30  -0.57 | -0.43 ( 54)  -0.72 ( 56) | -0.33 ( 25)  -0.51 ( 29) | -0.01 ( 26)  -0.30 ( 30)  -0.56 ( 56) |
BRINGOLD Solange - CASSIN Jacqueline                   |  144  -1.02 | -0.62  -0.40 | -0.57 ( 66)  -0.27 ( 77) | -0.02 ( 36)  -1.24 ( 30) | -0.35 ( 41)  -0.14 ( 36)  -0.01 ( 77) |
SHAH Bhanumati Sobhag - SHAH Indira Shantilal          |  144  -1.15 | -0.77  -0.38 | -0.17 ( 63)  -0.54 ( 80) |  0.49 ( 31)  -0.82 ( 32) | -0.00 ( 41)  -0.01 ( 39)  -0.53 ( 80) |
BAERT Christine - DUVERNOY Roselyne                    |  128  -1.22 | -0.56  -0.66 | -1.28 ( 57)  -0.16 ( 71) | -1.33 ( 28)  -1.23 ( 29) | -0.57 ( 23)  -0.12 ( 48)   0.11 ( 71) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ABU JABER Aida - ABU JABER Yasmin                      |   80  -0.39 | -0.15  -0.24 | -0.38 ( 34)  -0.14 ( 44) | -1.38 ( 15)   0.42 ( 19) | -0.50 ( 19)   0.09 ( 25)   0.02 ( 44) |
HOMSY Marguerite - KHOURI Maud                         |   15  -0.51 | -0.48  -0.03 | -0.45 (  8)   0.44 (  7) | -0.17 (  3)  -0.61 (  5) | -0.40 (  3)  -0.44 (  4)   0.86 (  7) |
ABU JABER Yasmin - HAMADEH AWWAD Maha                  |   48  -0.84 | -0.57  -0.27 | -0.90 ( 27)   0.55 ( 21) | -2.18 ( 12)   0.12 ( 15) |  0.77 ( 12)   0.26 (  9)  -0.01 ( 21) |
ABU JABER Aida - HAMADEH AWWAD Maha                    |   80  -0.99 | -0.47  -0.53 | -0.56 ( 48)  -0.47 ( 32) | -0.60 ( 27)  -0.52 ( 21) |  0.29 ( 19)  -0.13 ( 13)  -0.59 ( 32) |
ABU JABER Aida - QASHU Azza                            |   32  -1.39 | -1.30  -0.09 | -0.43 ( 12)   0.12 ( 20) | -1.12 (  5)   0.06 (  7) | -0.28 ( 11)   0.02 (  9)   0.27 ( 20) |
ABU JABER Aida - SAKET Randa                           |   16  -1.51 | -0.11  -1.40 | -2.18 (  9)  -0.40 (  7) | -2.81 (  7)   0.01 (  2) | -0.03 (  3)  -0.20 (  4)  -0.27 (  7) |

