                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
STOCKDALE Susan - BROWN Fiona                          |  208   0.96 |  0.49   0.46 |  0.63 (100)   0.30 (108) |  0.53 ( 43)   0.71 ( 57) | -0.59 ( 42)   0.12 ( 66)   0.46 (108) |
SIMONS Anneke - PASMAN Jet                             |  223   0.86 |  0.46   0.40 |  0.20 (106)   0.58 (117) |  0.40 ( 41)   0.07 ( 65) |  0.10 ( 55)  -0.04 ( 62)   0.55 (117) |
BALDYSZ Cathy - SARNIAK Anna                           |  224   0.79 |  0.24   0.55 |  0.98 (124)   0.02 (100) |  0.19 ( 47)   1.47 ( 77) |  0.32 ( 56)  -0.08 ( 44)  -0.13 (100) |
YAN Ru - LIU Yan                                       |  256   0.78 |  0.36   0.42 |  0.41 (120)   0.43 (134) |  0.52 ( 64)   0.29 ( 56) |  0.24 ( 81)   0.14 ( 53)   0.23 (134) |
WORTEL Meike - MICHIELSEN Marion                       |  224   0.74 |  0.34   0.40 |  0.35 (117)   0.45 (107) |  0.47 ( 63)   0.21 ( 54) |  0.54 ( 48)   0.03 ( 59)   0.20 (107) |
YAVAS Dilek - OYMEN Ozlem                              |  224   0.63 |  0.44   0.19 |  0.21 (127)   0.15 ( 97) |  0.53 ( 68)  -0.15 ( 59) |  0.09 ( 52)   0.25 ( 45)  -0.01 ( 97) |
WANG Liping - WANG Wen Fei                             |  240   0.62 |  0.46   0.15 |  0.24 (123)   0.07 (117) |  0.30 ( 66)   0.16 ( 57) | -0.05 ( 51)  -0.16 ( 66)   0.18 (117) |
DEAS Lynn - PALMER Beth                                |  272   0.58 |  0.18   0.40 |  0.54 (144)   0.25 (128) |  0.74 ( 62)   0.39 ( 82) | -0.13 ( 60)   0.33 ( 68)   0.14 (128) |
LEVITINA Irina - SANBORN Kerri                         |  288   0.57 |  0.19   0.37 |  0.21 (146)   0.54 (142) | -0.08 ( 84)   0.61 ( 62) | -0.01 ( 78)   0.15 ( 64)   0.48 (142) |
TACZEWSKA Joanna - DUFRAT Katarzyna                    |  224   0.55 |  0.50   0.05 |  0.11 (113)  -0.01 (111) |  0.35 ( 63)  -0.19 ( 50) | -0.27 ( 64)  -0.04 ( 47)   0.16 (111) |
ADUT Vera - ATALAY Belis                               |  192   0.53 |  0.38   0.15 |  0.38 ( 97)  -0.08 ( 95) |  0.07 ( 37)   0.57 ( 60) | -0.10 ( 51)   0.39 ( 44)  -0.21 ( 95) |
ZUR-CAMPANILE Migry - MEYERS Jill                      |  240   0.50 | -0.03   0.52 |  0.44 (128)   0.62 (112) |  0.02 ( 70)   0.94 ( 58) |  0.08 ( 50)   0.15 ( 62)   0.50 (112) |
SONSINI Barbara - RADIN Judi                           |  112   0.48 |  0.21   0.26 |  0.28 ( 52)   0.25 ( 60) | -0.29 ( 21)   0.67 ( 31) |  0.14 ( 28)   0.26 ( 32)   0.04 ( 60) |
VAN ZWOL Wietske - ARNOLDS Carla                       |  223   0.47 |  0.34   0.13 |  0.15 (125)   0.09 ( 98) |  0.28 ( 51)   0.06 ( 74) |  0.16 ( 53)   0.04 ( 45)  -0.01 ( 98) |
GAVIARD Daniele - REESS Vanessa                        |  208   0.45 |  0.15   0.30 |  0.24 (110)   0.37 ( 98) |  0.16 ( 59)   0.34 ( 51) |  0.24 ( 45)   0.15 ( 53)   0.18 ( 98) |
WOLPERT Jenny - LEVIN Jill                             |  207   0.43 |  0.33   0.10 |  0.36 (102)  -0.14 (105) |  0.45 ( 46)   0.28 ( 56) | -0.09 ( 50)   0.38 ( 55)  -0.30 (105) |
SJOBERG Emma - RIMSTEDT Sandra                         |  223   0.40 |  0.49  -0.09 | -0.03 (123)  -0.18 (100) | -0.23 ( 57)   0.15 ( 66) |  0.19 ( 53)  -0.08 ( 47)  -0.24 (100) |
SHIMAMURA Kyoko - SATO Makiko                          |  224   0.39 |  0.43  -0.04 |  0.30 (108)  -0.35 (115) |  0.57 ( 68)  -0.18 ( 40) | -0.49 ( 55)  -0.26 ( 60)   0.03 (115) |
CUMPSTONE Karen - EATON Joan                           |  224   0.38 |  0.15   0.24 |  0.17 (111)   0.31 (112) |  0.31 ( 60)   0.01 ( 51) |  0.07 ( 53)   0.35 ( 59)   0.09 (112) |
ALEGRE Eleonora - HERRERA Florencia                    |  240   0.38 |  0.47  -0.09 | -0.02 (113)  -0.15 (127) | -0.33 ( 52)   0.25 ( 61) | -0.09 ( 65)   0.19 ( 62)  -0.20 (127) |
EYTHORSDOTTIR Hjordis - SEAMON-MOLSON Janice           |  224   0.35 |  0.30   0.05 |  0.23 (131)  -0.19 ( 93) |  0.28 ( 66)   0.17 ( 65) | -0.04 ( 44)  -0.27 ( 49)  -0.03 ( 93) |
D'OVIDIO Catherine - NEVE Joanna                       |  240   0.34 |  0.34   0.00 |  0.34 (121)  -0.33 (118) |  0.12 ( 73)   0.67 ( 48) | -0.25 ( 59)  -0.01 ( 59)  -0.20 (118) |
ZMUDA Justyna - KAZMUCHA Danuta                        |  224   0.32 | -0.09   0.41 | -0.05 (100)   0.78 (123) |  0.40 ( 42)  -0.38 ( 58) |  0.09 ( 65)   0.39 ( 58)   0.54 (123) |
AHLESVED Catharina - GRONKVIST Maria                   |  224   0.30 |  0.08   0.22 |  0.24 (111)   0.20 (113) | -0.20 ( 53)   0.64 ( 58) |  0.15 ( 56)   0.13 ( 57)   0.07 (113) |
WILLARD Sylvie - CRONIER Benedicte                     |  224   0.25 |  0.43  -0.17 | -0.17 (116)  -0.18 (108) |  0.08 ( 55)  -0.39 ( 61) |  0.28 ( 38)  -0.22 ( 70)  -0.14 (108) |
SMITH Nicola - BROCK Sally                             |  224   0.16 | -0.14   0.30 |  0.66 (105)  -0.01 (119) |  0.15 ( 51)   1.14 ( 54) | -0.08 ( 59)  -0.28 ( 60)   0.17 (119) |
DEWI Suci Amita - MURNIATI Kristina Wahyu              |  272   0.14 | -0.05   0.19 |  0.07 (131)   0.29 (141) | -0.08 ( 60)   0.21 ( 71) | -0.06 ( 65)   0.20 ( 76)   0.21 (141) |
YANAGISAWA Akiko - FUKUYOSHI Yuki                      |  208   0.14 |  0.10   0.03 |  0.19 (105)  -0.13 (102) |  0.18 ( 64)   0.22 ( 41) |  0.09 ( 64)   0.27 ( 38)  -0.29 (102) |
VARGAS DE ANDRADE Isabella - PAIN Leda                 |  256   0.10 | -0.16   0.26 |  0.66 (108)  -0.03 (148) |  0.82 ( 37)   0.57 ( 71) | -0.39 ( 80)   0.45 ( 68)  -0.02 (148) |
