                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
DEWI Suci Amita - MURNIATI Kristina Wahyu              |  272   0.16 | -0.03   0.19 |  0.04 (131)   0.32 (141) | -0.09 ( 60)   0.15 ( 71) | -0.05 ( 65)   0.23 ( 76)   0.22 (141) |
SMITH Nicola - BROCK Sally                             |  224   0.14 | -0.20   0.34 |  0.74 (105)  -0.01 (119) |  0.16 ( 51)   1.29 ( 54) | -0.10 ( 59)  -0.29 ( 60)   0.19 (119) |
ACAR Asli - KURANOGLU Serap                            |  256   0.14 |  0.38  -0.24 | -0.11 (119)  -0.35 (137) | -0.18 ( 68)  -0.03 ( 51) | -0.09 ( 55)  -0.19 ( 82)  -0.20 (137) |
BOURKE Margaret - LUSK Sue                             |  224   0.12 |  0.10   0.01 | -0.12 (121)   0.17 (103) |  0.15 ( 71)  -0.50 ( 50) | -0.08 ( 56)   0.27 ( 47)   0.09 (103) |
VARGAS DE ANDRADE Isabella - PAIN Leda                 |  256   0.05 | -0.26   0.32 |  0.73 (108)   0.01 (148) |  0.94 ( 37)   0.63 ( 71) | -0.42 ( 80)   0.52 ( 68)   0.00 (148) |
DHONDY Heather - SENIOR Nevena                         |  240   0.02 |  0.12  -0.10 |  0.07 (127)  -0.29 (112) |  0.16 ( 52)   0.01 ( 75) | -0.22 ( 58)  -0.24 ( 54)  -0.06 (112) |
DJUROVIC Nevena - HAVAS Elizabeth                      |  224   0.00 |  0.06  -0.06 |  0.10 (112)  -0.23 (112) |  0.51 ( 53)  -0.27 ( 59) | -0.41 ( 44)   0.08 ( 68)  -0.11 (112) |
TUEJE Julita Grace - BOJOH Lusje Olha                  |  255  -0.01 | -0.06   0.05 | -0.04 (131)   0.14 (124) | -0.03 ( 66)  -0.05 ( 65) | -0.21 ( 65)   0.08 ( 59)   0.22 (124) |
DE GUZMAN Mary Cristy Ann - ENCONTRO Mylene            |  224  -0.11 | -0.08  -0.02 | -0.05 (107)   0.00 (117) | -0.27 ( 55)   0.19 ( 52) |  0.06 ( 56)   0.11 ( 61)  -0.09 (117) |
SMALINSKY Ana Lia - ELKIN Irene                        |  208  -0.13 |  0.01  -0.14 |  0.02 ( 99)  -0.28 (108) | -0.14 ( 40)   0.13 ( 59) | -0.05 ( 50)  -0.41 ( 58)  -0.04 (108) |
NISHIDA Natsuko - OHNO Michiko                         |  240  -0.13 | -0.00  -0.12 | -0.57 (124)   0.35 (116) | -0.47 ( 66)  -0.67 ( 58) | -0.01 ( 58)   0.12 ( 58)   0.29 (116) |
MANDELOT Agota - NOGUEIRA Heloisa                      |  176  -0.16 | -0.17   0.00 |  0.23 ( 84)  -0.21 ( 92) |  0.35 ( 44)   0.09 ( 40) |  0.13 ( 42)   0.23 ( 50)  -0.39 ( 92) |
WILKINSON Jenny - NEWTON Shirley                       |  239  -0.17 | -0.20   0.04 |  0.04 (109)   0.03 (130) |  0.16 ( 60)  -0.11 ( 49) |  0.07 ( 64)   0.20 ( 66)  -0.10 (130) |
BERTHEAU Kathrine - LARSSON Jessica                    |  223  -0.19 | -0.31   0.12 |  0.20 (115)   0.04 (108) |  0.33 ( 66)   0.03 ( 49) |  0.11 ( 58)  -0.29 ( 50)   0.11 (108) |
TAN Gemma - GALLEGO Tina J. Del                        |  224  -0.23 | -0.23   0.00 | -0.30 (102)   0.26 (122) | -0.53 ( 54)  -0.05 ( 48) |  0.27 ( 65)   0.00 ( 57)   0.11 (122) |
CARTNER Linda - PALMER Glenis                          |  192  -0.23 |  0.16  -0.40 |  0.01 ( 91)  -0.76 (101) | -0.35 ( 48)   0.41 ( 43) | -0.23 ( 58)  -0.61 ( 43)  -0.37 (101) |
ESPINOSA-PAZ Maria Jose - PREVIDE Maria Cecilia        |  223  -0.24 | -0.30   0.06 |  0.25 (116)  -0.15 (106) |  0.57 ( 65)  -0.16 ( 51) | -0.14 ( 43)   0.02 ( 63)  -0.10 (106) |
AZWER Zeenat - AGHA Rubina                             |  256  -0.24 | -0.25   0.01 | -0.03 (134)   0.05 (121) |  0.24 ( 77)  -0.40 ( 57) |  0.05 ( 73)  -0.15 ( 48)   0.09 (121) |
SUMAMPOUW Conny - ANDHANI Rury                         |  143  -0.24 | -0.48   0.24 |  0.07 ( 71)   0.40 ( 72) | -0.07 ( 30)   0.17 ( 41) | -0.06 ( 35)  -0.06 ( 37)   0.46 ( 72) |
DAVID Paula - DE MELLO Sylvia Figueira                 |  240  -0.25 | -0.05  -0.20 | -0.36 (133)   0.01 (107) | -0.35 ( 83)  -0.37 ( 50) |  0.10 ( 50)  -0.07 ( 57)  -0.00 (107) |
WATTAR Nada - KHOURI Maud                              |  256  -0.27 | -0.18  -0.09 |  0.07 (133)  -0.25 (123) |  0.29 ( 73)  -0.21 ( 60) | -0.14 ( 69)   0.02 ( 54)  -0.18 (123) |
THORPE Catherine (Katie) - DEMME Ina                   |  224  -0.27 | -0.27   0.01 |  0.27 (100)  -0.21 (124) |  0.21 ( 49)   0.33 ( 51) |  0.06 ( 69)   0.44 ( 55)  -0.44 (124) |
GOLAN Erica - MODLIN Merle                             |  223  -0.38 | -0.12  -0.26 | -0.32 (110)  -0.20 (112) | -0.27 ( 52)  -0.37 ( 58) |  0.16 ( 70)  -0.04 ( 42)  -0.29 (112) |
CORMACK Jan - ALABASTER Jan                            |  239  -0.41 | -0.23  -0.18 | -0.30 (124)  -0.05 (114) | -1.07 ( 58)   0.38 ( 66) | -0.54 ( 51)   0.11 ( 63)   0.13 (114) |
BOKHARI Roshan Ara - DOSSA Qudsia                      |  208  -0.46 | -0.51   0.05 |  0.46 (107)  -0.39 (100) |  0.22 ( 53)   0.69 ( 54) | -0.10 ( 55)  -0.77 ( 45)   0.02 (100) |
FABBRICATORE Sophie - GARCIA Anne                      |  224  -0.54 | -0.20  -0.34 | -0.29 (117)  -0.40 (106) |  0.05 ( 60)  -0.65 ( 57) |  0.27 ( 64)   0.11 ( 42)  -0.61 (106) |
THIRION Christiane - BISTOQUET Chantal                 |  224  -0.57 | -0.02  -0.55 | -0.64 (119)  -0.45 (105) | -0.90 ( 59)  -0.39 ( 60) | -0.20 ( 40)   0.27 ( 65)  -0.54 (105) |
CHILD Christine - ROSSLEE Diana                        |  224  -0.65 | -0.38  -0.27 | -0.04 ( 84)  -0.40 (140) |  0.12 ( 49)  -0.27 ( 35) | -0.48 ( 74)  -0.45 ( 66)   0.06 (140) |
ZHANG Yu - FENG Xuefeng                                |  176  -0.66 | -0.68   0.02 |  0.38 ( 94)  -0.40 ( 81) |  0.28 ( 51)   0.50 ( 43) | -0.19 ( 39)  -0.13 ( 42)  -0.24 ( 81) |
TRAVIS Barbara - GINSBERG Candice                      |  224  -0.68 | -0.59  -0.09 |  0.00 ( 96)  -0.16 (128) |  0.07 ( 57)  -0.09 ( 39) | -0.21 ( 70)  -0.40 ( 58)   0.13 (128) |
BERNSTEIN Roz - SANDLER Ghita                          |  224  -0.69 | -0.26  -0.43 | -0.44 (120)  -0.40 (104) | -0.17 ( 65)  -0.77 ( 55) |  0.02 ( 49)  -0.29 ( 55)  -0.26 (104) |
SURANA Asha - BHATNAGAR DEVI MUTHU                     |  128  -0.71 | -0.51  -0.20 | -0.26 ( 56)  -0.15 ( 72) | -1.03 ( 30)   0.63 ( 26) | -0.63 ( 23)   0.09 ( 49)  -0.01 ( 72) |
