Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
DAMAYANTI Fera - RIANTINI -;208;-0,07;-0,27;0,20;0,23;105;  0,18;102;0,51;50;-0,03;55;0,30;46;-0,09;56;0,09;102;
TAN Gemma - GALLEGO Tina J, Del;160;-0,07;-0,12;0,05;-0,01;73;  0,09;84;-0,69;37;0,69;36;-0,15;45;0,07;39;0,14;84;
TAN Gemma - EGAN Victoria;128;-0,12;-0,26;0,15;-0,01;67;  0,32;61;0,31;37;-0,41;30;0,22;26;0,30;35;0,06;61;
DEORA Hema - KARMARKAR Marianne;224;-0,14;0,19;-0,33;-0,23;107;  -0,43;115;-0,12;54;-0,34;53;0,06;60;-0,16;55;-0,38;115;
SVER Nikica - PILIPOVIC Marina;304;-0,15;-0,23;0,08;0,12;159;  0,05;145;0,37;78;-0,12;81;0,29;69;0,25;76;-0,22;145;
WORTEL Meike - MICHIELSEN Marion;208;-0,18;-0,27;0,09;0,55;101;  -0,34;107;0,39;53;0,73;48;0,01;55;-0,16;52;-0,26;107;
TRAVIS Barbara - HAVAS Elizabeth;256;-0,25;-0,19;-0,07;-0,24;129;  0,11;126;-0,50;62;0,00;67;0,11;63;-0,22;63;0,17;126;
SUMAMPOUW Conny - KORENGKENG Irne;224;-0,25;-0,09;-0,16;-0,12;101;  -0,20;122;-0,49;50;0,24;51;0,10;58;0,02;64;-0,25;122;
ZABANEH Hala - QASHU Azza;224;-0,27;-0,52;0,25;0,09;104;  0,40;118;0,48;53;-0,32;51;0,10;64;0,38;54;0,17;118;
CORMACK Jan - ALABASTER Jan;256;-0,28;-0,15;-0,13;-0,23;123;  -0,04;132;-0,54;59;0,05;64;-0,03;69;-0,04;63;-0,00;132;
RUSO Sandra - PECINA Planinka (Nina);176;-0,28;0,02;-0,30;-0,13;91;  -0,49;83;-0,48;45;0,21;46;0,12;41;-0,15;42;-0,47;83;
SARWAT Safeya (Sophie) - HAMDY Nessrine;208;-0,29;0,04;-0,33;-0,46;92;  -0,22;116;-0,37;47;-0,55;45;0,40;60;-0,01;56;-0,43;116;
SCHROOR Paula - KAPLAN Rena;240;-0,31;0,02;-0,33;-0,58;115;  -0,10;122;-1,03;53;-0,20;62;-0,09;63;0,10;59;-0,10;122;
MULLER Renata - PETROVIC Izvorka;192;-0,31;0,08;-0,39;-0,16;103;  -0,66;89;-0,40;56;0,13;47;0,10;45;0,00;44;-0,71;89;
THADANI Sheelu - KABRA Usha;224;-0,33;-0,12;-0,20;-0,16;116;  -0,24;107;-0,06;52;-0,25;64;0,04;57;-0,14;50;-0,20;107;
CORREA Paula - DORIA Lucia;192;-0,35;-0,05;-0,30;-0,28;102;  -0,34;89;-0,88;52;0,35;50;0,08;45;0,27;44;-0,51;89;
BOLDT Silvia Elena - IRIBARREN Gloria;240;-0,36;-0,17;-0,19;0,01;112;  -0,38;125;-0,11;52;0,11;60;-0,30;72;-0,08;53;-0,17;125;
SANDLER Ghita - BERNSTEIN Roz;224;-0,36;-0,10;-0,26;-0,35;109;  -0,18;115;-0,05;56;-0,66;53;-0,08;59;-0,07;56;-0,11;115;
