                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FANTONI Fulvio - NUNES Claudio                         |  260   1.37 |  0.50   0.87 |  0.55 (135)   1.22 (125) |  1.06 ( 70)  -0.00 ( 65) |  0.62 ( 65)   0.41 ( 60)   0.70 (125) |
HELGEMO Geir - HELNESS Tor                             |  220   1.06 |  0.35   0.71 |  0.79 (111)   0.63 (109) |  1.22 ( 50)   0.44 ( 61) | -0.08 ( 43)   0.16 ( 66)   0.56 (109) |
FORRESTER Tony - GOLD David                            |  220   0.73 |  0.43   0.30 |  0.37 (115)   0.21 (104) |  0.41 ( 63)   0.33 ( 52) |  0.13 ( 50)   0.14 ( 54)   0.08 (104) |
BAKHSHI David - TOWNSEND Tom                           |  200   0.69 |  0.31   0.37 |  0.51 (108)   0.21 ( 92) |  0.37 ( 60)   0.69 ( 48) |  0.03 ( 46)   0.37 ( 46)   0.01 ( 92) |
DUBININ Alexander - GROMOV Andrey                      |  200   0.56 |  0.29   0.27 |  0.06 (102)   0.49 ( 98) | -0.01 ( 44)   0.11 ( 58) | -0.20 ( 39)   0.02 ( 59)   0.56 ( 98) |
BRINK Sjoert - DRIJVER Bas                             |  260   0.49 |  0.47   0.01 | -0.01 (142)   0.04 (118) | -0.25 ( 67)   0.21 ( 75) |  0.55 ( 57)  -0.05 ( 61)  -0.19 (118) |
BURAS Krzysztof - NARKIEWICZ Grzegorz                  |  280   0.41 |  0.32   0.09 |  0.16 (144)   0.02 (136) |  0.36 ( 66)  -0.02 ( 78) |  0.34 ( 75)   0.03 ( 61)  -0.18 (136) |
JOKISCH Peter - KASIMIR Udo                            |  260   0.41 |  0.52  -0.12 | -0.31 (142)   0.11 (118) | -0.55 ( 59)  -0.14 ( 83) | -0.28 ( 55)   0.39 ( 63)   0.04 (118) |
PIEDRA Fernando - WILDAVSKY Adam                       |  240   0.38 |  0.23   0.14 | -0.15 (107)   0.38 (133) |  0.01 ( 52)  -0.29 ( 55) |  0.02 ( 63)   0.08 ( 70)   0.32 (133) |
COLDEA Ionut - MARINA Bogdan                           |  180   0.37 |  0.30   0.08 |  0.03 ( 95)   0.13 ( 85) | -0.23 ( 52)   0.35 ( 43) |  0.64 ( 40)  -0.28 ( 45)  -0.03 ( 85) |
KHOKHLOV Jouri - RUDAKOV Evgeni                        |  200   0.37 |  0.14   0.23 |  0.41 ( 98)   0.05 (102) |  0.06 ( 47)   0.74 ( 51) | -0.04 ( 49)   0.01 ( 53)   0.06 (102) |
DE MENDEZ Thierry - ZIVKOVIC Gojko                     |  160   0.34 | -0.07   0.41 |  0.35 ( 74)   0.46 ( 85) |  0.49 ( 40)   0.18 ( 34) |  0.42 ( 41)   0.16 ( 44)   0.18 ( 85) |
LORENZINI Cedric - ROMBAUT Jerome                      |  220   0.32 |  0.12   0.19 |  0.40 (114)  -0.03 (106) |  0.56 ( 56)   0.25 ( 58) |  0.18 ( 44)   0.33 ( 62)  -0.30 (106) |
INGIMARSSON Throstur - MAGNUSSON Magnus Eidur          |  220   0.30 |  0.19   0.12 |  0.25 (108)  -0.01 (112) | -0.16 ( 57)   0.72 ( 51) | -0.35 ( 64)  -0.06 ( 48)   0.22 (112) |
KARPOV Maksim - LAANEMAE Tiit                          |  240   0.28 |  0.10   0.19 |  0.22 (114)   0.16 (126) |  0.07 ( 51)   0.34 ( 63) |  0.17 ( 68)  -0.06 ( 58)   0.10 (126) |
GLOYER Andreas - KRIFTNER Georg                        |  240   0.25 |  0.46  -0.21 |  0.04 (137)  -0.54 (103) | -0.47 ( 72)   0.60 ( 65) |  0.13 ( 54)  -0.31 ( 49)  -0.46 (103) |
BOMPIS Marc - QUANTIN Jean-Christophe                  |  220   0.24 | -0.24   0.48 |  0.23 (102)   0.69 (117) | -0.14 ( 48)   0.56 ( 54) |  0.45 ( 60)   0.55 ( 57)   0.19 (117) |
ZMUDZINSKI Adam - BALICKI Cezary                       |  260   0.18 |  0.05   0.13 | -0.37 (127)   0.61 (133) | -0.61 ( 60)  -0.15 ( 67) |  0.19 ( 50)   0.24 ( 83)   0.39 (133) |
KHIUPPENEN Yury - KHOLOMEEV Vadim                      |  240   0.18 |  0.11   0.07 |  0.44 (109)  -0.24 (131) |  0.60 ( 57)   0.26 ( 52) | -0.38 ( 64)   0.22 ( 67)  -0.16 (131) |
GHIGHECI Ovidiu - ROTARU Iulian                        |  260   0.17 | -0.01   0.18 |  0.57 (128)  -0.21 (132) |  0.54 ( 53)   0.60 ( 75) |  0.18 ( 63)  -0.07 ( 69)  -0.26 (132) |
MAGNUSSON Stephan - NIKOLENKOV Dmitrij                 |  240   0.17 |  0.12   0.04 | -0.12 (122)   0.21 (118) | -0.38 ( 60)   0.13 ( 62) |  0.38 ( 63)   0.07 ( 55)  -0.02 (118) |
JONES Dafydd - JONES Gary                              |  200   0.16 | -0.01   0.16 |  0.16 ( 89)   0.17 (111) |  0.34 ( 41)  -0.00 ( 48) |  0.28 ( 50)   0.33 ( 61)  -0.14 (111) |
BLAKSET Lars - SCHALTZ Martin                          |  240   0.10 | -0.10   0.20 |  0.27 (122)   0.13 (118) |  1.03 ( 52)  -0.28 ( 70) | -0.13 ( 68)  -0.24 ( 50)   0.31 (118) |
BALDURSSON Jon - JONSSON Thorlakur                     |  160   0.08 | -0.05   0.13 |  0.65 ( 78)  -0.37 ( 82) |  0.41 ( 45)   0.97 ( 33) | -0.13 ( 40)  -0.40 ( 42)  -0.10 ( 82) |
VAN PROOIJEN Ricco - VERHEES Jr Louk                   |  180   0.06 |  0.32  -0.26 | -0.03 ( 93)  -0.50 ( 87) | -0.08 ( 52)   0.03 ( 41) | -0.13 ( 44)  -0.13 ( 43)  -0.37 ( 87) |
ZAK Piotr - ZAREMBA Jerzy                              |  100   0.06 | -0.26   0.32 |  0.63 ( 51)  -0.00 ( 49) |  1.01 ( 28)   0.15 ( 23) | -0.27 ( 27)  -0.13 ( 22)   0.21 ( 49) |
DE WIJS Simon - MULLER Bauke                           |  200   0.01 | -0.21   0.22 |  0.47 ( 95)  -0.00 (105) |  0.17 ( 48)   0.79 ( 47) |  0.27 ( 42)  -0.29 ( 63)   0.06 (105) |
LEVENKO Vassili - SESTER Sven                          |  200  -0.07 | -0.19   0.12 | -0.04 ( 94)   0.26 (105) |  0.14 ( 46)  -0.20 ( 48) | -0.17 ( 53)  -0.33 ( 52)   0.51 (105) |
BRGULJAN Karlo - SASEK Tomislav                        |  240  -0.09 |  0.11  -0.20 |  0.09 (127)  -0.52 (113) |  0.56 ( 75)  -0.59 ( 52) | -0.34 ( 52)   0.07 ( 61)  -0.40 (113) |
CROUCH Peter - PATTERSON Derek                         |  220  -0.10 | -0.04  -0.05 |  0.07 (107)  -0.17 (113) |  0.20 ( 57)  -0.07 ( 50) |  0.11 ( 46)  -0.19 ( 67)  -0.11 (113) |
POSTIC Ivan - RUSO Lara                                |  180  -0.11 | -0.16   0.05 | -0.13 ( 93)   0.23 ( 87) | -0.13 ( 52)  -0.13 ( 41) |  0.05 ( 50)   0.06 ( 37)   0.18 ( 87) |
BESSIS Michel - BESSIS Thomas                          |  200  -0.12 |  0.23  -0.34 | -0.80 ( 98)   0.10 (102) | -0.66 ( 49)  -0.94 ( 49) |  0.11 ( 48)   0.10 ( 54)  -0.01 (102) |
KOISTINEN Kauko - NYBERG Clas                          |  320  -0.12 |  0.32  -0.44 |  0.05 (167)  -0.97 (153) | -0.09 ( 90)   0.21 ( 77) | -0.20 ( 85)  -0.40 ( 68)  -0.68 (153) |
MULTON Franck - ZIMMERMANN Pierre                      |  160  -0.14 | -0.25   0.11 |  0.36 ( 78)  -0.13 ( 82) |  0.37 ( 32)   0.36 ( 46) |  0.41 ( 32)   0.59 ( 50)  -0.65 ( 82) |
BILDE Dennis - GRAVERSEN Hans Christian                |  199  -0.17 | -0.23   0.05 | -0.32 (102)   0.44 ( 97) | -0.46 ( 52)  -0.17 ( 50) |  0.18 ( 51)   0.22 ( 46)   0.25 ( 97) |
DENNING Paul - SHIELDS Patrick                         |  220  -0.20 | -0.27   0.07 |  0.21 (107)  -0.06 (112) |  0.16 ( 60)   0.27 ( 47) |  0.00 ( 58)  -0.19 ( 54)   0.03 (112) |
HAGEN Anders - KONOW Kasper                            |  200  -0.31 | -0.26  -0.05 | -0.05 ( 91)  -0.06 (109) |  0.00 ( 34)  -0.07 ( 57) |  0.05 ( 51)   0.09 ( 58)  -0.14 (109) |
GOODMAN Peter - POWNALL Mike                           |  220  -0.33 | -0.07  -0.26 | -0.42 (102)  -0.12 (116) | -0.05 ( 53)  -0.83 ( 49) |  0.09 ( 54)  -0.07 ( 62)  -0.13 (116) |
BRICIU Marius - NEGOESCU Anton                         |  200  -0.33 | -0.44   0.11 |  0.31 (100)  -0.08 ( 99) |  0.11 ( 58)   0.58 ( 42) | -0.16 ( 39)  -0.19 ( 60)   0.10 ( 99) |
EINARSSON Bjarni Holmar - JORGENSEN Adalsteinn         |  260  -0.34 | -0.31  -0.03 | -0.06 (142)   0.00 (118) |  0.09 ( 79)  -0.25 ( 63) |  0.37 ( 53)   0.13 ( 65)  -0.24 (118) |
BAUSBACK Nikolas - LOEFGREN Martin                     |  180  -0.37 | -0.26  -0.11 | -0.19 ( 78)  -0.05 (101) | -0.21 ( 34)  -0.17 ( 44) |  0.14 ( 39)  -0.14 ( 62)  -0.02 (101) |
BANCHEREAU Philippe - PALAZO Denis                     |  199  -0.41 | -0.00  -0.41 | -0.59 (110)  -0.18 ( 89) | -0.87 ( 62)  -0.24 ( 48) | -0.17 ( 59)   0.24 ( 30)  -0.15 ( 89) |
FUCIK Jan - PURKARTHOFER Gunther                       |  200  -0.50 | -0.33  -0.17 |  0.27 ( 88)  -0.52 (112) |  0.37 ( 38)   0.20 ( 50) |  0.05 ( 59)  -0.71 ( 53)  -0.22 (112) |
LUKS Leo - NABER Lauri                                 |  200  -0.55 |  0.07  -0.62 | -0.64 ( 95)  -0.60 (105) | -1.18 ( 43)  -0.19 ( 52) | -0.04 ( 51)  -0.56 ( 54)  -0.29 (105) |
BABSCH Andreas - BIEDER Wolfgang                       |  200  -0.61 | -0.42  -0.19 | -0.44 (102)   0.06 ( 98) | -0.83 ( 47)  -0.10 ( 55) |  0.19 ( 47)  -0.18 ( 51)   0.07 ( 98) |
GRANSTROM Juho - PATANA Kari                           |  320  -0.63 | -0.37  -0.25 | -0.07 (157)  -0.44 (162) | -0.49 ( 74)   0.31 ( 83) | -0.28 ( 82)   0.14 ( 80)  -0.37 (162) |
FRANGOS Philippos - TILLYRI Frosso                     |  220  -0.92 | -0.46  -0.46 | -0.81 (107)  -0.13 (113) | -1.13 ( 55)  -0.47 ( 52) | -0.05 ( 57)  -0.13 ( 56)  -0.04 (113) |
HANDLEY-PRITCHARD Ben - IVANCIC Matej                  |  220  -1.12 | -0.50  -0.62 | -0.46 (100)  -0.76 (120) | -0.40 ( 52)  -0.52 ( 48) | -0.56 ( 56)  -0.40 ( 64)  -0.29 (120) |
KOLETTIS George - POLITIS Takis                        |  220  -1.25 | -0.44  -0.82 | -0.78 (125)  -0.87 ( 95) | -0.78 ( 60)  -0.78 ( 65) |  0.04 ( 45)  -0.52 ( 50)  -0.61 ( 95) |
GEORGIADES George - IOANNOU Terpsi                     |  200  -1.38 | -0.91  -0.47 | -0.23 (102)  -0.72 ( 98) | -0.07 ( 52)  -0.40 ( 50) | -0.04 ( 53)  -0.28 ( 45)  -0.58 ( 98) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ZAK Piotr - ZAREMBA Jerzy                              |  100   0.06 | -0.26   0.32 |  0.63 ( 51)  -0.00 ( 49) |  1.01 ( 28)   0.15 ( 23) | -0.27 ( 27)  -0.13 ( 22)   0.21 ( 49) |

