                                                       |             |              |           Play           |        Declaring         |                Defending              |
HERBST Ilan - HERBST Ophir                             |  220  -0.07 | -0.27   0.20 |  0.07 (119)   0.35 (100) | -0.00 ( 65)   0.16 ( 54) | -0.00 ( 47)  -0.29 ( 53)   0.51 (100) |
MICHAILOVAS Andrius - SAULIS Alvydas                   |  200  -0.10 | -0.35   0.25 |  0.26 (103)   0.24 ( 97) | -0.28 ( 55)   0.87 ( 48) |  0.48 ( 49)   0.30 ( 48)  -0.15 ( 97) |
NIKOLAYENKO Dmytro - RYBNIKOV Gennadii                 |  240  -0.12 | -0.26   0.14 | -0.01 (110)   0.27 (129) |  0.24 ( 62)  -0.35 ( 48) | -0.16 ( 85)   0.41 ( 44)   0.24 (129) |
GERMANIS Aigars - RUBENIS Ivars                        |  220  -0.12 | -0.20   0.07 |  0.18 (115)  -0.05 (105) |  0.04 ( 47)   0.29 ( 68) | -0.13 ( 51)   0.25 ( 54)  -0.11 (105) |
JANSONS Ugis - SMILGAJS Andris                         |  200  -0.14 |  0.14  -0.28 | -0.44 (105)  -0.09 ( 95) | -0.55 ( 50)  -0.34 ( 55) | -0.21 ( 46)   0.03 ( 49)  -0.01 ( 95) |
FITZGIBBON Nicholas - MESBUR Adam                      |  220  -0.15 | -0.06  -0.09 |  0.06 (101)  -0.22 (119) |  0.36 ( 52)  -0.26 ( 49) |  0.19 ( 65)  -0.19 ( 54)  -0.24 (119) |
ZORLU Nafiz - TOKAY Mustafa Cem                        |  220  -0.18 | -0.10  -0.08 | -0.16 (115)   0.02 (104) | -0.77 ( 57)   0.43 ( 58) |  0.19 ( 39)  -0.23 ( 65)   0.09 (104) |
HEGEDUS Gal - SZEGEDI Balazs                           |  200  -0.21 | -0.08  -0.13 | -0.17 (100)  -0.09 (100) | -0.74 ( 55)   0.52 ( 45) |  0.26 ( 55)   0.20 ( 45)  -0.32 (100) |
CHARLSEN Thomas - HOFTANISKA Thor Erik                 |  200  -0.26 | -0.23  -0.04 |  0.49 ( 98)  -0.55 (102) |  0.80 ( 36)   0.31 ( 62) | -0.54 ( 46)  -0.32 ( 56)  -0.13 (102) |
BALASOVS Jurijs - BETHERS Uldis                        |  219  -0.29 | -0.20  -0.09 |  0.11 (102)  -0.27 (117) |  0.14 ( 53)   0.09 ( 49) | -0.02 ( 65)  -0.00 ( 52)  -0.26 (117) |
ARLOVICH Andrei - VAINIKONIS Erikas                    |  200  -0.31 | -0.19  -0.12 |  0.17 ( 99)  -0.40 (101) |  0.27 ( 52)   0.06 ( 47) | -0.21 ( 44)  -0.06 ( 57)  -0.28 (101) |
DE ROOS Daniel - VERMEIREN Raf                         |  240  -0.36 |  0.02  -0.37 | -0.03 (118)  -0.71 (122) | -0.16 ( 55)   0.08 ( 63) | -0.35 ( 60)  -0.38 ( 62)  -0.34 (122) |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  180  -0.44 | -0.27  -0.17 |  0.09 ( 86)  -0.40 ( 94) |  0.13 ( 45)   0.06 ( 41) |  0.07 ( 41)   0.10 ( 53)  -0.49 ( 94) |
GOMEZ HIERRO Ramon - GONCALVES Pedro                   |  200  -0.46 | -0.16  -0.30 | -0.14 ( 97)  -0.44 (103) | -0.42 ( 47)   0.13 ( 50) | -0.33 ( 54)  -0.33 ( 49)  -0.11 (103) |
DEBUS Eric - VAN MECHELEN Rutger                       |  200  -0.47 | -0.08  -0.39 | -0.71 ( 94)  -0.11 (106) | -1.19 ( 43)  -0.31 ( 51) |  0.37 ( 32)  -0.05 ( 74)  -0.19 (106) |
