Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Bernd Engelhardt - Dr. Laurence Kane;191;0,54;0,28;0,26;-0,07;88;  0,54;102;-0,54;38;0,29;50;
Prof, Ulrich Spengler - Werner Schneider;223;0,52;0,21;0,31;0,00;122;  0,69;100;0,04;70;-0,04;52;
Stefan Behn - Dirk Nedler;112;0,51;0,33;0,18;0,22;55;  0,13;57;0,38;27;0,07;28;
Marian Powalla - Adam Griger;144;0,34;0,22;0,12;0,13;75;  0,11;69;0,22;40;0,01;35;
Andreas Visetti - Pawel Serwatowski;190;0,31;0,17;0,13;0,41;86;  -0,10;104;0,51;40;0,33;46;
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,23;0,15;0,08;0,16;135;  -0,00;153;0,09;69;0,24;66;
Bernd Donner - Dr. Daniela Westermann;142;0,15;0,13;0,03;0,21;78;  -0,20;64;0,08;35;0,32;43;
Ingeborg Metzler - Bernd Metzler;192;0,15;0,19;-0,03;-0,22;89;  0,13;103;-0,57;40;0,07;49;
Alexander Rapoport - Alexei Vinogradov;192;0,14;0,11;0,02;-0,02;105;  0,08;87;0,01;49;-0,05;56;
Achim Greune - Diana Farken;288;0,12;-0,22;0,34;0,52;133;  0,18;155;0,07;63;0,93;70;
Andreas Schaper - Dr. Lutz Wienert;286;0,10;0,15;-0,05;-0,45;134;  0,31;151;-0,42;70;-0,49;64;
Michael Schröder - Stefan Schmieder;191;0,09;0,04;0,05;-0,12;101;  0,24;90;-0,19;40;-0,07;61;
Peter Heckmann - Christian Glubrecht;144;0,06;-0,03;0,09;-0,08;76;  0,28;68;-0,06;39;-0,09;37;
Rainer Herrmann - Detlev Kröning;288;0,06;0,04;0,01;0,16;170;  -0,20;118;0,04;84;0,28;86;
Klaus-Dieter Wacker - Ulrich Staber;288;0,06;0,03;0,02;0,05;136;  -0,00;150;0,06;68;0,03;68;
Michael Hornbrook - Dr. Ilan Wolff;287;0,00;0,25;-0,25;-0,28;149;  -0,21;137;-0,59;83;0,12;66;
Kai Röhlk - Caren Grenz;224;-0,15;0,12;-0,26;0,08;114;  -0,62;110;0,01;52;0,13;62;
Jochen Paustian - Prof, Dr. Roland Schmid;128;-0,18;-0,11;-0,07;0,24;62;  -0,36;66;0,22;30;0,27;32;
Günter Buhr - Hans-Peter Fütterer;224;-0,23;-0,21;-0,02;0,24;105;  -0,25;118;-0,02;50;0,47;55;
Karl Wartlick - Rudi Salzer;286;-0,25;-0,18;-0,07;0,23;142;  -0,38;144;-0,07;73;0,56;69;
Thomas Mayr - Volker Hund-Schulze;224;-0,25;-0,13;-0,12;-0,41;112;  0,18;110;-0,35;58;-0,48;54;
Borys Yawlinsky - Dr. Gerhard Thurn;288;-0,27;-0,03;-0,23;-0,07;143;  -0,39;145;0,18;90;-0,50;53;
Klaus Kersting - Andreas Bollhorst;288;-0,39;-0,39;-0,00;0,18;147;  -0,20;140;0,12;63;0,24;84;
Benedikt Wiemeyer - Dr. Ralf Schlotmann;222;-0,60;-0,29;-0,31;-0,13;103;  -0,46;119;0,10;38;-0,27;65;
Barbara von Kleist - Sabine Würdemann;128;-0,60;-0,01;-0,59;-0,81;59;  -0,41;69;-0,88;28;-0,74;31;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Lutz Gröbler - Christian Glubrecht;80;0,35;-0,60;0,95;0,99;43;  0,91;37;0,90;21;1,08;22;
Heinrich Jung - Bernd Donner;64;-0,08;-0,17;0,09;-0,06;24;  0,18;40;0,12;13;-0,28;11;
Andrzej Konczak - Stefan Behn;64;-0,21;-0,52;0,31;0,32;38;  0,29;26;0,30;19;0,35;19;
Günter Buhr - Karin Buhr;64;-0,32;0,29;-0,61;-1,22;34;  0,08;30;-0,77;21;-1,94;13;
Stefan Behn - Bernd Engelhardt;16;-0,36;-1,39;1,03;1,69;10;  -0,07;6;2,55;4;1,12;6;

