Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Entscho Wladow - Dr. Michael Elinescu;192;1,06;0,78;0,28;0,14;93;  0,40;98;0,23;29;0,10;64;;1
Klaus Reps - Bernard Ludewig;96;0,97;0,75;0,22;0,48;52;  -0,10;44;0,37;32;0,67;20;;1
Reiner Marsal - Dirk Schroeder;189;0,93;0,54;0,39;0,39;100;  0,39;89;0,25;54;0,55;46;;1
Henning Bohnsack - Jerzy Kozyczkowski;222;0,89;0,60;0,29;0,43;108;  0,15;114;0,24;60;0,67;48;;3b
Christian Schlicker - Dr. Claus Günther;288;0,89;0,49;0,40;0,49;149;  0,30;138;0,41;82;0,58;67;;2
Norbert Stübinger - Thomas Martin;192;0,76;0,47;0,29;0,49;103;  0,05;89;0,42;51;0,56;52;;3a
Martin Wüst - Dr. Richard Bley;207;0,67;0,82;-0,15;-0,03;105;  -0,28;102;0,69;52;-0,73;53;;2
Frank Reichelt - Dr. Jean Georgiadis;191;0,65;0,26;0,38;0,27;81;  0,47;109;-0,07;50;0,83;31;;3a
Joachim Parsch - Klaus Zeitler;191;0,62;0,42;0,19;0,05;108;  0,38;83;-0,16;54;0,26;54;;3a
Fred Wrobel - Stefan Häßler;144;0,60;-0,02;0,62;0,98;72;  0,27;72;0,90;33;1,05;39;;2
Emile Sansour - Otto Ruthenberg;160;0,58;0,08;0,50;0,71;86;  0,25;74;0,55;43;0,87;43;;3b
Fred Wrobel - Susanne Kriftner;96;0,56;0,60;-0,04;0,04;55;  -0,15;41;0,53;32;-0,63;23;;2
Helmut Häusler - Dr. Andreas Kirmse;207;0,56;0,12;0,44;0,54;95;  0,36;112;0,56;50;0,51;45;;1
Stefan Behn - Dirk Nedler;112;0,55;0,59;-0,04;-0,01;55;  -0,07;57;0,31;27;-0,33;28;;3c
Georgios Mavridis - Karin Mavridis;221;0,55;0,48;0,07;-0,08;113;  0,23;108;-0,15;51;-0,02;62;;3b
Gregor Sieber - Peter Gondos;128;0,52;0,05;0,47;0,47;59;  0,48;68;1,08;27;-0,04;32;;3b
Hans-Jörg Schinze - Kareen Schroeder;192;0,52;0,10;0,41;0,91;95;  -0,07;97;1,32;42;0,59;53;;3a
Miklós Dumbovich - Dr. Josef Harsanyi;191;0,52;0,36;0,15;0,39;91;  -0,06;100;0,76;41;0,09;50;;1
Christian Farwig - Dr. Marcus Joest;144;0,51;0,19;0,32;0,44;72;  0,19;72;0,45;37;0,43;35;;1
Sebastian Weyand - Claudia Vechiatto;111;0,46;0,33;0,14;0,35;52;  -0,05;59;0,43;32;0,21;20;;2
Gordon Kolling - Claudia Vechiatto;176;0,46;0,21;0,25;0,23;78;  0,27;97;0,47;39;-0,02;39;;2
Prof, Ulrich Spengler - Werner Schneider;223;0,44;0,19;0,26;-0,09;122;  0,68;100;-0,05;70;-0,13;52;;3c
Anja Alberti - Mirja Schraverus-Meuer;160;0,44;0,33;0,11;0,30;78;  -0,07;82;0,49;34;0,16;44;;3b
Martin Rehder - Michael Gromöller;224;0,43;0,17;0,26;0,42;98;  0,14;126;0,49;44;0,35;54;;1
Marian Powalla - Adam Griger;144;0,42;0,24;0,18;0,20;75;  0,15;69;0,51;40;-0,14;35;;3c
Gisela Smykalla - Dr. Michael Schneider;191;0,41;0,08;0,33;0,34;91;  0,32;100;0,67;48;-0,02;43;;3a
Jan van Oosten - Dr. Ansgar Seiter;207;0,41;0,30;0,11;-0,18;106;  0,41;100;-0,02;49;-0,32;57;;3a
Ingo Lüßmann - Claudia Lüßmann;191;0,40;0,47;-0,07;-0,21;101;  0,09;90;-0,68;55;0,34;46;;3a
Andreas Schiffmann - Dirk Gyselinck;254;0,39;0,26;0,13;0,20;134;  0,04;118;0,38;66;0,03;68;;3b
Holger Hoffmann - Christian Dörmer;256;0,38;0,06;0,32;0,31;134;  0,34;122;0,40;65;0,22;69;;2
Jürgen Nordmann - Kai Timofejew;224;0,38;0,39;-0,01;0,10;113;  -0,13;111;-0,51;56;0,71;57;;3b
Bernd Engelhardt - Dr. Laurence Kane;191;0,37;0,13;0,24;-0,02;88;  0,46;102;-0,33;38;0,22;50;;3c
Jörg Kraemer - Dennis Kraemer;191;0,37;0,32;0,04;0,15;100;  -0,07;91;0,21;44;0,10;56;;3b
Herbert Klumpp - Jochen Bitschené;192;0,35;0,26;0,09;0,20;98;  -0,02;93;0,10;44;0,29;54;;1
Lutz Springer - Bernd Gahntz;191;0,35;0,29;0,06;0,04;95;  0,09;95;-0,55;50;0,69;45;;3a
Hartmut Brückner - Ralf Speckmann;192;0,34;-0,10;0,44;0,95;94;  -0,05;98;0,97;45;0,94;49;;2
Elke Weber - Fried Weber;160;0,33;-0,05;0,38;0,22;85;  0,58;74;-0,07;34;0,41;51;;3b
Jim Elliott - Joachim Hegener;240;0,33;0,16;0,17;0,18;122;  0,16;118;0,29;54;0,09;68;;3a
Stefan Helling - Dr. Sören Hein;189;0,33;0,19;0,13;-0,06;96;  0,34;93;-0,03;45;-0,09;51;;3b
Andreas Visetti - Pawel Serwatowski;190;0,32;0,06;0,26;0,33;86;  0,20;104;0,22;40;0,43;46;;3c
Oliver Hevemeier - Dr. Gerben Dirksen;96;0,30;0,26;0,04;0,18;38;  -0,05;58;0,44;20;-0,10;18;;2
Dr. Frank Pioch - Dr. Rolf Kühn;191;0,30;0,34;-0,04;0,07;98;  -0,16;93;0,09;56;0,05;42;;2
Ingrid Stoeckmann - Burkhard Thamm;190;0,29;0,16;0,13;0,53;99;  -0,30;90;0,89;62;-0,08;37;;3a
Marie Eggeling - Thomas Gotard;208;0,27;0,11;0,17;0,19;98;  0,14;110;0,79;50;-0,43;48;;2
Nedju Buchlev - Sebastian Reim;192;0,26;0,35;-0,09;-0,12;103;  -0,05;88;-0,44;60;0,32;43;;1
Alexander Rapoport - Alexei Vinogradov;192;0,25;0,29;-0,03;-0,09;105;  0,03;87;0,07;49;-0,23;56;;3c
Anne Gladiator - Berthold Engel;143;0,25;0,22;0,03;0,02;69;  0,04;73;-0,08;27;0,08;42;;3a
Gerda Heinrichs - Karin Wenning;191;0,24;0,11;0,13;0,38;97;  -0,13;94;0,21;55;0,60;42;;3a
Eckhard Böhlke - Kathryn Herz;224;0,23;0,06;0,17;0,34;114;  -0,01;109;0,97;46;-0,09;68;;2
Axel Meuer - Dieter Laidig;256;0,22;0,20;0,02;0,54;133;  -0,53;123;0,41;68;0,68;65;;3b
Jörg Fritsche - Roland Rohowsky;287;0,21;0,12;0,09;0,23;140;  -0,05;147;0,09;73;0,39;67;;1
Josef Piekarek - Alexander Smirnov;144;0,21;-0,14;0,35;0,24;79;  0,48;65;0,09;42;0,41;37;;1
Roland Voigt - Ulrich Voigt;191;0,21;0,19;0,01;0,05;98;  -0,03;93;-0,24;52;0,38;46;;3a
