Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Henning Bohnsack - Jerzy Kozyczkowski;222;0,98;0,67;0,31;0,69;108;  -0,05;114;0,55;60;0,87;48;
Jürgen Nordmann - Kai Timofejew;224;0,62;0,65;-0,02;0,10;113;  -0,15;111;-0,48;56;0,68;57;
Emile Sansour - Otto Ruthenberg;160;0,62;0,17;0,45;0,69;86;  0,17;74;0,43;43;0,95;43;
Georgios Mavridis - Karin Mavridis;221;0,46;0,45;0,02;-0,03;113;  0,07;108;0,01;51;-0,07;62;
Elke Weber - Fried Weber;160;0,46;0,06;0,41;0,23;85;  0,61;74;0,29;34;0,19;51;
Gregor Sieber - Peter Gondos;128;0,40;-0,01;0,41;0,43;59;  0,40;68;0,91;27;0,03;32;
Jörg Kraemer - Dennis Kraemer;191;0,39;0,35;0,05;0,08;100;  0,02;91;-0,27;44;0,35;56;
Anja Alberti - Mirja Schraverus-Meuer;160;0,36;0,41;-0,05;0,18;78;  -0,27;82;0,38;34;0,03;44;
Andreas Schiffmann - Dirk Gyselinck;254;0,36;0,33;0,03;0,18;134;  -0,15;118;0,05;66;0,31;68;
Axel Meuer - Dieter Laidig;256;0,28;0,29;-0,01;0,49;133;  -0,56;123;0,42;68;0,56;65;
Stefan Helling - Dr. Sören Hein;189;0,24;0,24;0,00;-0,12;96;  0,12;93;0,11;45;-0,32;51;
Nils Bokholt - Roland Watzdorf;192;0,22;0,05;0,17;-0,11;93;  0,43;99;-0,36;42;0,09;51;
Erhard Sternheimer - Andeas Böhmer;286;0,08;0,25;-0,17;-0,11;128;  -0,22;158;-0,02;58;-0,18;70;
Susanne Bohnsack - Uli Trepnau;224;0,03;0,12;-0,09;-0,20;105;  -0,00;119;-0,11;46;-0,27;59;
Robert Maybach - Wolf Stahl;160;-0,02;0,31;-0,32;0,39;82;  -1,08;78;0,20;41;0,59;41;
Theo Reinhard - Thomas Neuhauser;286;-0,03;-0,06;0,04;-0,00;137;  0,07;148;-0,12;64;0,10;73;
Martin Stoszek - Anne Heim;256;-0,08;-0,01;-0,07;-0,11;131;  -0,03;124;-0,29;57;0,03;74;
Eckhard Renken - Franz-Jürgen Röttger;128;-0,13;-0,22;0,09;-0,08;61;  0,25;67;-0,08;34;-0,09;27;
Friedrich Kleißendorf - Angelika Röttger;94;-0,18;0,06;-0,24;-0,01;46;  -0,46;48;0,08;15;-0,05;31;
Ulrike Schreckenberger - Andreas Babsch;128;-0,26;-0,48;0,22;0,12;61;  0,31;66;0,20;30;0,05;31;
Udo Kreimeyer - Wolfgang Sonntag;160;-0,29;-0,05;-0,24;-0,59;73;  0,05;86;-0,40;28;-0,71;45;
Christoph Hofbauer - Dr. Michael Stumpf;192;-0,35;-0,33;-0,02;-0,20;88;  0,13;103;-0,40;46;0,03;42;
Andreas Jansen - Josef Bracht;192;-0,37;-0,35;-0,02;-0,08;90;  0,03;102;-0,19;50;0,07;40;
Rolf Beckmann - Wolfram Rach;160;-0,43;-0,40;-0,03;-0,08;81;  0,01;79;0,08;53;-0,38;28;
Johannes Risch - Dr. Nico Dingenouts;192;-0,50;-0,33;-0,17;-0,18;102;  -0,15;89;-0,44;51;0,08;51;
Hans-Joachim Trapp - Albrecht Hollstein;190;-0,56;-0,47;-0,09;-0,30;100;  0,13;89;0,40;55;-1,15;45;
Marina Tetyusheva - Yevgeniya Khanukova;128;-0,58;-1,02;0,44;0,22;64;  0,67;63;0,42;31;0,03;33;
Irmgard Charles - Darrell Charles;190;-0,65;-0,54;-0,11;-0,09;96;  -0,13;94;-0,19;47;0,01;49;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;192;-0,85;-0,61;-0,24;-0,15;96;  -0,32;96;-0,70;43;0,30;53;
Dr. Yasmin Basegmez - Anja Ebeling;128;-0,90;-0,67;-0,24;0,13;71;  -0,70;57;0,15;37;0,11;34;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Martin Stoszek - Dirk Gyselinck;32;-0,01;0,29;-0,31;-0,03;17;  -0,63;15;0,77;8;-0,74;9;
Andreas Schiffmann - Darius Schiffmann;32;-0,88;-0,52;-0,36;-0,86;19;  0,36;13;-0,88;14;-0,79;5;
Franz-Jürgen Röttger - Angelika Röttger;29;-1,28;-0,69;-0,59;-0,42;16;  -0,80;13;-0,41;7;-0,43;9;

