Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Norbert Stübinger - Thomas Martin;192;0,82;0,61;0,20;0,30;103;  0,09;89;0,31;51;0,29;52;
Joachim Parsch - Klaus Zeitler;191;0,66;0,45;0,21;0,04;108;  0,43;83;-0,01;54;0,09;54;
Jan van Oosten - Dr. Ansgar Seiter;207;0,63;0,59;0,03;-0,25;106;  0,33;100;-0,36;49;-0,14;57;
Gisela Smykalla - Dr. Michael Schneider;191;0,58;0,24;0,34;0,26;91;  0,42;100;0,43;48;0,08;43;
Hans-Jörg Schinze - Kareen Schroeder;192;0,53;0,26;0,28;0,59;95;  -0,02;97;1,09;42;0,19;53;
Ingo Lüßmann - Claudia Lüßmann;191;0,51;0,49;0,02;-0,01;101;  0,05;90;-0,61;55;0,70;46;
Frank Reichelt - Dr. Jean Georgiadis;191;0,49;0,28;0,20;0,17;81;  0,23;109;-0,13;50;0,66;31;
Ingrid Stoeckmann - Burkhard Thamm;190;0,38;0,25;0,13;0,55;99;  -0,34;90;0,86;62;0,03;37;
Anne Gladiator - Berthold Engel;143;0,37;0,33;0,04;0,03;69;  0,04;73;0,11;27;-0,02;42;
Lutz Springer - Bernd Gahntz;191;0,33;0,42;-0,09;-0,25;95;  0,07;95;-0,60;50;0,14;45;
Jim Elliott - Joachim Hegener;240;0,32;0,16;0,16;0,08;122;  0,24;118;0,15;54;0,03;68;
Ulf Bormann - Christine Kraus;191;0,14;-0,21;0,35;0,04;97;  0,67;94;0,15;48;-0,06;49;
Roland Voigt - Ulrich Voigt;191;0,12;0,05;0,07;0,21;98;  -0,07;93;0,05;52;0,39;46;
Gerda Heinrichs - Karin Wenning;191;0,12;0,04;0,08;0,32;97;  -0,17;94;0,02;55;0,72;42;
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;144;0,06;-0,03;0,10;0,27;76;  -0,10;68;0,44;38;0,10;38;
Martin Hofmann - Dr. Peer Köster;207;0,05;0,04;0,01;-0,17;108;  0,21;99;-0,25;47;-0,11;61;
Tobias Förster - Werner Kühn;191;0,01;-0,40;0,41;0,42;98;  0,40;92;0,49;52;0,34;46;
Horst Hübner - Omid Karimi;222;-0,07;-0,15;0,09;0,10;101;  0,07;119;-0,13;46;0,30;55;
Leszek Molak - Wlodzimiers Duszynski;96;-0,08;-0,28;0,20;0,43;48;  -0,03;48;0,72;27;0,05;21;
Ralf Fiedler - Christoph Moritz;255;-0,37;-0,08;-0,29;-0,14;114;  -0,42;141;-0,03;48;-0,23;66;
Lothar Schulze - Christoph Hauschild;238;-0,54;-0,22;-0,32;-0,55;124;  -0,06;113;-0,72;65;-0,37;59;
Lars Hüllen - Stefan Hinck;239;-0,54;-0,41;-0,13;-0,01;114;  -0,24;125;0,48;66;-0,67;48;
Klaus Amann - Dr. Carina Tetal;176;-0,54;-0,22;-0,32;-0,30;90;  -0,34;84;-0,38;46;-0,23;44;
Uwe Schoolmann - Dr. Annikki Schoolmann;238;-0,68;-0,36;-0,32;-0,29;127;  -0,34;111;-0,31;65;-0,27;62;
Hans-Jürgen Riedel - Ingo Schmid;112;-0,73;-0,56;-0,17;-0,19;50;  -0,15;62;0,04;34;-0,68;16;
Hans-Jürgen Riedel - Lutz Narajek;112;-0,82;-0,83;0,01;0,25;64;  -0,32;48;0,17;31;0,33;33;
Michael Pauly - Beatrix Kuzselka;160;-1,01;-0,77;-0,24;-0,14;76;  -0,32;84;0,03;42;-0,35;34;
Guido Klein - Ulrike Köppchen;143;-1,03;-0,13;-0,90;-0,77;65;  -1,02;78;-0,98;32;-0,56;33;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Hans-Jürgen Riedel - Antje Berghaus;63;0,97;0,86;0,11;-0,23;26;  0,35;37;-0,73;18;0,91;8;
Helga Stoermer - Lutz Narajek;64;0,28;0,09;0,19;0,46;32;  -0,07;32;-0,12;15;0,97;17;
Beatrix Kuzselka - Werner Kühn;16;0,15;-0,79;0,93;0,37;9;  1,66;7;0,43;7;0,17;2;
Ingo Schmid - Lutz Narajek;63;0,14;0,21;-0,07;-0,68;33;  0,60;30;0,01;17;-1,42;16;
Thomas Suppes - Torsten Skibbe;80;-0,03;0,18;-0,21;-0,29;37;  -0,15;43;-0,62;17;-0,01;20;
Antje Berghaus - Petra Eleftherakis;32;-0,23;0,09;-0,32;-1,01;16;  0,36;16;-0,73;3;-1,08;13;
Helga Stoermer - Antje Berghaus;32;-0,37;-0,36;-0,01;0,51;15;  -0,47;17;-0,02;7;0,97;8;
Helga Stoermer - Petra Eleftherakis;47;-0,40;0,01;-0,41;-0,85;18;  -0,14;29;-1,19;10;-0,42;8;
Michael Pauly - Berthold Engel;32;-0,92;-0,52;-0,41;-0,13;17;  -0,78;14;0,06;7;-0,26;10;
Lutz Narajek - Petra Eleftherakis;48;-0,97;-0,88;-0,09;-0,37;24;  0,20;24;0,20;13;-1,05;11;
Tobias Förster - Berthold Engel;32;-1,14;-1,30;0,16;-0,26;17;  0,64;15;-1,08;7;0,31;10;

