Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Andreas Gondorf - Uwe Breusch;112;1,09;0,54;0,55;0,76;66;  0,26;46;1,05;28;0,55;38;
Anne Gladiator - Berthold Engel;112;0,85;0,48;0,37;0,34;40;  0,38;72;0,59;12;0,24;28;
Hans Ott - Dr. Wolfgang Walenta;96;0,67;0,36;0,31;0,46;41;  0,20;54;0,03;22;0,96;19;
Hans-Jürgen Riedel - Lutz Narajek;156;0,65;0,27;0,38;0,62;85;  0,09;71;0,98;39;0,32;46;
Oliver Hevemeier - Dr. Gerben Dirksen;224;0,61;0,22;0,38;0,32;108;  0,44;116;0,54;51;0,13;57;
Lothar Schmidt - Martin Jentsch;208;0,53;0,66;-0,12;0,05;114;  -0,34;93;0,00;53;0,09;61;
Michael Schröder - Stefan Schmieder;176;0,49;0,23;0,26;0,31;105;  0,19;70;0,35;49;0,28;56;
Michael Pauly - Beatrix Kuzselka;208;0,48;0,82;-0,34;-0,02;118;  -0,77;88;-0,17;60;0,13;58;
Tobias Förster - Werner Kühn;224;0,47;0,41;0,06;0,49;121;  -0,45;102;0,50;66;0,48;55;
Klaus-Dieter Wacker - Wolfhart Umlauft;204;0,23;-0,18;0,42;0,55;93;  0,31;111;0,08;34;0,82;59;
Klaus Kersting - Andreas Bollhorst;268;0,23;0,18;0,05;0,25;142;  -0,19;126;0,03;57;0,41;85;
Manfred Kastell - Prof, Ulrich Spengler;253;0,07;0,13;-0,06;0,13;122;  -0,23;130;0,17;59;0,09;63;
Lutz Springer - Bernd Gahntz;160;0,05;-0,13;0,18;0,27;79;  0,10;81;0,53;33;0,09;46;
Jim Elliott - Joachim Hegener;208;0,00;-0,03;0,03;0,43;96;  -0,32;112;1,00;44;-0,05;52;
Jürgen Dürkop - Bettina Brammann-Kuisat;272;-0,14;-0,12;-0,02;0,27;110;  -0,23;160;0,27;57;0,27;53;
Georg Kippenberg - Stefan Schubert;268;-0,17;0,16;-0,33;-0,06;149;  -0,66;118;-0,02;78;-0,11;71;
Josef Knoll - Dr. Wolfgang Walenta;144;-0,19;-0,01;-0,18;-0,03;69;  -0,32;74;-0,51;43;0,75;26;
Hans Luger - Wolfgang Demleitner;189;-0,30;-0,51;0,21;0,33;86;  0,10;102;0,73;47;-0,15;39;
Jochen Paustian - Prof, Roland Schmidt;256;-0,37;-0,40;0,03;0,14;136;  -0,09;119;0,26;69;0,02;67;
Gabriele Schmelter - Dr. Johann Wempen;160;-0,53;-0,24;-0,29;-0,10;75;  -0,46;85;0,01;45;-0,26;30;
Guido Klein - Ulrike Köppchen;176;-0,55;-0,53;-0,02;0,27;78;  -0,25;96;0,25;36;0,29;42;
Achim Greune - Diana Farken;272;-0,74;-0,39;-0,35;-0,44;135;  -0,27;135;-0,65;62;-0,25;73;
Anselm Kiessling - Dr. Nikolaus Bay;128;-0,82;-0,51;-0,30;-0,33;72;  -0,27;55;-0,02;36;-0,65;36;
Frank Dethlefsen - Alexander Finke;224;-0,99;-0,70;-0,29;-0,07;101;  -0,47;123;-0,21;47;0,04;54;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Hans-Jürgen Riedel - Petra Eleftherakis;16;1,05;0,59;0,46;1,62;5;  -0,07;11;2,23;2;1,22;3;
Hans-Jürgen Riedel - Antje Berghaus;32;0,98;0,51;0,46;0,43;16;  0,49;16;0,20;3;0,49;13;
Anselm Kiessling - Sylvia Tuerk;64;0,90;1,14;-0,24;-0,07;35;  -0,46;29;0,50;16;-0,55;19;
Lothar Schmidt - Dr. Wolfgang Walenta;16;0,82;-1,59;2,41;4,45;6;  1,18;10;6,51;4;0,34;2;
Helga Stoermer - Lutz Narajek;64;0,72;0,79;-0,07;0,23;37;  -0,48;27;-0,30;14;0,55;23;
Ingo Schmid - Lutz Narajek;48;0,29;0,01;0,28;0,15;26;  0,44;22;0,41;15;-0,21;11;
Hans-Jürgen Riedel - Ingo Schmid;64;0,15;0,15;0,01;0,29;34;  -0,31;30;0,75;18;-0,23;16;
Antje Berghaus - Petra Eleftherakis;32;-0,08;-0,66;0,59;1,63;12;  -0,04;20;0,33;4;2,28;8;
Ingeborg Metzler - Bernd Metzler;64;-0,17;-0,03;-0,14;-0,49;31;  0,18;33;-0,59;16;-0,38;15;
Hans Ott - Lothar Schmidt;16;-0,31;-0,21;-0,10;1,42;4;  -0,61;12;1,79;3;0,33;1;
Malgorzata Schröder - Michael Schröder;76;-0,63;-0,52;-0,11;-0,30;43;  0,14;33;-0,55;28;0,19;15;
Helga Stoermer - Petra Eleftherakis;64;-0,73;-0,04;-0,69;-1,49;29;  -0,02;35;-1,36;15;-1,64;14;
Helga Stoermer - Antje Berghaus;64;-0,90;-0,34;-0,56;-0,52;32;  -0,60;32;-0,94;10;-0,33;22;
Prof, Dr. Uwe Rösler - Roland Plaß;32;-0,98;-0,51;-0,46;-0,49;16;  -0,43;16;0,15;6;-0,88;10;
Hans Ott - Martin Jentsch;44;-1,17;-1,05;-0,13;0,04;24;  -0,32;20;0,32;14;-0,35;10;
Josef Knoll - Lothar Schmidt;16;-1,46;-1,93;0,47;0,50;5;  0,45;11;0,00;1;0,63;4;

