Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Miklós Dumbovich - Dr. Michael Elinescu;176;0,81;0,64;0,16;0,48;91;  -0,17;85;0,53;44;0,42;47;
Martin Loefgren - Nikolas Bausback;192;0,61;0,57;0,04;-0,35;103;  0,49;88;-0,51;46;-0,22;57;
Julius Linde - Christian Schwerdt;207;0,54;0,56;-0,02;0,54;104;  -0,58;102;0,54;56;0,54;48;
Klaus Reps - Bernard Ludewig;191;0,49;0,46;0,03;0,20;100;  -0,16;90;0,00;51;0,41;49;
Annaig Della Monta - Dr. Alfred Berthold;208;0,39;0,28;0,10;0,14;101;  0,07;107;0,17;52;0,11;49;
Ortwin Wagner - Wolfram von Alvensleben;224;0,35;0,31;0,04;-0,03;107;  0,12;117;0,03;57;-0,10;50;
Nedju Buchlev - Sebastian Reim;96;0,31;-0,04;0,35;0,35;53;  0,34;43;0,70;28;-0,04;25;
Jörg Fritsche - Roland Rohowsky;288;0,29;0,03;0,26;0,28;158;  0,23;130;0,01;76;0,54;82;
Peter Jokisch - Udo Kasimir;288;0,25;0,42;-0,17;0,08;148;  -0,43;139;0,20;75;-0,06;73;
Matthias Schüller - Paul Orth;160;0,22;0,15;0,07;0,28;71;  -0,09;89;0,67;30;-0,00;41;
Ralf Schmellekamp - Dimitri Markaris;192;0,17;-0,01;0,19;0,56;100;  -0,22;91;1,04;54;-0,01;46;
Heinrich Nowak - Stefan Back;112;0,15;-0,04;0,20;-0,02;55;  0,41;56;0,10;34;-0,22;21;
Matthias Felmy - Vitaliy Khanukov;192;0,15;0,09;0,06;0,78;90;  -0,59;100;0,88;48;0,67;42;
Beate Nehmert - Reiner Marsal;175;0,15;0,16;-0,01;0,02;93;  -0,05;81;-0,11;47;0,16;46;
Martin Wüst - Dr. Richard Bley;192;0,13;-0,13;0,26;0,54;100;  -0,03;92;0,99;54;0,00;46;
Josef Piekarek - Alexander Smirnov;95;0,02;0,04;-0,02;0,21;51;  -0,29;44;0,01;28;0,44;23;
Laszló Honti - Dr. Josef Harsanyi;206;0,01;0,28;-0,27;0,15;104;  -0,71;101;0,05;53;0,24;51;
Fabian von Löbbecke - Dirk Sanne;175;-0,03;-0,19;0,17;0,30;87;  0,03;88;0,02;37;0,51;50;
Rainer Handel - Christoph Kemmer;288;-0,03;-0,07;0,04;-0,06;156;  0,16;132;-0,07;83;-0,06;73;
Helmut Häusler - Michael Gromöller;160;-0,22;-0,39;0,16;0,15;74;  0,18;85;-0,03;36;0,32;38;
Dr. Frank Pioch - Dr. Rolf Kühn;191;-0,26;-0,16;-0,09;0,26;94;  -0,44;96;0,29;39;0,23;55;
Christian Schlicker - Dr. Claus Günther;288;-0,35;-0,20;-0,15;0,21;145;  -0,52;142;0,13;80;0,30;65;
Dr. Karl-Heinz Kaiser - Dr. Peter Freche;287;-0,38;-0,20;-0,18;0,03;140;  -0,38;146;-0,05;57;0,09;83;
Marc Schomann - Dr. Michael Tomski;207;-0,44;-0,34;-0,10;-0,19;92;  -0,03;114;0,24;52;-0,76;40;
Jacek Lesniczak - Janko Katerbau;192;-0,50;-0,36;-0,14;-0,17;89;  -0,12;103;-0,25;45;-0,08;44;
Christian Farwig - Dr. Marcus Joest;192;-0,60;-0,19;-0,41;-0,20;97;  -0,64;95;-0,11;46;-0,28;51;
Martin Rehder - Dr. Entscho Wladow;192;-0,67;-0,27;-0,39;-0,21;103;  -0,61;89;0,29;46;-0,61;57;
Helmut Häusler - Dr. Andreas Kirmse;95;-0,87;-0,72;-0,15;-0,37;45;  0,06;48;-0,19;22;-0,55;23;
Martin Schrödel - Martin Werner;191;-0,93;-0,94;0,01;0,31;77;  -0,19;114;0,15;44;0,53;33;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Dr. Josef Harsanyi - Dr. Michael Elinescu;16;1,87;0,20;1,67;2,48;7;  1,04;9;-0,29;4;6,17;3;
Michael Gromöller - Dr. Andreas Kirmse;32;0,31;-0,37;0,68;0,81;17;  0,54;15;0,89;10;0,70;7;
Petra von Malchus - Dr. Walter Höger;48;-0,38;-0,63;0,25;2,04;13;  -0,42;34;0,34;4;2,79;9;

