Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Andreas Gondorf - Uwe Breusch;112;1,10;0,52;0,58;0,56;66;  0,60;46;0,83;28;0,36;38;;3c
Robert Maybach - Wolf Stahl;159;0,85;0,12;0,74;0,61;90;  0,90;69;0,48;48;0,76;42;;3b
Miklós Dumbovich - Dr. Michael Elinescu;176;0,74;0,38;0,36;0,72;91;  -0,02;85;0,89;44;0,56;47;;1
Anne Gladiator - Berthold Engel;112;0,72;0,11;0,61;0,52;40;  0,66;72;0,36;12;0,58;28;;3c
Hans-Jürgen Riedel - Lutz Narajek;156;0,68;0,22;0,45;0,80;85;  0,04;71;1,30;39;0,37;46;;3c
Martin Loefgren - Nikolas Bausback;192;0,68;0,48;0,19;0,01;103;  0,40;88;-0,11;46;0,11;57;;1
Fried Weber - Elke Weber;208;0,67;0,38;0,29;0,44;108;  0,12;100;0,31;55;0,57;53;;3b
Julius Linde - Christian Schwerdt;207;0,61;0,39;0,22;0,99;104;  -0,56;102;1,13;56;0,82;48;;1
Roland Voigt - Ulrich Voigt;208;0,56;0,56;0,01;0,40;120;  -0,55;86;0,45;64;0,36;56;;3a
Nedju Buchlev - Sebastian Reim;96;0,56;0,22;0,34;0,65;53;  -0,04;43;1,05;28;0,20;25;;1
Hans Ott - Dr. Wolfgang Walenta;96;0,55;0,33;0,21;0,66;41;  -0,12;54;0,22;22;1,17;19;;3c
Franz-Jürgen Röttger - Eckhard Renken;176;0,52;0,47;0,06;0,20;99;  -0,13;76;0,22;51;0,18;48;;3a
Oliver Hevemeier - Dr. Gerben Dirksen;224;0,52;0,28;0,25;0,52;108;  -0,01;116;0,71;51;0,35;57;;3c
Klaus Reps - Bernard Ludewig;191;0,51;0,32;0,19;0,51;100;  -0,16;90;0,16;51;0,88;49;;1
Michael Schröder - Stefan Schmieder;176;0,50;0,26;0,24;0,31;105;  0,13;70;0,32;49;0,29;56;;3c
Lothar Schmidt - Martin Jentsch;208;0,49;0,62;-0,12;0,21;114;  -0,53;93;0,40;53;0,04;61;;3c
Henning Gärner - Dr. Gerhard Göttsch;288;0,49;0,15;0,34;0,93;144;  -0,24;144;0,57;66;1,23;78;;2
Michael Pauly - Beatrix Kuzselka;208;0,49;0,37;0,12;0,63;118;  -0,57;88;0,25;60;1,02;58;;3c
Susanne Bohnsack - Uli Trepnau;191;0,48;0,28;0,20;0,44;94;  -0,04;95;-0,53;48;1,46;46;;3b
Ortwin Wagner - Wolfram von Alvensleben;224;0,46;0,26;0,21;0,25;107;  0,16;117;0,43;57;0,05;50;;1
Martin Hofmann - Dr. Peer Köster;175;0,46;0,55;-0,09;0,11;82;  -0,27;92;-0,20;42;0,45;40;;3b
Joachim Cappeller - Clemens Oelker;192;0,46;0,65;-0,19;-0,18;100;  -0,20;88;-0,27;51;-0,10;49;;2
Henning Bohnsack - Alexander Rapoport;208;0,45;-0,03;0,48;0,72;114;  0,18;93;0,77;57;0,67;57;;3b
Ulrich Kratz - Bernhard Sträter;127;0,44;-0,23;0,67;0,53;64;  0,82;62;0,54;31;0,52;33;;2
Tobias Förster - Werner Kühn;224;0,44;0,42;0,02;0,55;121;  -0,62;102;0,50;66;0,61;55;;3c
Annaig Della Monta - Dr. Alfred Berthold;208;0,43;0,31;0,12;0,37;101;  -0,12;107;0,10;52;0,66;49;;1
Herbert Klumpp - Jochen Bitschené;176;0,37;0,17;0,20;0,60;92;  -0,24;82;0,96;48;0,20;44;;2
Dr. Bettina Bohnhorst - Dr. Jürgen Sander;288;0,37;0,28;0,08;0,38;151;  -0,25;137;0,00;82;0,84;69;;3a
Dr. Andreas Spiegl - Dr. Bernhard Schirm;224;0,36;0,21;0,14;0,80;126;  -0,73;96;0,74;61;0,87;65;;3a
Hartmut Brückner - Ralf Speckmann;224;0,34;0,05;0,29;0,65;106;  -0,03;118;0,40;46;0,84;60;;2
Klaus-Dieter Wacker - Wolfhart Umlauft;204;0,33;-0,12;0,45;0,60;93;  0,32;111;0,14;34;0,87;59;;3c
Hans Frerichs - Ulrich Wenning;224;0,32;0,10;0,22;0,61;108;  -0,13;114;0,69;53;0,53;55;;2
Erhard Sternheimer - Andeas Böhmer;288;0,31;0,12;0,20;0,22;142;  0,18;144;-0,17;69;0,59;73;;3a
Ulf Bormann - Christine Kraus;175;0,29;0,36;-0,07;-0,02;94;  -0,12;81;0,31;46;-0,34;48;;3b
Ralf Schmellekamp - Dimitri Markaris;192;0,29;0,01;0,28;0,71;100;  -0,18;91;1,19;54;0,14;46;;1
Felix Zimmermann - Prinz Josias zu Waldeck;208;0,29;-0,20;0,48;0,56;98;  0,43;108;1,19;48;-0,05;50;;2
Horst Borho - Roland Kühnle;192;0,27;0,17;0,11;0,12;93;  0,10;97;0,25;36;0,04;57;;2
Nils Bockholt - Roland Watzdorf;192;0,27;0,08;0,19;0,62;91;  -0,20;100;0,87;54;0,26;37;;3a
Michael Hornbrook - Dr. Ilan Wolff;288;0,27;0,26;0,01;0,20;136;  -0,17;150;0,12;63;0,27;73;;3a
Fred Wrobel - Stefan Häßler;176;0,26;0,37;-0,11;-0,11;95;  -0,10;81;0,05;49;-0,29;46;;2
Frederic Boldt - Dr. Helmut Horacek;288;0,26;0,04;0,22;0,48;135;  -0,00;152;0,00;69;0,98;66;;3a
Beate Nehmert - Reiner Marsal;175;0,22;0,19;0,03;0,23;93;  -0,20;81;-0,03;47;0,49;46;;1
Axel Meuer - Dieter Laidig;191;0,21;0,03;0,19;0,51;99;  -0,16;91;0,88;51;0,10;48;;2
Christoph Hofbauer - Dr. Michael Stumpf;224;0,21;0,18;0,04;0,30;125;  -0,30;97;0,25;63;0,35;62;;3a
Andreas Schiffmann - Dirk Gyselinck;272;0,20;0,13;0,07;0,32;142;  -0,20;130;0,14;71;0,49;71;;3b
Rainer Herrmann - Detlev Kröning;272;0,20;0,03;0,17;0,22;159;  0,11;111;0,40;77;0,05;82;;3b
Jörg Fritsche - Roland Rohowsky;288;0,18;-0,10;0,29;0,47;158;  0,06;130;0,29;76;0,63;82;;1
Hans-Joachim Prieß - Raffael Braun;192;0,18;0,15;0,02;0,38;105;  -0,41;87;0,29;49;0,46;56;;3b
Heinrich Nowak - Stefan Back;112;0,17;-0,11;0,28;0,36;55;  0,21;56;0,42;34;0,27;21;;1
Klaus Kersting - Andreas Bollhorst;268;0,16;0,14;0,03;0,40;142;  -0,40;126;0,08;57;0,62;85;;3c
Peter Jokisch - Udo Kasimir;288;0,16;0,47;-0,31;0,04;148;  -0,69;139;0,46;75;-0,40;73;;1
