Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Robert Maybach - Wolf Stahl;159;0,78;0,35;0,42;0,25;90;  0,64;69;0,08;48;0,45;42;
Fried Weber - Elke Weber;208;0,74;0,46;0,28;0,45;108;  0,09;100;0,37;55;0,54;53;
Susanne Bohnsack - Uli Trepnau;191;0,54;0,31;0,23;0,38;94;  0,08;95;-0,30;48;1,09;46;
Henning Bohnsack - Alexander Rapoport;208;0,50;0,20;0,30;0,67;114;  -0,16;93;0,68;57;0,65;57;
Martin Hofmann - Dr. Peer Köster;175;0,49;0,68;-0,18;-0,11;82;  -0,25;92;-0,23;42;0,01;40;
Ulf Bormann - Christine Kraus;175;0,29;0,47;-0,17;-0,18;94;  -0,17;81;-0,14;46;-0,22;48;
Hans-Joachim Prieß - Raffael Braun;192;0,20;0,21;-0,02;0,29;105;  -0,38;87;0,21;49;0,36;56;
Andreas Schiffmann - Dirk Gyselinck;272;0,18;-0,06;0,24;0,60;142;  -0,14;130;0,44;71;0,75;71;
Rainer Herrmann - Detlev Kröning;272;0,15;0,15;-0,00;-0,02;159;  0,02;111;0,16;77;-0,18;82;
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;112;0,12;0,32;-0,20;-0,07;67;  -0,39;45;-0,13;29;-0,02;38;
Klaus Zeitler - Thomas Martin;192;-0,03;0,06;-0,09;-0,05;98;  -0,13;94;0,09;44;-0,17;54;
Uwe Siedenburg - Christian Fröhner;192;-0,05;0,05;-0,10;0,05;95;  -0,24;97;0,15;53;-0,09;42;
Marina Tetyusheva - Yevgeniya Khanukova;119;-0,06;-0,30;0,24;0,56;54;  -0,03;62;0,04;30;1,23;24;
Nadia Sanne - Wiebke Farwig;96;-0,07;-0,36;0,29;0,41;46;  0,18;50;0,88;25;-0,15;21;
Günter Buhr - Karin Buhr;272;-0,08;-0,14;0,06;0,21;129;  -0,07;143;0,61;65;-0,20;64;
Lothar Schulze - Christoph Hauschild;192;-0,09;-0,13;0,05;-0,11;100;  0,21;90;-0,20;47;-0,02;53;
Gregor Sieber - Ulrike Schreckenberger;151;-0,15;-0,02;-0,12;0,19;67;  -0,38;81;-0,05;32;0,40;35;
Felix Schadendorf - Dietmar Korb;143;-0,16;-0,00;-0,15;0,13;57;  -0,34;86;0,06;26;0,19;31;
Horst Hübner - Omid Karimi;208;-0,31;0,20;-0,51;-0,78;108;  -0,23;100;-0,92;61;-0,60;47;
Claudia Vechiatto - Dr. Gerold Wieber;175;-0,33;-0,23;-0,10;0,45;88;  -0,66;87;0,21;50;0,78;38;
Jürgen Hollich - Dr. Herbert Thieme;176;-0,33;-0,27;-0,07;0,16;87;  -0,29;89;0,10;49;0,24;38;
Ralf Fiedler - Christoph Moritz;208;-0,37;-0,13;-0,25;-0,19;96;  -0,30;111;-0,12;46;-0,25;50;
Peter Heckmann - Christian Glubrecht;272;-0,42;-0,45;0,03;0,27;133;  -0,19;139;0,18;69;0,37;64;
Thomas Suppes - Torsten Skibbe;128;-0,48;-0,16;-0,31;0,10;59;  -0,68;68;-0,06;34;0,32;25;
Frank Wichmann - Sabrina Wichmann;128;-0,72;-0,49;-0,23;-0,10;56;  -0,33;71;-0,61;28;0,41;28;
Mathias Farwig - Wiebke Farwig;96;-0,72;-0,15;-0,57;-0,50;51;  -0,67;44;-0,81;24;-0,22;27;
Mathias Farwig - Sabrina Wichmann;112;-0,81;-0,99;0,18;-0,08;49;  0,39;62;0,07;24;-0,23;25;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Marie Eggeling - Dietmar Korb;64;1,33;0,23;1,11;0,70;29;  1,44;35;-0,69;9;1,33;20;
Frank Wichmann - Mathias Farwig;32;1,11;0,93;0,19;0,46;13;  -0,00;19;0,60;7;0,29;6;
Hans-Joachim Prieß - Marie Eggeling;32;0,74;0,74;0,00;-0,26;16;  0,26;16;0,62;5;-0,66;11;
Sabine Würdemann - Dr. Hans Fleischhack;48;0,33;-0,24;0,57;0,84;26;  0,26;22;0,56;14;1,16;12;
Petra Wüstner-Weiß - Dr. Hans Fleischhack;64;0,22;-0,02;0,24;0,08;29;  0,36;35;-0,69;16;1,03;13;
Frank Lamprecht - Nadia Sanne;80;-0,16;-0,07;-0,09;-0,04;33;  -0,13;47;0,64;15;-0,59;18;
Marie Eggeling - Raffael Braun;48;-0,29;-0,54;0,25;0,50;22;  0,03;26;-1,16;9;1,66;13;
Felix Schadendorf - Marie Eggeling;64;-0,41;-0,48;0,06;-0,19;26;  0,24;38;-0,06;14;-0,34;12;
Petra Wüstner-Weiß - Sabine Würdemann;64;-0,47;-0,23;-0,24;0,05;24;  -0,42;39;0,34;12;-0,25;12;
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;48;-0,76;-0,25;-0,51;-0,26;25;  -0,78;23;0,26;9;-0,55;16;
Thomas Suppes - Christoph Hauschild;16;-1,13;0,02;-1,15;-1,49;11;  -0,42;5;-1,39;6;-1,61;5;

