                                                       |             |              |           Play           |        Declaring         |                Defending              |
LEE Nok Yin - TSANG Pui Kei                            |  160  -0.26 |  0.30  -0.56 | -0.35 ( 81)  -0.77 ( 79) | -0.20 ( 38)  -0.48 ( 43) | -0.49 ( 47)  -0.26 ( 32)  -0.37 ( 79) |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  176  -0.32 | -0.29  -0.03 | -0.25 ( 82)   0.16 ( 94) | -0.34 ( 48)  -0.12 ( 34) |  0.33 ( 49)  -0.01 ( 45)  -0.01 ( 94) |
KARPOV Maksim - LAANEMAE Tiit                          |  160  -0.35 | -0.18  -0.17 |  0.24 ( 81)  -0.59 ( 79) |  0.30 ( 35)   0.19 ( 46) | -0.12 ( 48)   0.27 ( 31)  -0.62 ( 79) |
CHUNG Jonky - LIU Chang-Kae                            |  160  -0.37 | -0.57   0.19 | -0.29 ( 84)   0.73 ( 76) | -0.27 ( 39)  -0.31 ( 45) |  0.94 ( 38)   0.37 ( 38)   0.07 ( 76) |
FUCIK Jan - PURKARTHOFER Gunther                       |  128  -0.45 | -0.72   0.28 |  0.21 ( 71)   0.36 ( 57) |  0.09 ( 38)   0.35 ( 33) |  0.15 ( 25)   0.01 ( 32)   0.29 ( 57) |
ASKARI Hasan - GHEEWALA Tahseen                        |  160  -0.46 | -0.36  -0.10 | -0.07 ( 72)  -0.12 ( 87) | -0.38 ( 37)   0.26 ( 35) | -0.21 ( 54)   0.00 ( 33)   0.01 ( 87) |
CORNELL Michael - BACH Ashley                          |  160  -0.48 | -0.28  -0.20 | -0.20 ( 76)  -0.19 ( 84) | -0.28 ( 39)  -0.12 ( 37) | -0.10 ( 40)   0.47 ( 44)  -0.39 ( 84) |
LIAQAT Farrukh - SAID Junaid                           |  192  -0.48 | -0.05  -0.43 | -0.43 ( 95)  -0.45 ( 94) | -0.62 ( 43)  -0.27 ( 52) |  0.24 ( 45)  -0.41 ( 49)  -0.35 ( 94) |
CHEUNG Lik - FUNG Chi Pong                             |  160  -0.52 | -0.14  -0.37 | -0.43 ( 81)  -0.33 ( 78) | -0.62 ( 39)  -0.24 ( 42) | -0.14 ( 49)  -0.40 ( 29)  -0.09 ( 78) |
LI Vincent Hoi Yuen - LUNG Ka-Cheung                   |  127  -0.54 | -0.20  -0.34 | -0.01 ( 64)  -0.68 ( 63) | -0.80 ( 31)   0.73 ( 33) | -0.16 ( 29)  -0.50 ( 34)  -0.34 ( 63) |
PARRI Gabriele - TAMAGNINI Secondo                     |  144  -0.63 | -0.46  -0.17 | -0.33 ( 79)   0.02 ( 65) | -0.35 ( 38)  -0.31 ( 41) |  0.07 ( 39)   0.56 ( 26)  -0.25 ( 65) |
