                                                       |             |              |           Play           |        Declaring         |                Defending              |
CASTELLO BRANCO Marcelo - BARBOSA Roberto              |  144  -0.24 |  0.49  -0.73 | -0.68 ( 71)  -0.78 ( 72) | -0.87 ( 34)  -0.52 ( 37) | -0.25 ( 31)  -0.48 ( 41)  -0.40 ( 72) |
CHUMAK Yuliy - ROVYSHYN Oleg                           |  176  -0.27 | -0.28   0.01 | -0.27 ( 82)   0.25 ( 94) | -0.40 ( 48)  -0.09 ( 34) |  0.37 ( 49)  -0.02 ( 45)   0.07 ( 94) |
KARPOV Maksim - LAANEMAE Tiit                          |  160  -0.36 | -0.17  -0.20 |  0.27 ( 81)  -0.67 ( 79) |  0.36 ( 35)   0.19 ( 46) | -0.17 ( 48)   0.28 ( 31)  -0.68 ( 79) |
CHUNG Jonky - LIU Chang-Kae                            |  160  -0.38 | -0.56   0.18 | -0.32 ( 84)   0.74 ( 76) | -0.31 ( 39)  -0.34 ( 45) |  1.01 ( 38)   0.40 ( 38)   0.03 ( 76) |
LIAQAT Farrukh - SAID Junaid                           |  192  -0.49 | -0.04  -0.45 | -0.44 ( 95)  -0.47 ( 94) | -0.65 ( 43)  -0.26 ( 52) |  0.25 ( 45)  -0.41 ( 49)  -0.37 ( 94) |
CORNELL Michael - BACH Ashley                          |  160  -0.52 | -0.30  -0.22 | -0.20 ( 76)  -0.24 ( 84) | -0.26 ( 39)  -0.15 ( 37) | -0.12 ( 40)   0.51 ( 44)  -0.45 ( 84) |
ASKARI Hasan - GHEEWALA Tahseen                        |  160  -0.54 | -0.40  -0.14 | -0.10 ( 72)  -0.17 ( 87) | -0.42 ( 37)   0.24 ( 35) | -0.22 ( 54)  -0.04 ( 33)  -0.02 ( 87) |
CHEUNG Lik - FUNG Chi Pong                             |  160  -0.54 | -0.16  -0.39 | -0.45 ( 81)  -0.33 ( 78) | -0.62 ( 39)  -0.29 ( 42) | -0.15 ( 49)  -0.40 ( 29)  -0.09 ( 78) |
FUCIK Jan - PURKARTHOFER Gunther                       |  128  -0.58 | -0.86   0.28 |  0.22 ( 71)   0.35 ( 57) |  0.10 ( 38)   0.36 ( 33) |  0.10 ( 25)   0.01 ( 32)   0.30 ( 57) |
LI Vincent Hoi Yuen - LUNG Ka-Cheung                   |  127  -0.66 | -0.27  -0.39 |  0.04 ( 64)  -0.83 ( 63) | -0.84 ( 31)   0.86 ( 33) | -0.18 ( 29)  -0.66 ( 34)  -0.39 ( 63) |
AHAMED Sayed - HANZALA Dewan Mohammad                  |  160  -0.69 | -0.57  -0.12 |  0.20 ( 86)  -0.50 ( 74) |  0.30 ( 42)   0.10 ( 44) | -0.39 ( 41)  -0.30 ( 33)  -0.15 ( 74) |
BARTOLACELLI Gabriella - BERTAZZONI Maurizio           |  160  -0.74 | -0.56  -0.18 | -0.61 ( 75)   0.19 ( 85) | -0.55 ( 34)  -0.65 ( 41) | -0.80 ( 40)   0.21 ( 45)   0.45 ( 85) |
PARRI Gabriele - TAMAGNINI Secondo                     |  144  -0.76 | -0.54  -0.21 | -0.38 ( 79)  -0.01 ( 65) | -0.40 ( 38)  -0.36 ( 41) |  0.03 ( 39)   0.60 ( 26)  -0.27 ( 65) |
LARA Maria Joao - OREY CAPUCHO Manuel d'               |  144  -0.85 | -0.80  -0.04 | -0.02 ( 76)  -0.07 ( 67) |  0.05 ( 41)  -0.10 ( 35) |  0.30 ( 31)  -0.00 ( 36)  -0.21 ( 67) |
KAMAL N. H. Shamsuzzaman - RAHMAN Jamilur              |  144  -1.41 | -1.00  -0.41 | -1.04 ( 64)   0.10 ( 80) | -0.55 ( 29)  -1.44 ( 35) |  0.39 ( 34)   0.26 ( 46)  -0.21 ( 80) |

                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
HUANG Patrick K. H. - YANG Sidney                      |   64   0.22 | -0.14   0.36 |  0.26 ( 32)   0.47 ( 32) | -0.08 ( 16)   0.59 ( 16) |  0.26 ( 11)   0.16 ( 21)   0.27 ( 32) |
D'ORSI Ernesto - FIGUEIREDO Mauricio                   |   80   0.01 | -0.50   0.51 |  0.70 ( 41)   0.32 ( 38) | -0.83 (  1)   0.74 ( 40) |  0.51 ( 34)  -0.42 (  4)  -0.09 ( 38) |
DANYLYUK Tetyana - DANYLYUK Volodymyr                  |   80  -0.01 |  0.21  -0.23 | -0.03 ( 43)  -0.45 ( 37) | -0.13 ( 22)   0.07 ( 21) | -0.36 ( 20)  -0.38 ( 17)  -0.09 ( 37) |
WANG Jed - YANG Sidney                                 |   80  -0.21 | -0.12  -0.09 | -0.35 ( 30)   0.06 ( 50) |  0.11 ( 15)  -0.80 ( 15) |  0.30 ( 24)   0.50 ( 26)  -0.35 ( 50) |
BILAL Gulzar - MOHIUDDIN Khaled                        |   96  -1.09 | -0.78  -0.32 |  0.13 ( 45)  -0.72 ( 50) | -0.09 ( 20)   0.30 ( 25) | -0.28 ( 24)   0.09 ( 26)  -0.63 ( 50) |
HUANG Patrick K. H. - WANG Jed                         |   16   0.44 | -1.31   1.74 |  2.79 (  9)   0.40 (  7) |  4.61 (  4)   1.32 (  5) |  0.53 (  5)  -0.08 (  2)   0.05 (  7) |

