                                                       |             |              |           Play           |        Declaring         |                Defending              |
EINARSSON Bjarni Holmar - JORGENSEN Adalsteinn         |  224  -0.32 | -0.42   0.10 |  0.04 (117)   0.17 (107) |  0.19 ( 51)  -0.08 ( 66) |  0.14 ( 42)  -0.22 ( 65)   0.25 (107) |
BROWN Terry - KANETKAR Avi                             |  160  -0.43 | -0.64   0.22 |  0.12 ( 90)   0.34 ( 70) |  0.95 ( 43)  -0.64 ( 47) |  0.06 ( 36)   0.89 ( 34)  -0.12 ( 70) |
PASQUINI Paolo - VALDES Jose Maria                     |  160  -0.46 | -0.12  -0.33 | -0.22 ( 89)  -0.47 ( 71) | -0.30 ( 45)  -0.14 ( 44) |  0.15 ( 36)   0.02 ( 35)  -0.55 ( 71) |
CHAPLET Isabelle - MACGREGOR John                      |  224  -0.47 | -0.58   0.11 |  0.57 (104)  -0.29 (119) |  0.28 ( 44)   0.78 ( 60) | -0.20 ( 51)   0.04 ( 68)  -0.23 (119) |
GUSSO Franco - HANTOS Jonathan                         |  160  -0.56 | -0.40  -0.16 | -0.22 ( 75)  -0.11 ( 85) |  0.01 ( 28)  -0.35 ( 47) | -0.20 ( 33)  -0.06 ( 52)   0.01 ( 85) |
DIKGANG Modisaotsile - MINWALLA Diniar                 |  224  -0.64 | -0.18  -0.47 | -0.71 (101)  -0.26 (123) | -0.84 ( 49)  -0.60 ( 52) | -0.28 ( 68)   0.01 ( 55)  -0.11 (123) |
JANSONS Ugis - SMILGAJS Andris                         |  143  -0.76 | -0.64  -0.12 | -0.32 ( 75)   0.10 ( 68) | -0.23 ( 39)  -0.42 ( 36) | -0.11 ( 35)  -0.01 ( 33)   0.16 ( 68) |
AOUATE Catherine - WAN HOI Regine                      |  144  -0.90 | -0.43  -0.47 | -0.35 ( 67)  -0.57 ( 77) | -1.05 ( 25)   0.07 ( 42) | -0.35 ( 27)  -0.46 ( 50)  -0.14 ( 77) |
CRUZ Danny - DOHNERT Lutz                              |  128  -1.15 | -0.98  -0.17 | -0.33 ( 52)  -0.06 ( 76) | -0.43 ( 23)  -0.25 ( 29) | -0.10 ( 34)   0.02 ( 42)  -0.03 ( 76) |
LEMARINEL Michel - TEYSSEDRE Philippe                  |  160  -1.26 | -0.63  -0.63 | -0.67 ( 89)  -0.59 ( 71) | -0.78 ( 40)  -0.57 ( 49) | -0.39 ( 37)  -0.33 ( 34)  -0.23 ( 71) |
