Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Frank Reichelt - Dr. Jean Georgiades;192;0,54;0,43;0,11;-0,11;84;  0,28;107;0,18;42;-0,40;42;
Gisela Smykalla - Dr. Michael Schneider;192;0,50;0,31;0,19;0,49;97;  -0,11;95;0,50;54;0,47;43;
Roland Voigt - Ulrich Voigt;271;0,40;0,06;0,34;0,42;136;  0,26;135;0,45;81;0,39;55;
Ralf-Dieter Zepelin - André Marx;286;0,36;0,32;0,05;0,03;158;  0,07;128;-0,02;78;0,09;80;
Frank Lamprecht - Nadia Sanne;128;0,34;0,24;0,10;0,57;57;  -0,27;71;0,45;23;0,65;34;
Horst Hübner - Omid Karimi;203;0,25;0,57;-0,32;-0,37;89;  -0,29;114;0,08;48;-0,89;41;
Michael Hornbrook - Dr. Ilan Wolff;208;0,24;0,05;0,19;0,27;107;  0,10;100;0,34;47;0,21;60;
Andreas Schiffmann - Dirk Gyselinck;284;0,22;-0,18;0,41;0,39;154;  0,44;129;0,61;80;0,14;74;
Hans-Jürgen Riedel - Lutz Narajek;160;0,19;0,09;0,10;0,20;79;  0,01;81;0,57;43;-0,24;36;
Ingo Lüßmann - Claudia Lüßmann;176;0,18;0,13;0,06;-0,18;93;  0,33;83;-0,11;51;-0,27;42;
Jan van Oosten - Dr. Ansgar Seiter;268;0,13;0,21;-0,08;-0,11;136;  -0,05;132;-0,46;58;0,15;78;
Torsten Waaga - Ulrich Bongartz;128;0,01;0,19;-0,19;-0,36;74;  0,05;54;-0,36;42;-0,36;32;
Martin Hofmann - Dr. Peer Köster;190;-0,01;-0,17;0,16;-0,17;90;  0,47;98;0,05;34;-0,31;56;
Göran Mattsson - Horst-Dieter Uhlmann;140;-0,02;0,26;-0,28;-0,10;72;  -0,46;68;0,41;34;-0,56;38;
Keith Brundage - Bharat Gurbaxani;287;-0,02;-0,09;0,06;-0,03;151;  0,17;136;0,02;84;-0,11;67;
Lothar Schmidt - Martin Jentsch;160;-0,03;-0,18;0,15;0,20;82;  0,10;78;-0,31;53;1,13;29;
Hans Ott - Dr. Wolfgang Walenta;160;-0,05;0,00;-0,05;0,11;75;  -0,19;85;0,00;35;0,20;40;
Borys Jawlinski - Dr. Gerhard Thurn;208;-0,20;-0,07;-0,14;-0,00;106;  -0,28;101;-0,03;52;0,03;54;
Hans Humburg - Helga Humburg;192;-0,30;0,01;-0,31;-0,56;89;  -0,09;103;-0,89;47;-0,19;42;
Frank Wichmann - Sabrina Wichmann;224;-0,35;-0,06;-0,29;-0,25;112;  -0,32;112;-0,50;57;0,01;55;
Mieke Plath - Cumhur Kirdemir;96;-0,36;-0,57;0,22;-0,17;54;  0,72;42;-0,04;29;-0,33;25;
Mieke Plath - Ulrike Liss;192;-0,41;-0,22;-0,19;0,10;92;  -0,45;100;0,16;45;0,04;47;
Mathias Farwig - Wiebke Farwig;224;-0,42;-0,27;-0,15;-0,19;108;  -0,11;116;0,03;51;-0,39;57;
Dr. Andreas Spiegl - Dr. Bernhard Schirm;159;-0,53;-0,36;-0,18;0,17;79;  -0,53;80;0,33;34;0,05;45;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Frank Reichelt - Claudia Lüßmann;16;1,79;0,34;1,45;2,43;6;  0,86;10;2,13;4;3,03;2;
Hans Ott - Lothar Schmidt;48;1,25;0,78;0,47;0,47;24;  0,47;24;0,31;16;0,80;8;
Klaus Amann - Dr. Carina Tetal;32;1,20;0,99;0,21;0,55;17;  -0,17;15;0,03;8;1,01;9;
Helga Stoermer - Lutz Narajek;64;0,88;-0,08;0,96;0,96;38;  0,95;26;1,29;22;0,50;16;
Lothar Schmidt - Dr. Wolfgang Walenta;32;0,73;1,01;-0,28;-0,83;15;  0,21;17;-1,61;9;0,33;6;
Hans-Jürgen Riedel - Antje Berghaus;80;0,51;0,23;0,29;-0,34;37;  0,83;43;-0,22;22;-0,50;15;
Antje Berghaus - Petra Eleftherakis;16;0,39;1,06;-0,67;-1,13;8;  -0,20;8;-1,81;2;-0,90;6;
Martin Hofmann - Dr. Silvia Klasberg-Brawanski;32;0,12;-0,14;0,26;1,05;12;  -0,22;20;1,37;8;0,40;4;
Horst Hübner - Dr. Silvia Klasberg-Brawanski;32;0,04;-0,08;0,12;0,01;13;  0,19;19;-0,05;6;0,06;7;
Lutz Narajek - Petra Eleftherakis;16;-0,12;0,23;-0,34;-0,69;6;  -0,13;10;-1,68;4;1,27;2;
Josef Knoll - Lothar Schmidt;32;-0,19;-0,61;0,42;0,50;10;  0,39;22;0,17;6;0,98;4;
Josef Knoll - Dr. Wolfgang Walenta;80;-0,24;-0,11;-0,13;0,04;34;  -0,25;46;0,18;20;-0,17;14;
Gitta Werring - Gunthart Thamm;63;-0,53;-0,18;-0,35;0,11;33;  -0,85;30;0,34;12;-0,03;21;
Omid Karimi - Dr. Silvia Klasberg-Brawanski;31;-0,54;0,42;-0,96;-1,98;15;  0,00;16;-1,54;5;-2,20;10;
Ingo Schmid - Lutz Narajek;32;-0,57;-0,83;0,26;-0,33;11;  0,57;21;0,40;6;-1,19;5;
Dr. Peer Köster - Dr. Silvia Klasberg-Brawanski;32;-0,65;-0,54;-0,11;0,20;15;  -0,39;17;0,55;6;-0,03;9;
Roland Godlewski - Dr. Silvia Klasberg-Brawanski;48;-0,77;-0,56;-0,21;-0,17;26;  -0,27;22;0,42;12;-0,67;14;
Hans Ott - Josef Knoll;48;-0,97;-0,56;-0,42;-0,43;24;  -0,42;23;-1,01;9;-0,08;15;
Helga Stoermer - Petra Eleftherakis;80;-0,99;-0,42;-0,57;-0,70;53;  -0,33;27;-1,55;22;-0,10;31;
Helga Stoermer - Antje Berghaus;80;-0,99;-0,59;-0,41;-0,31;33;  -0,48;47;-0,31;16;-0,31;17;
Hans-Jürgen Riedel - Ingo Schmid;48;-1,00;-0,81;-0,19;-0,10;19;  -0,26;28;0,52;9;-0,66;10;
Hans Ott - Martin Jentsch;16;-1,01;-1,13;0,12;-0,62;11;  1,75;5;-2,36;5;0,82;6;
Gitta Werring - Ulrich Bongartz;32;-1,22;-1,09;-0,13;0,28;19;  -0,73;13;-0,35;13;1,65;6;
Gitta Werring - Torsten Waaga;16;-1,49;-1,31;-0,18;-1,09;10;  1,34;6;-0,59;4;-1,43;6;

