Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ingeborg Metzler - Bernd Metzler;224;0,79;0,56;0,22;0,50;108;  -0,04;116;0,78;55;0,21;53;
Nils Bokholt - Roland Watzdorf;192;0,65;0,47;0,18;0,17;99;  0,20;93;0,31;50;0,03;49;
Martin Stoszek - Michael Pauly;192;0,52;0,34;0,18;0,44;109;  -0,15;83;0,44;53;0,44;56;
Susanne Bohnsack - Ulrich Trepnau;222;0,48;0,13;0,35;0,15;109;  0,55;113;0,44;54;-0,15;55;
Herbert Vetter - Bernhard Landwehr;176;0,39;0,62;-0,23;-0,03;80;  -0,40;96;0,08;45;-0,18;35;
Klaus Spiegelberg - Asok Lean;192;0,34;0,26;0,09;0,10;103;  0,07;89;0,18;41;0,05;62;
Jürgen Nordmann - Kai Timofejew;191;0,32;0,24;0,07;0,27;95;  -0,13;96;0,20;47;0,34;48;
Helmut Lux - Ulrich Schweding;207;0,31;0,17;0,14;-0,03;110;  0,33;97;-0,50;55;0,44;55;
Beatrix Kuzselka - Werner Kühn;176;0,28;0,30;-0,02;0,10;83;  -0,12;93;0,20;34;0,02;49;
Alexander Rapoport - Alexei Vinogradov;224;0,28;0,19;0,09;-0,07;108;  0,24;116;-0,04;41;-0,09;67;
Fabian Hupe - Jascha Garre;208;0,27;0,62;-0,35;-0,65;94;  -0,10;114;-0,57;47;-0,74;47;
Rainer Herrmann - Detlev Kröning;288;0,11;-0,05;0,17;0,10;152;  0,25;136;-0,20;72;0,36;80;
Norbert Gutleben - Wolfram von Alvensleben;128;0,11;-0,09;0,20;0,17;62;  0,23;66;0,41;31;-0,07;31;
Klaus-Dieter Wacker - Ulrich Staber;144;0,08;0,25;-0,17;0,30;68;  -0,59;76;0,40;39;0,18;29;
Tobias Förster - Dr. Claus Neidhardt;192;-0,03;0,06;-0,09;-0,05;88;  -0,13;104;-0,31;45;0,21;43;
Günter Buhr - Hans-Peter Fütterer;272;-0,05;-0,00;-0,04;0,20;141;  -0,31;131;0,13;63;0,26;78;
Michael Schröder - Stefan Schmieder;128;-0,06;-0,23;0,17;0,04;68;  0,31;60;0,32;30;-0,17;38;
Georg Mavridis - Karin Mavridis;192;-0,07;-0,02;-0,06;0,09;105;  -0,23;87;0,13;49;0,05;56;
Gerda Heinrichs - Karin Wenning;240;-0,08;-0,04;-0,04;0,07;112;  -0,14;128;-0,07;44;0,16;68;
Vitaliy Khanukov - Yevgeniya Khanukova;224;-0,08;-0,32;0,24;0,35;116;  0,12;108;0,60;61;0,07;55;
Hans-Jörg Schinze - Kareen Schroeder;96;-0,09;-0,38;0,29;0,52;46;  0,08;50;0,30;23;0,73;23;
Bernhard Kaiser - Bettina Kaiser;110;-0,24;-0,06;-0,17;-0,15;53;  -0,20;57;-0,08;28;-0,22;25;
Henning Bohnsack - Alexey Levin;128;-0,32;-0,38;0,06;0,23;63;  -0,10;65;0,40;32;0,06;31;
Jürgen Flory - Sabine Flory;96;-0,36;-0,08;-0,28;-0,44;43;  -0,15;53;-0,60;23;-0,25;20;
Ferit Tavlan - Wolfram von Alvensleben;160;-0,37;-0,57;0,19;0,11;72;  0,26;88;0,36;32;-0,09;40;
Karl Wartlick - Rudi Salzer;128;-0,55;-0,30;-0,25;0,07;64;  -0,56;64;0,39;35;-0,32;29;
Marko Leinert - Dr. Rasmus Tenbergen;288;-0,66;-0,37;-0,29;0,11;162;  -0,80;126;0,20;78;0,03;84;
Andreas Pasing-Husemann - Anke Herrlett;96;-0,68;-0,55;-0,12;0,12;47;  -0,35;49;-0,14;21;0,32;26;
Kareen Schroeder - Bert Hanken;128;-0,98;-0,78;-0,20;-0,62;65;  0,24;63;0,06;26;-1,08;39;
Andreas Pasing-Husemann - Sijan Stankov;159;-1,00;-0,86;-0,14;-0,44;76;  0,15;83;-0,18;36;-0,68;40;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ferit Tavlan - Bernhard Kaiser;79;0,77;0,81;-0,04;-0,26;38;  0,16;41;-0,60;19;0,07;19;
Hans-Jörg Schinze - Bert Hanken;16;0,65;1,17;-0,52;-0,71;6;  -0,41;10;0,17;2;-1,16;4;
Karl Wartlick - Klaus-Dieter Wacker;16;0,58;0,61;-0,03;0,03;9;  -0,10;7;-0,11;4;0,14;5;
Günter Buhr - Karin Schumann-Buhr;16;0,32;0,46;-0,14;-0,63;9;  0,49;7;-1,89;5;0,95;4;
Anke Herrlett - Barbara von Kleist;32;0,26;0,40;-0,14;-0,21;13;  -0,09;19;0,11;4;-0,35;9;
Ingrid Stoeckmann - Burkhard Thamm;80;-0,78;-0,83;0,05;0,12;46;  -0,05;34;-0,30;21;0,48;25;
Karl Wartlick - Ulrich Staber;64;-1,13;-0,49;-0,64;-0,07;34;  -1,29;30;0,32;19;-0,57;15;
Klaus-Dieter Wacker - Tobias Förster;32;-1,65;-0,90;-0,75;0,04;15;  -1,44;17;-0,20;8;0,31;7;
Kareen Schroeder - Burkhard Thamm;16;-2,72;-2,49;-0,22;0,61;5;  -0,60;11;1,61;3;-0,91;2;

