Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Helmut Häusler - Dr. Andreas Kirmse;128;1,03;0,69;0,34;-0,21;60;  0,83;68;0,04;31;-0,48;29;;1
Ulrike Schreckenberger - Andreas Babsch;144;0,95;0,60;0,35;0,49;69;  0,22;75;0,47;38;0,51;31;;3b
Robert Maybach - Wolf Stahl;160;0,81;0,27;0,54;0,52;86;  0,57;74;0,43;42;0,60;44;;3b
Ingeborg Metzler - Bernd Metzler;224;0,73;0,26;0,47;0,82;108;  0,14;116;0,96;55;0,68;53;;3c
Joachim Parsch - Klaus Zeitler;224;0,72;0,44;0,28;0,40;116;  0,15;108;0,64;55;0,18;61;;2
Martin Rehder - Michael Gromöller;125;0,70;0,32;0,37;0,41;70;  0,33;55;0,35;31;0,45;39;;1
Frederic Boldt - Oliver Hevemeier;208;0,69;0,28;0,41;0,75;97;  0,10;111;0,94;44;0,60;53;;3b
Rolf Beckmann - Wolfram Rach;144;0,61;0,25;0,37;0,33;73;  0,40;71;0,59;33;0,12;40;;3b
Christian Schlicker - Dr. Claus Günther;192;0,58;0,25;0,33;0,25;96;  0,42;95;0,03;51;0,49;45;;2
Susanne Bohnsack - Ulrich Trepnau;222;0,54;0,22;0,32;0,11;109;  0,53;113;0,33;54;-0,10;55;;3c
Nils Bokholt - Roland Watzdorf;192;0,51;0,27;0,25;0,30;99;  0,19;93;0,47;50;0,14;49;;3c
Klaus Spiegelberg - Asok Lean;192;0,48;0,24;0,24;0,43;103;  0,02;89;0,58;41;0,33;62;;3c
Nedju Buchlev - Sebastian Reim;160;0,46;0,39;0,07;-0,03;90;  0,20;70;-0,44;35;0,23;55;;1
Jörg Fritsche - Roland Rohowsky;143;0,44;0,40;0,05;-0,00;71;  0,10;72;0,07;42;-0,11;29;;1
Frank Reichelt - Dr. Jean Georgiades;192;0,43;0,37;0,06;-0,38;84;  0,40;107;-0,19;42;-0,57;42;;3a
Herbert Klumpp - Jochen Bitschene;96;0,42;0,34;0,08;0,30;48;  -0,14;48;0,71;25;-0,14;23;;1
Gisela Smykalla - Dr. Michael Schneider;192;0,42;0,21;0,21;0,33;97;  0,10;95;0,37;54;0,27;43;;3a
Ralf-Dieter Zepelin - André Marx;286;0,41;0,24;0,17;0,03;158;  0,35;128;0,26;78;-0,19;80;;3a
Michael Hornbrook - Dr. Ilan Wolff;208;0,39;0,18;0,21;0,19;107;  0,24;100;0,12;47;0,24;60;;3a
Anja Alberti - Dieter Laidig;240;0,39;0,34;0,04;0,02;117;  0,06;122;-0,44;61;0,53;56;;2
Martin Stoszek - Michael Pauly;192;0,38;0,38;-0,01;0,19;109;  -0,26;83;0,24;53;0,14;56;;3c
Roland Voigt - Ulrich Voigt;271;0,37;0,06;0,31;0,27;136;  0,35;135;0,35;81;0,16;55;;3a
Berthold Engel - Claudia Vechiatto;128;0,37;-0,13;0,50;0,46;53;  0,53;75;0,57;35;0,23;18;;2
Ingo Lüßmann - Claudia Lüßmann;176;0,36;0,20;0,16;-0,07;93;  0,41;83;0,19;51;-0,40;42;;3a
Hans-Jürgen Riedel - Lutz Narajek;160;0,35;-0,02;0,38;0,24;79;  0,51;81;0,51;43;-0,08;36;;3a
Franz-Jürgen Röttger - Eckhard Renken;96;0,35;0,41;-0,06;-0,38;48;  0,27;48;-0,32;27;-0,47;21;;3b
Jürgen Sander - Dr. Bettina Bohnhorst;288;0,35;0,27;0,08;0,25;148;  -0,10;140;0,31;72;0,20;76;;3b
Fabian Hupe - Jascha Garre;208;0,35;0,53;-0,18;-0,50;94;  0,08;114;-0,76;47;-0,24;47;;3c
Horst Hübner - Omid Karimi;203;0,32;0,53;-0,21;-0,28;89;  -0,15;114;0,07;48;-0,69;41;;3a
Jürgen Nordmann - Kai Timofejew;191;0,30;0,07;0,23;0,49;95;  -0,03;96;0,37;47;0,60;48;;3c
Andreas Schiffmann - Dirk Gyselinck;284;0,29;-0,10;0,39;0,46;154;  0,31;129;0,67;80;0,23;74;;3a
Reiner Marsal - Dirk Schroeder;192;0,29;-0,04;0,32;0,40;92;  0,25;100;0,45;37;0,36;55;;1
Martin Wüst - Matthias Felmy;191;0,28;0,09;0,19;0,28;98;  0,10;93;-0,25;42;0,68;56;;2
Miklós Dumbovich - Dr. Josef Harsanyi;176;0,28;-0,18;0,46;0,80;94;  0,07;82;0,69;44;0,90;50;;1
