Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Ulrike Schreckenberger - Andreas Babsch;144;0,94;0,68;0,26;0,42;69;  0,11;75;0,49;38;0,32;31;
Robert Maybach - Wolf Stahl;160;0,85;0,42;0,42;0,32;86;  0,55;74;0,05;42;0,58;44;
Rolf Beckmann - Wolfram Rach;144;0,60;0,35;0,26;0,18;73;  0,33;71;0,32;33;0,07;40;
Frederic Boldt - Oliver Hevemeier;208;0,56;0,27;0,28;0,58;97;  0,02;111;0,70;44;0,49;53;
Franz-Jürgen Röttger - Eckhard Renken;96;0,52;0,69;-0,17;-0,32;48;  -0,02;48;-0,41;27;-0,20;21;
Jürgen Sander - Dr. Bettina Bohnhorst;288;0,34;0,17;0,17;0,29;148;  0,05;140;0,26;72;0,31;76;
Stefan Behn - Dirk Nedler;208;0,28;0,23;0,05;0,29;111;  -0,22;96;0,35;51;0,25;60;
Stefan Helling - Dr. Sören Hein;288;0,24;0,14;0,10;0,18;137;  0,02;151;0,41;77;-0,13;60;
Thomas Neuhauser - Dr. Regine Neuhauser-Riess;192;0,21;0,18;0,03;-0,20;93;  0,25;99;-0,19;40;-0,21;53;
Theo Reinhard - Christoph Hauschild;192;0,20;0,39;-0,19;-0,29;84;  -0,11;108;-0,08;42;-0,49;42;
Helmut Lena - Dr. Radu Stroescu;287;0,06;0,09;-0,03;0,23;158;  -0,34;129;0,38;63;0,13;95;
Udo Petersen - Ulrike Köppchen;192;-0,07;-0,12;0,05;0,31;95;  -0,20;97;0,20;60;0,52;35;
Jürgen Hollich - Dr. Herbert Thieme;288;-0,08;-0,01;-0,07;-0,08;134;  -0,05;154;0,43;65;-0,57;69;
Matthias Voigt - Dr. Gerold Wieber;286;-0,10;-0,21;0,10;-0,09;150;  0,31;136;-0,09;74;-0,09;76;
Andreas Visetti - Pawel Serwatowski;208;-0,11;-0,16;0,05;0,19;106;  -0,10;102;0,04;52;0,34;54;
Erhard Sternheimer - Andreas Böhmer;190;-0,12;-0,07;-0,05;0,11;89;  -0,19;99;-0,09;47;0,34;42;
Helge Dzellak - Klaus Klöckner;287;-0,12;0,03;-0,15;-0,16;144;  -0,15;142;-0,26;70;-0,06;74;
Bernd Engelhardt - Dr. Laurence Kane;160;-0,13;0,11;-0,23;-0,12;78;  -0,34;82;0,27;33;-0,41;45;
Andreas Schaper - Dr. Lutz Wienert;192;-0,17;-0,31;0,14;0,05;94;  0,24;97;0,36;54;-0,38;40;
Guido Klein - Lutz Springer;192;-0,24;-0,05;-0,18;-0,03;112;  -0,39;80;-0,58;43;0,31;69;
Georg Weisz - Anssi Bragge;288;-0,36;-0,28;-0,08;-0,13;159;  -0,02;129;-0,13;75;-0,12;84;
Regine Bartels - Thomas Schmitt;112;-0,47;-0,40;-0,07;-0,01;55;  -0,12;57;0,43;22;-0,31;33;
Gregor Sieber - Ulrike Schreckenberger;96;-0,54;-0,43;-0,11;0,13;43;  -0,30;53;-0,04;19;0,26;24;
Friedrich Kleißendorf - Angelika Röttger;96;-0,72;-0,77;0,05;-0,22;46;  0,29;50;0,03;25;-0,52;21;
Jan Chodorowski - Dr. Wendelin Albert;112;-0,73;-0,18;-0,54;-0,27;50;  -0,78;61;-0,10;24;-0,43;26;
Udo Kreimeyer - Wolfgang Sonntag;144;-0,80;-0,45;-0,36;-0,18;74;  -0,54;70;-0,05;33;-0,29;41;
Andreas Schaper - Volker Walter;94;-0,85;-0,90;0,05;0,42;40;  -0,22;53;0,25;17;0,54;23;
Jim Elliott - Joachim Hegener;176;-0,90;-0,65;-0,25;-0,13;91;  -0,37;85;0,52;42;-0,69;49;

Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Regine Bartels - Dr. Helmut Horacek;64;1,11;1,10;0,01;-0,13;38;  0,22;26;-0,11;16;-0,15;22;
Joachim Hegener - Ulrike Köppchen;16;0,72;0,56;0,16;0,42;11;  -0,42;5;0,60;7;0,10;4;
Gregor Sieber - Robert Maybach;48;0,70;0,47;0,23;-0,13;22;  0,56;25;0,12;13;-0,48;9;
Elke Weber - Anne Gladiator;80;0,43;0,40;0,03;-0,20;34;  0,20;46;-0,13;18;-0,26;16;
Jan Chodorowski - Dr. Helmut Horacek;80;-0,08;-0,01;-0,07;0,17;34;  -0,25;46;0,02;14;0,27;20;
Franz-Jürgen Röttger - Wolfgang Sonntag;64;-0,17;-0,65;0,48;0,07;34;  0,94;30;0,27;20;-0,22;14;
Gregor Sieber - Peter Gondos;48;-0,18;0,07;-0,24;-0,34;21;  -0,17;27;0,27;7;-0,65;14;
Angelika Röttger - Eckhard Renken;32;-0,57;-0,24;-0,33;0,38;14;  -0,87;18;0,26;11;0,79;3;

